2 귀의 개방에 대하여	2 РАЗБЛОКИРОВАННЫЕ УШИ
귀를 내놓은 그녀와의 섹스에는 뭔가 기묘한 분위기가 감돌았다.	Стоило ей открыть уши, секс с ней сразу приобретал какие-то загадочные свойства.
비가 내릴 때면 정확하게 비 냄새가 났다.	Если в это время шел дождь - все вокруг пахло настоящим дождем.
새가 지저귀면 정확하게 새가 지저귀는 소리가 들렸다. 제대 로 표현할 수는 없지만, 요컨대 그랬다.	Если щебетали птицы, то щебет раздавался чуть ли не прямо в постели.
나는 언젠가 그녀에게 '다른 남자와 잘 때는 귀를 내놓지 않아?' 하고 물었다.	Трудно объяснить как-то понятнее - в общем, так все и было.
물론이에요. 사람들은 나에게 귀가 있다는 사실조차 모르는 게 아닐까요?' 라고 그녀는 말했다.	- А в постели с другими ты свои уши никогда не показываешь? - спросил я ее однажды.
귀를 내놓지 않고 섹스를 할 때는 어떻지?'	- Конечно, нет! - ответила она.
아주 의무적이죠. 마치 신문지를 씹고 있는 것처럼 아무 느낌도 없고요.	- По-моему, никто даже не подозревает, что они у меня есть...
하 지만 괜찮아요, 의무를 다하는 것도 그 나름대로 나쁘지 않으니까요.'	- Ну, и какой же он - секс со спрятанными ушами?
그래도 귀를 내놓았고 할 때가 훨씬 멋지겠지?'	- Очень... по обязанности.
	Я вся как будто в газету завернута, ничего не чувствую...
그야 그렇지요.'	Ну и пусть!
	Обязанности выполняются - и слава Богу.
	- Но с открытыми-то ушами - в сто раз лучше?
그럼 내놓으면 되잖아.	- Конечно!
뭣 때문에 일부러 쓸데없는 생각을 하는 거야' 라고 나는 말했다.	- Ну и открывай тогда! - удивился я.
그녀는 빤히 내 얼굴을 바라보고 나서 한숨을 쉬었다.	- Зачем специально думать о чем-то плохом?
그리고는 '당신은 정말 아무것도 모르는군요' 하고 말했다.	Она посмотрела на меня в упор, потом глубоко вздохнула.
확실히 나는 모르는 게 많았던 것 같다.	- Похоже, ты действительно не понимаешь...
우선 무엇보다도 나를 특별하게 대하는 이유를 알 수가 없었다.	Пожалуй, я и в самом деле слишком многого не понимал.
다른 사람에 비해서 내게 특별히 뛰어나거나 유별난 점이 있다고는 도저히 생각할 수 없었기 때문이다.	Прежде всего, я не мог уяснить, почему она относились ко мне по-особенному.
	Как ни старался, я не мог найти в себе ни замечательных черт, ни просто странностей, которые хоть как-то отличали бы меня от остальных.
내가 그렇게 말하자 그녀는 웃으며 이렇게 말했다.	Когда я сказал ей об этом, она рассмеялась.
아주 간단하죠.	- Очень просто! - сказала она.
당신이 나를 원했기 때문에.	- Все потому, что ты сам меня захотел.
그게 가장 큰 이유예요.'	Это - основная причина.
만약에 다른 누군가가 너를 원했다면?'	- А если бы тебя захотел кто-то другой?
하지만 적어도 지금은 당신이 나를 원하고 있잖아요.	- Ну, по крайней мере сейчас меня хочешь именно ты.
게다가 당신은 당신 스 스로가 생각하고 있는 것보다 훨씬 멋져요.'	И уже от этого становишься гораздо интереснее, чем сам о себе думаешь.
왜 나는 그런 식으로 생각하는 걸까?'	- А почему я сам о себе так думаю? - осторожно спросил я.
라고 나는 질문해 보았다. '그건 당신이 자신의 절반으로만 살기 때문이죠.	- Да потому, что ты живой только наполовину! - ответила она неожиданно резко.
나머지 반은 어딘가에 아직 손도 대지 않은 채 남아 있을 거예요' 라고 그녀는 시원스럽게 대답했다.	- А другая твоя половина так и остается нетронутой...
나는 '으음' 하며 그녀의 말을 들었다.	- Хм! - только и выдавил я.
그런 의미에서 우리는 서로 닮은 셈이죠.	- В этом смысле мы в чем-то похожи.
나는 귀를 막고 있고, 당신은 절반 만 사록 있으니까요.	Я блокирую свои уши, ты - живешь вполовину себя.
그렇다고 생각하지 않아요?'	Тебе не кажется?
하지만 설사 그렇다 하더라도 내 나머지 반쪽은 당신의 귀처럼 빛나지는 않 을 거야.'	- Даже если ты и права, то все равно - другая моя половина не так... ослепительна, как твои уши.
아마도, 당신은 정말로 아무것도 몰라요' 라고 말하며 그녀는 미소 지었다.	- Наверное! - улыбнулась она.
그녀는 미소를 띤 채 머리를 올리고 블라우스의 단추를 풀었다.	- Я смотрю, ты и в самом деле ничегошеньки не понимаешь!
여름도 끝나 가는 9월의 오후, 나는 일을 쉬고 침대에서 그녀의 머리카락을 만지작거리면서, 줄곧 고래의 페니스에 대해 생각하고 있었다.	Утопая в улыбке, она подобрала волосы наверх и одну за другой расстегнула застежки на блузке.
바다는 짙은 남 빛이었고, 거친 바람이 유리창을 두드렸다.	Лето ушло.
	В выходной день, на закате уже сентябрьского солнца я валялся в постели, поигрывал пальцем с ее волосами и размышлял о китовом пенисе.
	Угрюмо-свинцовое море бушевало снаружи, свирепая буря ломилась в оконные стекла.
천장은 높고, 전시실 안에는 나말고 사람의 그림자라곤 하나도 없었다.	Высокие потолки выставочного зала, вокруг - ни души...
	Китовый пенис, навеки отрезанный от кита, потерял всякий смысл китового пениса.
고래의 페니스는 고래로부터 영원히 분리되 어, 페니스로서의 의미를 완전히 상실해 버렸다.	Постепенно мои мысли вернулись к ночной сорочке жены.
그러고 나서 나는 아내의 슬립에 대해서 다시 한 번 생가가해 보았는데, 이제 그녀가 슬립을 가지고 있었는지조차도 생각나질 않았다.	Как ни старался, я не мог вспомнить, была ли у нее вообще хоть одна ночная сорочка.
슬립이 부엌 의자에 걸려 있는 실체 없는 어렴풋이 풍경만이 내 머리 속 한구석에 남아 있었다.	В уголке мозга маячил образ - призрак ночной сорочки, свисающей со стула на кухне.
그 것이 도대체 무엇을 의미하는지도 생각해 낼 수 없었다.	Вспомнить, что это значило, у меня тоже не получалось.
	Было лишь странное чувство, будто уже очень долгое время я живу жизнью, принадлежащей кому-то другому.
마치 오랫동안 누군가 다른 사람의 인생을 대신 살아온 듯한 느낌이 들었다.	- Слушай, а ты не носишь ночных сорочек? - спросил я у своей подруги, сам не зная почему.
저기 말이지, 너 슬립을 입지 않니?' 라고 나는 아무 생각 없이 여자 친구에게 물어 보았다.	Она приподняла голову с моего плеча и рассеянно посмотрела на меня.
그녀의 내 어깨에서 얼굴을 들고 멍한 눈으로 나를 보았다.	- А у меня и нет ни одной...
없어요.'	
그래' 라고 나는 말했다.	- А! - сказал я.
하지만 그게 있어야 더 잘된다면······.' 나는 '아니야, 그런 게 아니야.	- Но если ты думаешь, что так будет лучше...
그런 생각으로 한 말이 아니라니까' 라고 허둥대며 말했다.	- Нет-нет! - перебил я ее торопливо.
아무튼 정말 그렇게 조심하지 않아도 돼요.	- Я не к тому спросил.
나는 직업상 그런데에는 꽤 익숙 해진 데다 조금도 부끄러워하지 않으니까.'	- Нет, погоди, ты только не вздумай смущаться!
아무것도 필요 없다니까' 라고 나는 말했다. '너와 네 귀만으로 정말 충분해.	Я на работе ко всему привыкла, стесняться не буду...
그 이상은 아무것도 필요치 않아.'	- Ничего не надо, - сказал я.
그녀는 시시하다는 듯이 고개를 젓고 나서 내 어깨에 얼굴을 묻었다.	- Мне совершенно достаточно тебя и твоих ушей.
	Разочарованно покачав головой, она снова уткнулась мне в плечо.
	Но чуть погодя опять подняла лицо: - Минут через десять тебе позвонят.
그러나 15초쯤 지나서 다시 한 번 얼굴을 들었다.	- Позвонят?!..
있잖아요, 10분 후쯤에 중요한 전화가 걸려 올 거예요.'	- Я споткнулся взглядом о черный телефон у кровати.
전화?'	- Да.
나는 침대 옆의 검은 전화기를 보았다. '그래요, 전화 벨이 울릴 거예요.'	Раздастся звонок телефона.
그걸 알아?'	- И ты это знаешь?
알아요.'	- Знаю.
	Пристроившись головой на моей груди, она закурила ментоловую сигарету.
	Чуть погодя мне прямо в пупок упал пепел; она вытянула губы трубочкой и принялась старательно его выдувать.
그녀는 아무것도 걸치지 않은 내 가슴에 머리를 얹어 놓은 채 박하 담배를 피 웠다.	Я поймал ее ухо и зажал между пальцев.
	Ощущение просто фантастическое.
	Мысли пропали, и лишь смутные видения да бесформенные силуэты вспыхивали и исчезали, сменяя друг друга в моей голове.
잠시 후에 내 배꼽 옆에 재가 떨어졌는데, 그녀는 입을 오므리더니 그것 을 침대 밖으로 날려 버렸다.	- Разговор пойдет об овцах, - сказала она.
나는 손가락 사이에 그녀의 귀를 끼웠다.	- О многих - и об одной.
황홀한 감촉이었다.	- Об овцах?!..
머리 속이 멍해지면서 형체가 없는 온갖 이미지가 떠올랐다가는 사라졌다.	- Ага, - она передала мне до половины выкуренную сигарету.
그리고 그녀는 이렇게 말했다. '양에 관한 일이에요.	Затянувшись, я вдавил окурок в пепельницу.
많은 양과 한 마리의 양.'	- Ну, а потом начнется охота.
양?'	
네' 라고 대답한 후 그녀는 반쯤 피우다 만 담배를 내게 건네주었다.	Через несколько минут у моей подушки зазвонил телефон.
나는 그것 을 한 모금 빨고 나서 재떨이에 비벼 껐다. 조금 있다가 머리맡의 전화가 울렸다.	Я взглянул на нее: она мирно дремала у меня на груди.
나는 그녀를 쳐다보았지만, 그녀의 내 가슴 위에서 깊이 잠들어 있었다.	Дав аппарату потрезвонить, я снял трубку.
나는 전화 벨이 네 번 우리고 나서 수화기를 들었다.	- Ты можешь приехать, прямо сейчас? - выпалил невидимый собеседник.
지금 당장 이리로 와주지 않겠어' 라고 상대방이 말했다. 긴장된 목소리였다.	Голос в трубке вибрировал, точно его хозяина поджаривали на сковородке.
아주 중요한 이야기야.'	- Важный разговор!
어느 정도로 중요한데?'	- Насколько важный?
와보면 알아' 라고 그는 말했다.	- Приезжай - поймешь!
어차피 양에 대한 이야기겠지' 라고 나는 시험삼아 말해 보았다.	- Уж не про овец ли, случайно? - ляпнул я наугад.
말하지 말았어야 했다.	Не следовало этого делать.
수화기가 얼음처럼 차가워졌다.	Я вдруг почувствовал, что сжимаю в руке кусок льда.
어떻게 알고 있지?' 라고 그가 말했다.	- Откуда ты это знаешь? - спросила трубка.
어쨌든 그렇게 해서 양을 쫓는 모험이 시작되었다.	Но, как бы там ни было, охота на овец началась.
