그리고 마치 미로(迷路)와 같은 주머니에서 열쇠 고리를 꺼 내, 그것을 손에 든 채로 차가운 철문에 잠깐 이마를 댔다.	Все мое тело ╜ как вата, насквозь пропитавшаяся алкоголем.
귀의 뒤쪽에서 짤그 랑 하는 작은 소리가 난 것 같은 느낌이 들었다.	Сравнительный порядок только где-то внутри головы.
몸이 솜처럼 알코올을 빨아들 이고 있는 것이다.	Черт бы меня побрал...
	Сдвинув дверь на несчастную треть, я с трудом протиснулся в щель и затворил за собой.
비교적 정상인 것은 의식뿐이다. 제기랄.	Прихожая была мертва.
문을 3분의 1찜 열고 살짝 미끄러지듯이 들어가 문을 닫는다.	Мертвее, чем от нее ожидалось.
현관은 아주 조용했다. 필요 이상으로 고요했다.	Тут-то я и осознал их присутствие.
그 다음 나는 발 밑의 빨간 구두를 발견했다.	Красных башмачков у меня под ногами.
눈에 익은 빨간 구두였다.	Моих старых знакомых.
	Приютившись между моими заляпанными грязью теннисными туфлями и дешевыми пляжными сандалиями, окутанные тишиной, будто слоем тончайшей пыли, они смотрели на меня каким-то рождественским подарком, который вдруг не по сезону свалился с неба.
그 것은 흙투성이 테니스화와 싸구려 비치 샌들 사이에 끼여, 철 지난 크리스마스 선물처럼 보였다.	Она сидела, распростершись грудью на кухонном столе.
구두 위에는 미세한 먼지와 같은 침묵이 떠 있었다. 그녀는 부엌의 테이블에 엎드려 있었다.	Лицо на сплетенных запястьях, профиль под каскадом густо-черных волос.
두 팔 위에 이마를 얹고, 쭉 뻗은 머 리로 옆얼굴을 가리고 있었다.	Дорожка незагорелой кожи пробегала под волосами от шеи к затылку.
	Под мышкой, из открытого рукава полотняного платьица, какого я раньше не видел на ней, едва различимо проступала полоска лифчика.
머리카락 사이로 햇볕에 타지 않은 흰 목덜미가 보였다.	Я стаскивал пиджак, стягивал черный галстук, расстегивал часы на руке.
처음 보는 무늬 있는 원피스의 어깻죽지 사이로 브래지어 끈이 약간 들여다보였다.	Она не шелохнулась ни разу.
내가 웃옷을 벗고, 검은 넥타이를 풀고, 손목시계를 푸는 동안, 그녀는 꼼짝달 싹도 하지 않았다.	Глядя на ее спину, я вспомнил прошлое.
그녀의 등을 보고 있으려니 옛날 일이 생각났다.	Свое прошлое - до того, как я встретил ее.
그녀와 만 나기 이전의 일 말이다. 나는 '왔어?'	- Эй... - попытался позвать я.
하고 말을 걸어 보았는데, 도무지 내 목소리로는 들리지 않았다.	Собственный голос показался мне совершенно чужим.
어딘가 먼데 에서 일부러 운반되어 온 목소리 같았다. 예상대로 대답은 없었다.	Словно откуда-то издалека его доставили его по заказу для этого случая.
그녀는 잠들어 있는 것처럼도 보였고, 울고 있는 것처럼도 보였고, 죽어 있는 것처럼도 보였다.	Как и следовало ожидать, ответа не было.
나는 테이블 맞은편에 앉아 손가락 끝으로 눈을 눌렀다.	Она казалась спящей.
선명한 햇살이 테이 블을 가르고 있었다.	Или плачущей.
그림자에는 색깔이 없었다.	Или мертвой.
테이블 위에는 시들어 버린 제라늄 화분이 놓여 있었다.	Сев за стол напротив нее, я стиснул пальцами веки.
	Свежий солнечный луч разрезал крышку стола пополам: я - на свету, она - в полупризрачных сумерках.
창 밖에서는 누군가 길에 물을 뿌리고 있었다.	У сумерек не было цвета.
아 스팔트길에 물을 뿌리는 소리가 났고, 아스팔트길에 물을 뿌리는 냄새가 났다.	На столе громоздился горшок с пересохшей геранью.
	За окном кто-то выплеснул воду на улицу: звонкий шлепок воды о дорогу - и запах сырого асфальта.
커피라도 마시지 않을래?'	- Кофе выпьешь?...
역시 대답은 없었다.	Как и прежде, молчание.
나는 대답이 없는 것을 확인하고 나서 일어나 부엌에서 2인분의 커피콩을 갈 고, 트랜지스터 라디오를 켰다.	Убедившись, что ответа не будет, я встал, насыпал в кофемолку зерен на пару порций, включил транзистор.
커피콩을 다 갈고 난 다음에야 사실은 아이스티 가 마시고 싶었다는 것이 생각났다. 나는 언제나 지나고 나서 여러 가지 일을 생각해 내곤 한다.	Когда кофе был уже смолот, я вдруг вспомнил, что на самом деле хотел выпить чаю со льдом...
트랜지스터 라디오에서는 그야말로 아침에 어울리는 잔잔한 팝송이 끊임없이 흘러 나왔다. 그런 노래를 듣고 있자니 지난 10년 동안 세상은 전혀 변하지 않 았다는 생각이 들었다.	Вспоминать все задним числом давно уже стало частью моей натуры. Транзистор выплескивал песню за песней - по-утреннему беззубый, ненавязчивый попс.
	Слушая эти песни, я вдруг ощутил, что в этом мире, пожалуй, так ни черта и не изменилось за прошедшее десятилетие.
가수와 노래 제목만이 바뀌었다. 그리고 내가 열 살을 더 먹었을 뿐이다.	Ни черта, кроме имен певцов и названий песен.
주전자의 물이 다 끓은 걸 확인하고 가스 불을 끄고는 30초 동안 식힌 다음 커피 가루 위에 부었다.	Да кроме, пожалуй, еще того, что я прожил десяток лет.
	Проверив чайник: вскипел, я выключил газ и, выдержав тридцать секунд, чтобы унялись пузыри, начал лить кипяток на кофейную пыль.
가루가 뜨거운 물을 빨아들일 만큼 빨아들이고 나서, 천천히 부풀어오르기 시작하자 따뜻한 향기가 방안 가득 퍼졌다. 밖에서는 벌 써 매미가 울어대기 시작했다. '어젯밤부터 있었던 거야?'	Ошпаренная, она вобрала в себя сколько могла - и, набухая неспешно, разнесла по комнате свой согревающий запах. За окном вразнобой стрекотали цикады.
나는 주전자를 손에 든 채 그렇게 물어 보았다. 테이블 위에서 그녀의 머리카락이 아주 약간 흔들렸다.	- Ты что, с самого вечера здесь?.. - спросил я, продолжая держать в руке чайник.
	Разметавшиеся по столу и, казалось, замершие навеки, ее волосы вдруг еле заметно дрогнули в ответ.
줄곧 기다리고 있었군.'	- Меня дожидалась?...
그녀는 대꾸하지 않았다.	Снова молчание.
주전자의 김과 강한 햇살 때문에 방은 어두워지기 시작했다.	От палящих лучей вперемежку с клубами пара в кухне сделалось душно.
나는 싱크대 위 의 창을 닫고 에어컨디셔너의 스위치를 켠 다음, 테이블 위에 커피 잔 두 개를 나란히 내려놓았다.	Я задвинул вентиляционное окошко над раковиной, щелкнул кнопкой кондиционера и поставил на стол чашки с кофе.
마셔' 라고 나는 말했다.	- Пей давай, - сказал я.
내 목소리는 조금씩 본래의 내 목소리로 돌아오고 있었다. '······.'	Голос понемногу становился снова моим. - ...................
마시는 게 좋을 거야.'	- Лучше тебе это выпить.
	Прошло еще добрые полминуты, прежде чем она медленно, как-то механически подняла лицо от стола - и застыла опять, упершись бессмысленным взглядом в горшок с пересохшей геранью.
좋이 30초 정도가 지나고 나서 그녀는 천천히, 그리고 균일한 동작으로 테이 블에서 얼굴을 들더니 그대로 시든 화분을 멍하니 바라보았다.	Чуть намокшие от слез паутинки волос прочеркивали на щеке три-четыре беспорядочных штриха.
가는 머리카락 이 젖은 뺨에 달라붙어 있었다. 희미하고 촉촉한 기운이 그녀의 주의를 오로라 처럼 감돌았다.	Аура едва уловимой влаги расходилась от нее волнами по комнате.
신경 쓰지 말아요. 울 생각은 없었어요' 라고 그녀는 말했다.	- Не беспокойся, - сказала она, - реветь здесь никто не собирался.
내가 크리넥스 상자를 내밀자 그녀는 소리 내지 않고 코를 푼 다음, 뺨에 달 라붙어 있는 머리카락을 성가시다는 듯이 손가락으로 치웠다.	Я вытянул из пачки салфетку; беззвучно высморкавшись, она нервно убрала с лица налипшие волосы.
사실은 당신이 돌아오기 전에 나갈 생각이었어요.	- Я, вообще-то, собиралась уйти до того, как ты вернешься.
당신과 얼굴을 마주치고 싶지 않았거든요.'	Не хотела встречаться.
그런데 생각이 바뀌었단 말이지.'	- Но потом, я вижу, раздумала?
그렇지 않아요.	- Вовсе нет.
	Просто... расхотелось куда-то еще идти.
이젠 아무데도 가고 싶지 않아졌을 뿐이에요.	Но ты не волнуйся, я уже ухожу.
그래도 곧 갈 테니 걱정하지 말아요.'	- Да ладно...
어쨌든 커피나 마시라구.'	Кофе хоть выпей.
나는 라디오의 교통 정보를 들으면서 커피를 조금씩 마시며, 가위로 두 통의 편지를 개봉했다.	Под сводку дорожно-транспортных происшествий я отхлебнул кофе, затем взял ножницы и вскрыл два пришедших конверта.
한 통은 가구점에서 보낸 것이었는데, 기간 중에 가구를 사면 전부 20퍼센트 할인이 된다는 내용의 씌어 있었다.	В одном - извещение из мебельного магазина: скидка цен на 20 процентов при покупке в такой-то срок.
나머지 한 통은 다시는 생 각하고 싶지도 않은 상대방에게서 온 읽고 싶지도 않는 편지였다.	Во втором оказалось письмо, читать которое не хотелось, от приятеля, вспоминать о котором желания тоже не было.
나는 두 통의 편지를 한꺼번에 뭉쳐서 발 밑의 휴지통에 던져 넣고는 먹다 남 은 치즈 크래커를 먹었다.	Я смял конверты, бросил в корзину с мусором и принялся догрызать остатки галет.
그녀는 추위를 참고 있다는 듯이, 두 손으로는 커피 잔을 감싸고 입술은 커피 잔 가장자리에 가볍게 댄 채 물끄러미 나를 쳐다보았 다.	Она, не отнимая губ от чашки, стиснув ее в ладонях, точно пытаясь согреться, пристально наблюдала за мной.
냉장고에 샐러드가 있어요.'	- Там салат в холодильнике...
샐러드?'	- Салат?
나는 고개를 들어 그녀를 보았다.	- Я поднял голову и уставился на нее.
토마토와 강낭콩.	- Помидоры с фасолью.
그것밖에 없더군요.	Других не было.
오이는 상한 것 같아서 버렸어요.'	Огурцы твои испортились, я выкинула...
알았어.'	- М-м-м...
	Я достал из холодильника большую салатницу из голубого окинавского стекла и вылил туда остававшиеся в бутылке пять миллиметров приправы.
나는 냉장고에서 샐러드가 담겨 있는 푸른색 오키나와(아엄 ) 유리 접시를 꺼내, 병 밑바닥에 3밀리미터 가량 남아 있던 드레싱을 병이 완전히 빌 때까지 모조리 끼얹었다.	От помидоров с фасолью осталась одна сплошная озябшая тень.
토마토와 강낭콩은 그림자처럼 차가웠다.	Вкус отсутствовал напрочь.
그리고 아무런 맛 도 느껴지지 않았다.	Вкуса также не оказалось ни в галетах, ни в кофе.
크래커에서도 커피에서도 맛은 느껴지지 않았다.	Видимо, из-за яркого утреннего света.
아마 아 침 햇살 탓일 게다. 아침 햇살이 모든 걸 분해해 버리는 것이다.	Утренний свет вечно все разлагает на составные.
	Я извлек из кармана сигареты, смятые в кашу, и прикурил от спичек, происхождение которых не помнил.
나는 커피를 마시다 말고 주머니 속에서 구겨진 담뱃갑을 꺼내, 전혀 본 기억이 없는 종이 성냥을 그어 불을 붙였다.	Сигарета захлюпала при затяжке, как высыхающий мыльный пузырь.
담배 끝이 바지직 하고 마른 소리를 냈고, 보랏빛 연 기는 아침 햇살 속에 기하학적 무늬를 그렸다.	Сиреневый дым растекся в утренних лучах абстрактными узорами.
장례식이 있었어.	- Я ездил на похороны.
식이 끝난 후에 신주쿠(新宿)로 나가 줄곧 혼자서 마셨어.'	Потом все закончилось - поехал на Синдзюку, пил до утра в одиночку...
	Откуда-то в комнату прокралась кошка, протяжно зевнула и игриво прыгнула к ней на колени.
고양이가 어디선가 와서 하품을 길게 한 다음, 그녀의 무릎 위에 사뿐히 올라 앉았다.	Она запустила руку в шерсть и несколько раз почесала кошку за ухом.
그녀는 고양이의 귀 뒤쪽을 몇 번 긁어 주었다.	- Не объясняй ничего, - сказала она.
설명 안 해도 돼요.	- Это уже меня не касается.
이젠 나하고는 상관없는 일이니까요' 라고 그녀는 말했다.	- А я ничего и не объясняю.
설명하는 게 아니야, 그저 말하고 있을 뿐이지.'	Так... болтаю о чем-нибудь.
	Она чуть пожала плечами, и шлейка лифчика исчезла, утонув в вырезе рукава.
그녀는 어깨를 움츠리고, 브래지어 끈을 원피스 속으로 밀어 넣었다.	На лице ее не было ничего, что я бы назвал выражением.
	И я вспомнил картину, которую видел когда-то давно - фотографию города, опустившегося на дно моря.
그녀의 얼굴은 무표정했다.	- Мы знали друг друга раньше.
그런 그녀의 얼굴을 보니 언젠가 사진에서 본 바다 밑에 가라앉아 버린 거리가 떠올랐다.	Хотя и не очень близко...
옛날에 좀 알던 사람이었어, 당신을 모르는 사람이지만.'	Вы не были знакомы.
그래요?'	- Вот как?...
	Кошка на ее коленях потянулась, вытянув лапы во всю длину, и с легким шипением выпустила воздух из легких.
고양이는 그녀의 무릎 위에서 기지개를 켜더니 후 하고 숨을 내쉬었다.	Я молча смотрел на огонек сигареты.
나는 입을 다문 채 담뱃불 끝은 바라보고 있었다.	- От чего смерть?
왜 죽었는데요?'	- Сбило машиной.
교통 사고야. 뼈가 열세 개나 부러졌다나.'	Переломы в тринадцати местах.
여자?'	- Женщина?...
응.'	- Угу.
	Закончилась семичасовая сводка дорожно-транспортных происшествий, и по радио вновь забренчал незатейливый рок-н-ролл.
일곱 시 뉴스와 교통 정보가 끝나고, 라디오에서는 다시 가벼운 록 음악이 흘 러나오고 있었다.	Она поставила чашку на блюдце и посмотрела мне в глаза.
그녀는 커피 잔을 접시 위에 올려놓고, 내 얼굴을 쳐다보았 다.	- Интересно...
저어, 내가 죽어도 그렇게 술을 마실 거예요?'	Я умру - ты так же напьешься?
술을 마신 것과 장례식은 관계없다구.	- Пил я вовсе не из-за похорон.
관계 있었던 건 처음 한두 잔 정도겠 지.'	Ну, разве что, первую пару рюмок...
밖에서는 새로운 하루가 시작되려 하고 있었다.	За окном разгорался новый день.
무더운 하루가 될 것 같았다.	Новый и жаркий день.
	В окошке над раковиной заискрился далекий пейзаж ╜ сбившиеся в кучку небоскребы.
싱크대 위의 창문으로 고층 빌딩들이 보였는데, 여느 때보다도 훨씬 눈부시게 반짝거렸다.	Сегодня они сияли гораздо ярче обычного.
시원한 거라도 마시겠어?'	- Выпьешь прохладного?
그녀는 고개를 저었다.	Она покачала головой.
나는 냉장고에서 차가워진 캔 콜라를 꺼내, 유리 잔에 따르지 않고 단숨에 들 이켰다.	Я достал из холодильника банку колы и выпил залпом до дна.
아무하고나 자는 애였어' 라고 나는 말했다.	- Девчонка, которая давала кому угодно... - сказал я.
	Словно соболезнование выразил: 'При жизни усопшая вечно спала с кем попало...'
마치 '고인은 누구와도 자는 여자였습니다.'	- А это зачем мне рассказывать? - спросила она.
하는 조사(弔辭) 같았다.	Зачем?
왜 그런 말을 하는 거죠?'	Я и сам не знал.
라고 그녀는 물었다. 이유는 나도 몰랐다.	- Так, и что из этого?..
어쨌든 아무하고나 자는 여자였단 말예요?'	Прямо-таки всем подряд?
그렇다니까.'	- Ну да.
하지만 당신하고는 달랐겠죠.'	- Но тебе-то - дело другое, не так ли?
그녀의 목소리에는 뭔가 특별한 여운이 있었다.	Ее голос вдруг странно звякнул жесткими нотками.
나는 샐러드 접시에서 얼굴 을 들고, 시들어 버린 하분 너머로 그녀의 얼굴을 쳐다보았다.	Я поднял глаза от тарелки с салатом и сквозь ветки засохшей герани посмотрел ей в лицо.
그럴 거라고 생각해?'	- Почему ты так думаешь?
그녀는 작은 목소리로 '그냥요' 라고 대답했다.	- Ну, не знаю, - очень тихо сказала она.
당신이란 사람, 그런 타입이잖아요.' '그런 타입?'	- Ты совершенно другого склада. - Другого склада?
당신에겐 어딘가, 그런 구석이 있다구요.	- У тебя такая особенность...
모래시계나 마찬가지죠.	Как в песочных часах.
	Когда весь песок высыпается, обязательно кто-то их переворачивает - и все сначала...
모래가 다 떨어지면 틀림없이 누군가가 와서 뒤집어 놓고 가거든요.'	- Что, действительно?...
그런가?' 그녀의 입술이 아주 조금 벌어졌다가 다시 원래의 상태로 되돌아갔다.	Ее губы дрогнули в странной полуулыбке - и сделались вновь бесстрастными.
남은 짐을 가지러 왔어요.	- Я пришла за вещами...
	Пальто зимнее, шапка и все остальное.
겨울 코트, 모자, 그런 것들요.	Я там собрала все в ящик.
골판지 상자에 정 리해 두었으니까, 한가할 때 운송 센터까지 날라다 줄래요?'	Будут руки свободны - донеси до рассылки, ладно?
집까지 갖다 줄게.'	- Да я домой к тебе завезу...
그녀는 조용히 고개를 저었다.	Она тихо покачала головой: - Не стоит.
그럴 필요 없어요. 오는 것 싫어요.	Я не хочу, чтобы ты приходил.
아시겠어요?'	Понятно?
하긴 그 말이 맞다.	И правда.
나는 엉뚱한 말을 너무 많이 한다. '주소는 알죠?'	Я совсем забылся и болтал уже то, чего в виду не имел.
알아.' '볼일은 이것뿐이에요.	- Адрес ты знаешь, так ведь?
너무 오래 있어서 미안해요.'	- Да уж, знаю...
서류는 그거면 다되는 건가?'	- Ну, тогда у меня все.
네, 다 끝났어요.' '꽤 간단하군.	Извини, что так засиделась...
성가신 일이 좀더 있을 거라고 생각했는데.'	- Как с бумагами?
모르는 사람은 모두 그런 줄 알아요.	Больше ничего не надо?
하지만 일단 끝나 버리고 나면, 사실은 정말 간단하다구요.'	- Да, уже все закончилось.
그녀는 이렇게 말하고 다시 한 번 고양이 머리를 긁어 주었다.	- Даже смешно, как все просто, а?
한 번만 더 이혼을 하면 베테랑이 되겠네.'	Я-то думал, будет столько возни...
고양이는 눈을 감고 작게 기지개를 켜고 나서, 그녀의 팔에 살며시 고개를 올 려놓았다.	- Всем так кажется, кто с этим еще не сталкивался.
나는 커피 잔과 샐러드 접시를 싱크대에 처넣은 다음 비 대신 청구 서로 크래커 가루를 한군데로 모았다.	На самом деле оказывается очень просто...
햇빛 때문에 눈 속이 따끔거렸다.	Когда все уже позади.
자질구레한 것은 당신 책상 위의 메모지에 전부 적어 놓았어요.	- Она еще раз почесала кошку за ухом.
여러 가지 서류가 있는 곳, 쓰레기 수거일, 그런 것 말이에요.	- Разведись второй раз - и ты уже ветеран...
	Кошка зажмурилась, потянулась и затихла, пристроив голову на ее руке.
	Я сложил чашки и салатницу в раковину, потом чеком из магазина, как веником, смел галетное крошево со стола.
모르는 게 있으면 전화하세 요.' '고마워' '아이를 원했나요?'	Яркое солнце больно кололо глаза.
아니. 아이 따위 원하지 않아' 라고 나는 대답했다.	- Я список оставила - там, на твоем столе...
나는 꽤나 망설였다구요.	Где какие бумаги лежат.
하지만 이렇게 될 바에는 차라리 잘 된 거예요.	Дни, когда забирают мусор.
만약에 아이가 있었다면 이렇게 되지 않았을 거라고 생각하나요?'	Ну, и все остальное.
아이가 있어도 이혼하는 부부는 얼마든지 있어.'	Если что непонятно, звони...
그래요' 라고 그녀는 대꾸하고는 내 라이터를 잠깐 만지작거렸다.	- Да, спасибо. - Ты хотел детей?
당신을 지금도 좋아해요.	- Нет, - сказал я.
하지만 반드시 그런 문제만은 아닌가 봐요.	- Детей не хотел.
그건 나 자신도 잘 알고 있어요.' 	- А я колебалась все время.
	Но раз все вот так - то и слава Богу, правда?
	Хотя, как ты думаешь - может, как раз с детьми все было бы по-другому?
	- Ну, куча народу разводится и при детях.
	- Да, наверное...- сказала она, вертя в пальцах мою зажигалку.- А я и сейчас люблю тебя.
	Только дело совсем не в этом...
	Я прекрасно все вижу сама.
	
2.그녀의 소멸	2. ИСЧЕЗНОВЕНИЯ (ее самой, ее фотографий и ночной сорочки)
·사진의 소멸·슬립의 소멸 그녀가 돌아간 후 나는 캔 콜라를 하나 더 마시고 나서 뜨거운 물로 샤워를 하고 면도도 했다.	
비누도 샴푸도 셰이빙 크림도, 모든 게 떨어져 가고 있었다.	
샤워를 하고 나서 머리를 빗고, 로션을 바르고, 귀를 후볐다.	
그리고 부엌으로 가서 남은 커피를 다시 데웠다. 테이블 맞은편에는 이제 아무도 앉아 있지 않 았다.	После ее ухода я выпил еще одну банку колы, потом принял горячий душ и побрился.
아무도 앉아 있지 않은 의자를 가만히 바라보고 있노라니, 내가 작은 아 이고 이탈리아의 화가 키리코의 그림에 나옴 직한 낯선 거리에 혼자 버려진 듯 한 느낌이 들었다.	Что бы ни брал я в руки: мыло, крем для бритья - все кончалось, шампуня оставалось на донышке.
물론 나는 이제 어린아이가 아니다. 나는 아무 생각 없이 오랫동안 커피를 다 마시고 나서도, 한동안 멍하니 있다가 담배에 불을 붙였다.	Я вышел из душа, причесался, освежил кожу лосьоном и вычистил уши.
꼬박 스물네 시간 동안 잠을 자지 않은 것에 비해서는 이상하게도 잠이 오지 않았다.	Затем поплелся на кухню и разогрел оставшийся кофе.
몸은 나른했지만, 머리만은 숙달된 수생 동물처럼 마구 얽힌 의식의 수 로를 목적도 없이 빙빙 돌아다니고 있었다.	За столом напротив меня никого уже не было.
	Взгляд мой споткнулся о стул, не котором больше никто не сидел, и я вдруг ощутил себя малым ребенком, который остался один на улице странного, фантастического города, что я видел когда-то на фасетной картинке...
아무도 앉아 있지 않는 의자를 물끄러미 바라보고 있는 동안 오래 전에 읽었 던 미국 소설이 생각났다.	Впрочем, что говорить, - я давно уже не ребенок.
	Без единого проблеска мысли в мозгу я долго, глоток за глотком, отхлебывал кофе, пока не выпил весь, потом просидел без движения еще какое-то время и, наконец, закурил.
아내가 가출하자 남편이 식당의 맞은편 의자에 아내 의 슬립을 몇 달이나 걸어 둔다는 이야기였다.	Удивительно: я провел без сна ровно сутки, но спать совсем не хотелось.
	Тело пронизывало усталостью, и лишь голова, как дрессированное морское животное, еще оставалась на плаву и в попытках спасти утопающее сознание все выписывала над несчастным круги по воде безо всякого толку.
잠깐 그런 생각을 하다 보니, 그 것은 그다지 나쁘지 않은 아이디어라는 생각이 들기 시작했다.	Глядя на пустой стул напротив, я вспомнил историю, вычитанную однажды у какого-то американца.
	Человек, от которого ушла жена, несколько месяцев кряду не притрагивался к ночной сорочке, оставленной ею на спинке стула в столовой...
특별히 도움이 될 것 같지는 않지만, 시들어 버린 제라늄 화분을 놓는 것보다는 훨씬 멋진 일 인 것 같다.	Подумав еще немного, я решил, что идея, в общем, не так и плоха.
고양이도 그녀의 물건이 있으면 조금은 안정이 될지도 모른다. 나는 침실에 있는 그녀의 서랍을 차례로 열어 보았지만 전부 텅텅 비어 있었 다.	Вряд ли, конечно, это как-то поможет - но все лучше, чем глазеть на горшок с пересохшей геранью...
남아 있는 것이라곤 좀먹은 낡은 머플러 한 장과 옷걸이 세 개, 방충제를 싼 봉지뿐이었다. 그녀는 남김없이 모조리 가져 가버린 것이다.	Да и кошка наверняка вела бы себя спокойнее, если бы в комнате остались какие-то вещи жены.
욕실에 잡다하게 널려 있던 자질구레한 화장품, 염색 용구, 칫솔, 헤어 드라이 어, 영문 모를 약, 생리 용품, 부츠부터 샌들, 슬리퍼에 이르는 모든 신발, 모자 상자, 서랍에 하나 가득 들어 있던 액세서리, 핸드백, 숄더백, 슈트케이스, 지갑 언제나 가지런히 정리되어 있던 속옷과 양말, 편지, 그녀의 체취를 느낄 수 있는 것은 아무것도 남아 있지 않았다.	Зайдя в спальню, я принялся открывать, один за другим, ящики ее шкафа; все оказались пусты - хоть шаром покати.
지문마저도 지워 놓고 가지 않았을까 하는 생각이 들 정도였다.	Старый изъеденный молью шарфик, пакетик с порошком от моли да три пустых вешалки - вот и все, что я там обнаружил.
책장과 레코드 선반의 3분의 1가량이 비어 있었다.	Она выгребла все подчистую.
