제5장 	Часть пятая 
	Ведь ему уже заранее известно, что и как он хочет сказать - и потому он может преспокойно оставаться живым внутри своего контекста.
하긴 편지를 잘 쓸 줄 아는 사람이라면 편지를 쓸 필요도 없겠지.	Но это, разумеется, моя личная точка зрения.
왜냐하면 자신의 문맥 속에서 충분히 살아갈 수 있을 테니까.	Может быть, на самом деле жизнь в собственном контексте - вещь вовсе и невозможная.
물론 이것은 내 개인적인 견해에 지나지 않네.	Сейчас очень холодно, у меня коченеют руки.
문맥 속에서 살아가는 일 따위는 불가능할지도 모르니까.	Я не чувствую, что это - мои руки.
지금은 몹시 추워서 손이 곱아 있다네. 마치 내 손이 아닌 것 같군.	Даже мозги в голове - и те словно чужие.
내 뇌도 내 뇌가 아닌 것 같아.	Падает снег.
지금 눈이 내리고 있네. 남의 뇌 같은 눈이야.	Снег, похожий на чьи-то мозги.
그리고 남의 뇌처럼 자꾸자꾸 쌓여 가고 있다네(의미가 없는 문장이지).	Валит и валит, становясь, как и чьи-то мозги, все глубже, все непролазнее...
추운 것만 빼면 나는 별탈 없이 잘 지내고 있다네.	(Что за бред я несу?)
그 쪽은 어떤가?	
내 주소 는 알리지 않았지만, 신경 쓰지 말게. 자네에게 뭔가를 숨기고 싶어서 그러는 건 아니야.	Если не считать холодов - жизнь у меня в полном порядке.
그것만은 알아주기 바라네.	У тебя-то там как?
이것은 내게 있어서는 아주 기묘한 문 제라네.	Я не буду сообщать тебе мой нынешний адрес; не обижайся.
자네에게 주소를 가르쳐 주면 그 순간부터 내 속에서 뭔가가 변해 버 릴 것 같거든.	Причина здесь вовсе не в том, что я хочу от тебя что-то скрыть.
제대로 표현할 수는 없지만 말일세.	Пойми меня, если можешь.
자네는 내가 제대로 표현하지 못하는 일을 언제나 잘 이해해 주었던 것 같은 생각이 든다네.	Для меня это - очень деликатная проблема.
그러나 자네가 제대로 이해해 주면 줄수록, 나는 점점 더 제대 로 말을 못하게 되는 것 같아.	Мне кажется, сообщи я тебе свой адрес - и внутри меня моментально что-то изменится.
아마 선천적으로 어딘가 결함이 있나 봐.	Не могу как следует объяснить...
물론 누구에게나 결함은 있지. 그러나 내 최대의 결함은 해를 거듭할수록 그 결함이 점차 커져 간다는 데에 있다네.	По-моему, ты всегда хорошо понимал те вещи, которые я не умел как следует объяснить.
	Вот только чем больше ты понимал меня, тем хуже у меня получалось выражать свои мысли словами.
다시 말해서 몸 속에서 닭을 기르고 있는 것과 같지.	Видимо, тут у меня с рождения какой-то мелкий изъян.
닭이 알을 낳고, 그 알이 다시 닭이 되고, 그 닭이 또 알을 낳는 거야.	Конечно, у всех есть свои изъяны.
	Но, видишь ли, величайший из моих изъянов как раз и заключается в том, что стоит мне выявить в душе какой-нибудь совсем небольшой изъянчик - как тот сразу начинает неудержимо расти.
그런 식으로 그런 결함을 안은 채 사람이 살아갈 수 있는 걸까?	Иначе говоря - внутри у меня прямо какая-то птицеферма.
	Снесла курочка яичко, а оно превратилось в новую курочку, которая тоже снесла яичко...
	Вот так и плодятся изъяны в душе, и поражаешься: да разве может так жить человек - в постоянной попытке удержать весь их огромный, расползающийся рой жалким обхватом растопыренных рук?
물론 살아갈 수 있겠지. 결국은 그것이 문제지.	Но в том-то и дело, что - может.
어쨌든 나는 내 주소를 쓰지 않겠네.	В этом вся и беда.
아마 그게 더 나을 거야. 내 자신에게 도 자네에게도 말이야.	Так или иначе, адреса своего я тебе сообщать не стану.
아마 우리는 19세기의 러시아에서나 태어났어야 했는지도 몰라.	Уверен, что так будет лучше.
나는 무슨 무슨 공작, 자네는 무슨 무슨 백작이고, 둘이서 사냥도 하고 결투도 하고 사랑의 쟁탈전도 벌이고, 형이상적인 고민도 하고 흑해 주변에서 저녁놀을 바라보며 맥 주를 마시기도 하는 거지.	И для меня, и для тебя. ...Нам с тобой, наверное, следовало родиться где-нибудь в России девятнадцатого столетия.
그리고 노년에는 '무슨 무슨 난(亂)'에 연루되어 둘이 함께 시베리아로 유배되어 거기서 죽는 거야.	Мне - князем Таким-то, тебе - графом Сяким-то.
	На пару охотиться, стреляться на дуэлях, соперничать в любовных интригах, страдать метафизическими душевными муками и потягивать пиво, созерцая черноморский закат.
	На склоне лет оказаться замешанными в заговоре каких-нибудь очередных мартобристов, пойти по этапу в Сибирь - и там помереть...
멋있다고 생각지 않나?	Замечательно было бы - ты не находишь?
나도 19세기에 태어났다면 좀더 훌륭한 소설다운 소설 을 쓸 수 있었을 텐데.	Родись я в девятнадцатом веке - наверняка, и писал бы куда приличнее.
도스토예프스키 정도는 못되더라도. 아마 그에 가까운 이는 되었을 거야.	Пусть не как Достоевский, на порядок пониже - но достаточно солидно для признания в свете.
자네는 무엇을 하고 있었을까?	Что бы делал ты?
자네는 그저 무슨 무슨 백작 이었을지도 모르지. 그저 무슨 무슨 백작이라는 것도 괜찮지 않나?	Скорее всего, просто графствовал себе помаленьку.
어딘지 19 세기적 이거든. 하지만 이제 그만두세. 20세기로 돌아가자구. 거리에 대해서 이야기하지.	Просто граф' - это ведь тоже неплохо. Очень даже в духе столетия...
우리가 태어난 거리가 아니고, 다른 여러 가지 거리야.	Ладно, хватит фантазий.
세계에는 참으로 다양한 거리가 있지.	Вернемся в двадцатый век.
그 거리마다에는 저마다의 알 수 없는 것들이 있어서, 그것들이 나를 매혹시킨다네.	Поговорим о провинциальных городах.
나는 지난 몇 년 동안 그렇게 상 당히 많은 거리를 지나쳐 왔다네.	Не о тех, где мы родились, а обо всяких других.
아무런 계획 없이 되는 대로 아무 역에 내리면 작은 로터리가 있고, 그 곳 아 내도가 있고, 상점가가 있지. 어디나 똑같아.	На свете, знаешь ли, существует несметное количество провинциальных городков.
	И в каждом из них обязательно есть что-то, о чем мы и слыхом не слыхивали; собственно, этим они меня всегда и притягивали.
개의 생김새까지 똑같지. 우선 그 거리를 한바퀴 빙 돌아보고 나서 복덕방에 들어가 싸구려 하숙집을 소개받는 거야.	Из-за этой тяги за последние годы я прокочевал по великому множеству таких вот маленьких городишек.
	Сев на первый попавшийся поезд, я отправлялся, куда Бог пошлет, выходил на случайной станции - и видел перед собой: маленький кольцевой разъезд, карту городка на железном щите и прямо по курсу - торговый квартал с притиснутыми друг к дружке лавками и ресторанчиками.
물론 나는 타지 사람이고, 작은 거리는 배타적이라서 금방은 믿어 주지 않지.	Картина одинаковая везде, куда бы я не приехал.
하지만 나는 자네도 알다시피 마음만 먹으면 꽤 붙임성 있게 굴 수 있네.	Одинаковая - до выражений на собачьих мордах.
	Описав пешком круг по городу, я заходил в контору по сдаче жилья и подбирал себе пансион подешевле.
	Известное дело, при первом знакомстве маленький, замкнутый в себе городишко не пылал особым доверием к чужакам вроде меня.
	Ну, да ты меня знаешь: когда приспичит, я неплохо приспосабливаюсь к обстановке; дай мне 15 минут - и я сумею поладить с большинством окружающих.
	Так что и с жильем вопросы решались сразу, и любые сведения о жизни вокруг, когда нужно, всегда оказывались под рукой.
그래서인지 15분 안에 웬만한 사람과는 친해질 수 있거든.	Дальше нужно было найти работу.
그렇게 하여 거처를 마련하고 그 거리에 대해서 여러 가지 정보도 얻는다네.	Для этого, опять же, необходимо завести как можно больше знакомств.
	Ты, наверное, посчитал бы это чересчур утомительным (я и сам порой не знал, куда от скуки деваться) - пускаться во все тяжкие, чтобы найти работу на какие-то четыре месяца.
그 다음은 일거리 찾기라네. 이것 역시 여러 사람과 친해지는 것으로부터 시 작되지.	Но, скажу тебе, 'стать своим' в таком городишке совсем несложно.
	Первым делом вычисляется место, где собирается молодежь, какая-нибудь кофейня или закусочная (в любом городе есть что-то в этом роде - как колодец в деревне).
자네라면 아마 진절머리를 내겠지만(나도 나름대로 지겹다네), 어차피 기껏해야 서너 달 살 텐데 누구와 친해지든 그게 그거지.	Там, примелькавшись, заводишь приятелей, которые и знакомят тебя с очередным работодателем.
우선 그 거리의 젊은 친구들이 모이는 찻집이나 스낵 바 같은데를 찾은 다음 (어느 거리에나 그런 곳은 있게 마련이지.	Имя и биография, понятно, сочиняются всякий раз, исходя из ситуации.
	Ты просто не представляешь, каким количеством имен и биографий обзавелся я за последние годы!
그 거리의 배꼽 비슷한 거라네), 그 집의 단골이 되고, 아는 사람을 만들어서 일을 소개받는 거야.	Иногда даже трудно вспомнить, кто я был в прошлом на самом деле.
물론 이름이나 신상에 관한 이야기는 적당히 꾸며대는 거지.	Работа тоже случалась самая разная.
그런 연유로 해서, 나는 이제는 자네가 상상도 못할 만큼 이름과 프로필을 가지고 있다네.	В большинстве своем - скучная, но мне все равно нравилось.
가끔 본래의 내가 어떤 사람이었던지조차 잊어버릴 정도라네.	Чаще всего попадались бензозаправки.
일만 해도 참으로 여러 가지 일을 해봤지.	Затем - работа официантом в закусочных.
대개는 따분한 일이었지만, 그래도 일하는 건 즐거워.	Был я и приказчиком в букинисте, и ведущим радиопрограммы.
가장 많이 한 것은 주유소 일일 거야.	Копал землю.
그 다음이 스낵 바의 바텐더.	Торговал косметикой.
서점에서 점원 일도 했고, 방송국에서 일한 적도 있지. 막노동도 했고 화장품 세일즈도 했네.	Между прочим, моей репутации торговца можно было позавидовать...
세일즈맨으로서의 나는 상당한 평가를 받았다구. 그리 고 여러 여자와 잤지.	Ну и, конечно же, спал с разными девчонками.
	Скажу откровенно: спать поочередно с женщинами разных имен и биографий - штука совсем неплохая.
서로 다른 이름과 다른 프로필로 여자와 자는 것도 나쁘 지 않더군.	В общем, примерно так все и вертелось.
대충 이런 생활을 반복했지. 그리고 나는 스물아홉 살이 됐네.	И вот мне двадцать девять.
이제 아홉 달만 있으면 서른 살이 되겠지.	Через девять месяцев - тридцать.
이런 생활이 내게 어울리는지 어떤지는 잘 모르겠어.	Совпадала такая жизнь с моим внутренним 'Я' или нет - этого я пока не пойму.
방랑기가 있는 성격이 라는 것이 보편적으로 존재하는 건지 그것도 잘 모르겠네.	Может быть, у меня натура скитальца, помогающая приживаться где угодно; не знаю.
	Кто-то писал, что для долгой бродячей жизни человек должен тяготеть к какому-то из трех видов деятельности: проповедничеству, искусству или психоанализу.
	Дескать, без внутренней предрасположенности к одному из этих занятий долго не поскитаешься.
누군가 썼듯이, 오랜 방랑 생활에 필요한 것은 세 가지 성향, 즉 종교적인 성향, 예술적인 성향, 정신 적인 성향 가운데 하나인지도 모르지.	Я же в своем характере ни одной из подобных склонностей не наблюдаю (хотя, если уж на то пошло...
그중 하나라도 갖추지 않으면 오랜 방랑 은 존재하지 않는다는 거지.	Впрочем, не стоит).
	А может быть, я просто по ошибке распахнул не ту дверь и забрел куда-то не туда - но слишком далеко, чтобы отступать назад.
하지만 내가 그 세 가지 중 어느 하나에 해당한다 고는 생각하지 않네(굳이 하나를 말한다면······ 아니야.	А раз уж ошибся дверью - так хоть веди себя прилично.
그만두지). 어쩌면 나는 문을 잘못 연 채 그대로 물러설 수 없게 된 건지도 모르겠네.	Да и, в конце концов, не всю же жизнь прозябать на кредиты да займы...
하지만 기왕 열었으니 잘해 봐야 되지 않겠나.	Вот такие дела.
왜냐하면 언제까지나 외상으로 물건을 살 수만은 없는 일이니까.	Я уже говорил (или нет?), что боюсь вспоминать о тебе.
	Наверное, ты просто напоминаешь мне о временах, когда я был более или менее приличным человеком.
대충 이런 이야길세.	
처음에도 말했듯이(말했었나?), 자넬 생각하면 나는 좀 불안해진다네.	P. S. Посылаю тебе свою повесть.
	Ценности для меня она больше не представляет, так что распорядись с ней, как сам сочтешь нужным.
자넬 생각하면 내가 그런대로 정상적일 때의 일들이 떠오르기 때문인가 봐.	Письмо пошлю срочной почтой - чтобы доставили к 24-му декабря.
(추신) 내가 쓴 소설을 동봉하네.	Хорошо, если успеет вовремя...
내게는 이제 의미가 없는 것이니까 적당히 처리해 주게.	Как бы там ни было, с днем рожденья.
이 편지가 12월 24일에 도착할 수 있도록 속달로 보내네.	Ну, и - Счастливого Рождества!
	Письмо от Крысы пришло под самый Новый Год - 29-го декабря иcтерзанно-мятый конверт просунули мне в щель почтового ящика.
	На конверте - сразу две квитанции о переадресовке: адрес я сменил много лет назад.
제대로 도착했으면 좋겠는데. 어쨌든 생일 축하하네.	Что ж, - я сам виноват, что не сообщал о себе.
그리고, 화이트 크리스마스 쥐의 편지는 세밑도 임박한 12월 29일에 내 아파트 우편함에 꼬깃꼬깃해진 채 처박혀 있었다.	Четыре странички бледно-зеленой бумаги, заполненные убористым почерком.
	Я прочитал письмо трижды, затем взял конверт и исследовал знаки на полувыцветшем штемпеле.
반송 쪽지가 두 장이나 붙어 있었다. 수신인의 주소가 옛날 것 으로 되어 있었기 때문이다.	О городе с таким названием я ни разу в жизни не слышал.
이쪽에서 알릴 길이 없으니까 어쩔 수 없었다.	Сняв с полки атлас, я попробовал отыскать это место на карте.
	Из некоторых фраз в письме Крысы создавалось впечатление, что речь идет о каких-то северных окраинах Хонсю.
나는 연두색 편지지 넉 장에 깨알같이 씌어진 편지를 세 번이나 읽어 보고 나 서, 봉투를 손에 들고 반쯤 희미해진 소인을 살펴보았다.	Предчувствие не обмануло меня: я нашел, что искал, в префектуре Аомори.
	То был крохотный, забытый Богом городишко: целый час езды на электричке от самого Аомори.
그것은 내가 이름을 들어 본 적도 없는 고장의 소인이었다. 나는 책꽂이에서 지도를 꺼내 그 고장을 찾아보았다.	По расписанию поезда там останавливались пять раз в день.
쥐의 편지 글로 보아 혼슈(역주:일본 열도의 주가 되는 섬.	Два раза утром, один в обед и два вечером.
본토)의 북단쯤이 아닐까 생각했는데, 예 상대로 그 곳은 아오모리 현에 있었다.	Что такое Аомори в декабре я знаю: сам бывал несколько раз.
아오모리에서 기차를 타고 한 시간쯤 걸리는 작은 고장이다.	Нечеловеческие холода.
아침에 두 번, 낮에 한 번, 저녁에 두 번.	Светофоры - и те покрываются льдом.
12월의 아오 모리라면 나도 몇 번 가본 적이 있다.	Позже я показал письмо жене.
그 곳은 신호등이 얼어 버릴 정도로 굉 장히 춥다.	Бедняга,' - только и сказала она.
나는 그 편지를 아내에게 보여 주었다. '불쌍한 사람이군요' 라고 그녀는 말했다.	Возможно, она хотела сказать: 'Бедняги'. Сейчас, разумеется, это не имеет никакого значения.
불쌍한 사람들이군요' 라고 말할 생각이었는지도 모른다. 물론 지금은 아무래도 상관없는 일이다.	Рукопись страниц этак в двести я отправил в ящик стола, даже не взглянув на название.
원고지 200매 가량 되는 소설은 제목도 보지 않고 책상 서랍에 쑤셔 넣었다.	Не знаю, почему, но читать ее у меня и мысли не было.
왠지 읽고 싶지 않았다. 편지만으로도 충분했다.	Письма было более чем достаточно.
그리고 나는 난로 앞에 놓고 있는 의자에 앉아서 담배를 세 개비 피웠다.	Вслед за этим я уселся на стул перед керосиновой печкой - и выкурил три сигареты подряд.
쥐에게서 다음 편지가 온 것은 이듬해 5월 이었다.	Второе письмо от Крысы пришло в мае следующего года.
	
	
2. 두 번째 쥐의 편지	2. ВТОРОЕ ПИСЬМО КРЫСЫ (штемпель: ? мая 1978 г.)
 -소인은 1978년5월?일 지난번 편지에서 내가 좀 말이 많지 않았나 하는 생각이 드네.	Кажется, в предыдущем письме я болтал много лишнего...
하지만 무슨 말을 했는지는 깡그리 잊어버렸다네.	Вот только о чем - хоть убей, не помню.
나는 다시 장소를 옮겼지.	Я опять переехал.
이번엔 이제까지와는 전혀 다른 곳이라네. 아주 조용한 곳이야.	Нынешнее жилье - не сравнить с предыдущим.
내게는 지나치게 조용한지도 모르겠네.	Очень тихое место.
하지만 이곳은 어떤 의미에서는 내게 있어서 하나의 종결점이지.	Может, даже слишком тихое для меня.
나는 이곳 에 와야만 했기 때문에 온 것 같기도 하고, 또 모든 흐름을 기억하며 여기까지 온 것 같은 생각도 든다네.	Но в каком-то смысле здесь - моя последняя пристань.
	С одной стороны, я чувствую, именно сюда меня и должно было занести в конечном итоге; с другой стороны - кажется, будто весь свой путь досюда я плыл 'против течения'.
나로서는 판단할 수가 없어. 이건 형편없는 문장이야.	Которое из ощущений вернее - судить не берусь...
너무도 막연해서, 아마 자넨 무슨 말인지 통 알 수 가 없겠지.	Что-то у меня со слогом неладно.
아니면 자네는 내가 자신의 운명에 필요 이상으로 의미를 부여하고 있다고 생각할지도 모르겠네.	Все чересчур туманно - ты, наверное, никак не поймешь, что к чему.
물론 자네가 그렇게 생각하게 된 데 책임은 전적 으로 나에게 있지.	А может, ты решил, что меня заклинило на теме Судьбы в своей жизни и прочих фатальных вопросах?
그러나 내가 현재 처해 있는 상황을 자네에게 설명하려고 하면 할수록, 내 문 장이 이런 식으로 형편없는 문장이 되고 만다는 사실을 자네가 알아주었으면 좋 겠어.	Если я и вправду заставил тебя так думать - что ж: никого, кроме себя, за то не виню.
	Я просто хочу, чтоб ты понял одно: чем дальше я буду пытаться объяснить свою нынешнюю ситуацию, тем больше таких вот завихрений будет в моем письме, и тут уж ничего не поделаешь.
하지만 나 정상이라네. 이런적이 없었을 만큼 정상이지. 구체적인 이야기를 하겠네.	Но с головой у меня все нормально. Нормальнее, чем когда-либо.
이 근처는 앞에서도 말했듯이 아주 조용하네.	Итак, поговорим конкретно.
	Вокруг меня, как я уже говорил, - могильная тишина. Поскольку заняться здесь больше нечем, каждый день только и делаю, что читаю (книг здесь столько, что не прочесть и за 10 лет) да слушаю музыку - то радио на коротких волнах, то пластинки (пластинок тоже ╬ просто невообразимое количество).
	Так обстоятельно, с расстановкой я не слушал музыку уже, наверное, лет десять.
	Просто удивительно, что 'Роллинг Стоунз' и 'Бич Бойз' еще что-то сочиняют.
달리 할 일이 없으니까 매일 책을 읽으며(여기에는 10년이 걸려도 다 읽지 못할 정도의 책이 있어) FM 라디 오의 음악 프로그램이나 레코드(여기에는 레코드도 상당히 많아)를 듣고 있다네.	Все-таки Время, куда ни глянь, сплетает все вещи и события в одно непрерывное полотно, тебе не кажется?
	Мы привыкли кромсать эту ткань, подгоняя отдельные куски под свои персональные размеры - и потому часто видим Время лишь как разрозненные лоскутки своих же иллюзий; на самом же деле связь вещей в ткани Времени действительно непрерывна.
이처럼 한꺼번에 몰아서 음악을 듣는 게 무려 10년 만이군.	Здесь же у меня никаких 'персональных размеров' не существует.
롤링 스톤스라든 가 비치보이스가 아직도 활약하고 있다니 놀랍군. 시간이라는 것은 어쩔 수 없 이 이어져 있는 건가 봐.	Нет людей, чтобы хвалить или ругать, сравнивая чужие размеры с собственными.
우리는 자신의 사이즈에 맞춰서 시간을 습관적으로 잘라 내버리니까 자칫 착각하기 쉽지만, 시간이라는 것은 확실히 이어져 있네.	Время, как прозрачнейшая река, мирно течет своим природным течением.
	Здесь я часто ловлю себя на ощущении просто бескрайней свободы - так, словно возвращаюсь к своему первоначальному естеству...
	Вот, скажем, падает мой взгляд на автомобиль - а осознание того, что это автомобиль, приходит лишь через пять-шесть секунд.
여기에는 자신의 사이즈라는 것이 없어. 따라서 제 사이즈에 맞춰서 남의 사 이즈에 대해 이러쿵저러쿵 칭찬하거니 비방하는 친구들도 없다네.	То есть, конечно, в каком-то уголке мозга я просто-напросто знаю, что это такое.
시간을 투명 한 강처럼 있는 그대로 흐르지. 여기에 있다 보면 가끔 내 원형질마저 해방되어 버린 듯한 기분이 든다네.	Но ведь ЗНАНИЕ это не имеет ничего общего с моим практическим опытом!...
즉 나는 문득 아무 생각 없이 자동차에 시선을 보내는데, 그것이 자동차라는 걸 인식하기가지 몇 초가 걸릴 때가 있지.	И такие вещи в последнее время происходят со мною все чаще.
물론 어떤 종류의 본질적인 인식은 있 지만, 그것이 경험적인 인식과 제대로 교차되지 않아.	Наверное, оттого, что я слишком долго живу в одиночестве.
최근 들어 그런 일이 조 금 잦아졌어. 아마 오랫동안 혼자서 외롭게 지냈기 때문일 거야.	До ближайшего городка отсюда - полтора часа езды электричкой.
여기서 제일 가까운 마을까지 차로 한 시간 반이나 걸리네.	Правда, и ту глухомань даже 'городом' назвать крайне трудно.
아니, 마을이라고 할 만한 것도 못 되지.	Горстка домов, да и те все сплошь развалюхи.
아주 작은 마을의, 그것도 잔해(殘骸)라네. 아마 자네는 상상도 못할 거야.	Тебе, наверное, непросто такое представить.
그래도 그런대로, 어쨌든 마을은 마을이지.	Но все же - город, как ни крути.
의류라든가 식 료품, 휘발유 따위를 살 수 있지.	Одежду еду и бензин купить можно.
만약 보고 싶다면 사람의 얼굴도 볼 수 있네.	А захочется на людей посмотреть - есть там и люди...
겨울 동안에는 길이 꽁꽁 얼어붙어서 차는 거의 다닐 수 없게 된다네.	Зимой дороги покрыты льдом; вести машину почти невозможно.
	Местность болотистая, и земля устилается крошкой льда, как толченым щербетом.
	Когда же на все это сверху еще падает снег - где там была дорога, и сам черт не поймет.
도로 주의가 습지대라 지표 그 자체가 셔벗처럼 얼어붙어 버리는 거야.	Наверное, вот так и должен выглядеть конец света.
그리고 그 위에 눈이 내려서 어디가 길인지조차 분간할 수 없게 되지.	Я прибыл сюда в начале марта.
이 세상의 종말 같 은 경지라네. 나는 3월 초에 처음 이 고장에 왔네.	Просто въехал в этот странный пейзаж, бренча цепями на колесах своего джипа.
지프의 바퀴에 체인을 감고, 그런 풍경 속을 지나온 거야.	Как ссыльный на сибирскую каторгу.
마치 시베리아로 유형 가는 것처럼 말이야. 지금은 5월이어서 눈도 말끔히 녹았다네.	Сейчас май, и снег уже совсем стаял.
	А вот чуть раньше, где-то с конца апреля, из ущелий в горах только и доносились раскаты снежных лавин.
4월에는 산골짜기에서 줄곧 눈사태 소리가 들려 왔지.	Ты когда-нибудь слышал, как грохочет лавина в горах?
자네는 눈사태 소리를 들어 본 적이 있나? 눈사태가 그친 다음에는 정말 완벽한 침묵이 찾아 온다네.	Как раз после того, как отгрохочет лавина, и приходит Абсолютная Тишина.
내가 도대체 어디에 있는지조차 알 수 없게 되어 버릴 정도로 완벽한 침묵이지.	Перестаешь понимать, где находишься - такая она стопроцентная.
무서울 정도로 고요해.	Просто ОЧЕНЬ тихо...
산속에 줄곧 갇혀 있었기에 나는 이래저래 벌써 석 달이나 여자와 자지 못했 다네.	Зажатый горами со всех сторон, я вот уже четвертый месяц не сплю ни с какой, даже самой завалящей, девчонкой.
	Не скажу, что мне от этого плохо; но если так будет и дальше - у меня, того и гляди, пропадет интерес к человеку вообще, а это уже - совсем не то, к чему я хотел бы прийти в итоге.
	Вот я и подумываю, как станет чуть потеплее, размять ноги - да пойти поискать себе где-нибудь девчонку.
그런대로 괜찮지만, 계속 이런 식으로 지내다가는 인간 그 자체에 흥미를 잃어버릴 것 같아. 그런 내가 원하는 바가 아닌데 말이야.	Вовсе не для того, чтобы потешить самолюбие - найти женщину для меня никогда не составляло проблемы.
	Если уж приспичит - а жизнь моя что-то стала прямо вся состоять из этих 'если-уж-приспичит' - худо-бедно, я способен проявить сексуальность.
그래서 좀더 따뜻해지면 직접 나서서 어딘가에서 여자를 찾아 내려고 마음먹 고 있어.	И завести себе девчонку всегда мог запросто.
자랑은 아니지만, 내게 있어서 여자를 물색한다는 것은 그다지 어려운 일이 아니거든.	Проблема в другом: я никогда не умел толком освоиться с этой способностью.
나는 마음만 먹으면-어쩐지 나는 '마음만 먹으면'이라는 세계에 서 살고 있는 것 같지만-섹스 어필 비슷한 것을 꽤 발휘할 수가 있거든. 그래 서 비교적 쉽게 여자를 구할 수 있다네.	То есть, дойдя до известных пределов, я перестаю понимать: где еще - я сам по себе, а где уже - просто моя сексуальность.
문제는 나 자신이 그런 능력에 익숙해 지지 못하는 데에 있다고 할 수 있겠지.	До сих пор я - Лоуренс Оливье, а с каких пор - Отелло?
다시 말해서 어느 단계가지 가면 어디까지가 내 자신이고, 어디까지가 내 섹 스 어필인지를 분간할 수 없게 되고 마는 거야.	На таком распутье я становлюсь совершенно невозможен в общении и причиняю кучу неудобств окружающим людям.
어디부터가 로넨스 올리비에고 어디서부터가 오셀로인지를 알수 없게 되는 것과 마찬가지지.	Можно сказать, вся моя жизнь до сих пор - нескончаемые повторы именно такой ситуации.
그러니까 도중에 미처 거두어들일 수 없게 되어 이것저것 모조리 내던져 버리게 된다네.	Что хорошо (и это действительно хорошо!) - в моей нынешней жизни нет ничего, что хотелось бы отрезать и выкинуть.
그리고 여러 사람에게 폐를 끼치게 되는 거지.	Ощущение великолепное.
	Если что-то и можно выкинуть из моей нынешней жизни, так разве только меня самого.
이제까지의 내 인생이라는 것은 말하자 면 그런 일의 끝없는 반보이었어.	Неплохая, однако, мысль - 'моя жизнь без меня самого'!..
고맙게도(정말로 고마운 일이지) 지금의 나에게는 내던져 버릴 것이 아무것도 없다네.	Хотя нет - так оно, пожалуй, звучит чересчур патетично.
	Сама-то мысль без патетики, а как напишешь - так сразу выглядит патетично.
이 기분은 말할 수 없이 근사해. 내던질 만한 것이 있다면 그건 나 자 신 정도지.	Прямо беда... О чем это я?
나를 내던진다는 생각도 그다지 나쁘지 않군.	Ах, да - о женщинах.
	У каждой женщины обязательно имеется некий красивый шкафчик (шкатулка, ящичек), под самую крышку набитый Хламом Неизвестного Назначения.
아니, 이런 글은 약 간 감상적인 것 같군.	Я все это страшно люблю.
	Ибо в хламе том можно копаться, выуживать оттуда всякие привлекательные вещицы одну за другой, стирать с них пыль и пытаться разгадать их истинный смысл.
