미세스 X가 왜 그녀에게 눈독을 들여 스카우트했는지, 나로서는 이해하기 어려웠다.	На две трети это были иностранцы, и только на треть - японцы.
그녀의 평범함 가운데의 특별한 매력을 인정했기 때문인지도 모르고, 아니면 그저 평범한 아이가 한 사람쯤 있는 것도 괜찮겠다 싶어 그랬는지도 모른다.	Политиков, стариков, калек и нищих миссис Икс просто на дух не переносила.
어쨌든 미세스 X의 의도는 적중해, 그녀에게도 몇 사람 확실한 고객이 생기게 되었다.	Из дюжины отобранных 'красоток по вызову' моя новая подруга была самой заурядной и неброской на вид.
그녀는 일주일에 한두 번 평범한 옷을 입고, 평범한 화장을 하고, 평범 한 속옷을 입고, 평범한 비누 냄새를 풍기며 힐튼이나 오쿠라나 프린스 같은 호 텔에 가서 남자와 자고, 한 달 정도 먹고 살 수 있는 돈을 벌었다.	С ушами, спрятанными под копной волос, она не производила на людей никакого особого впечатления.
그 이외의 밤의 절반을 그녀는 돈을 받지 않고 나와 잠자리를 같이했다. 나 는 그녀가 나머지 시간을 어떻게 지내는지는 몰랐다.	Мне не совсем понятно, что заставило миссис Икс при отборе остановить на ней взгляд.
출판사 아르바이트 교정원으로서의 그녀의 생활은 더욱 평범했다. 그녀는 일 주일에 사흘만 간다(神田)의 작은 빌딩 3층에 있는 회사에 다녔다.	Может быть, ей удалось разглядеть ту особую привлекательность, редко открывающуюся постороннему глазу.
	А может, она просто решила, что на десяток принцесс можно иметь и одну такую 'золушку'. Как бы там ни было, расчеты миссис Икс оправдались, и даже у 'золушки' вскоре появилось несколько постоянных, 'солидных' клиентов.
	В заурядной одежде, с обычной косметикой на обычном лице и запахом самых дежурных духов являлась она по вызову в 'Хилтон', 'Окура' или 'Принс' и, проводя с клиентами какие-нибудь две-три ночи в неделю, обеспечивала себе кусок хлеба на целый месяц.
아침 아홉 시부터 저녁 다섯 시까지 교정도 보고, 차도 끓이고, 지우개를 사러 계단을 내려 가기도(엘리베이터가 없으므로) 했다.	Половину из свободных своих ночей она бесплатно спала со мной.
그녀는 그 회사에서 유일한 젊은 독신 여 성이었지만, 아무도 그녀를 희롱하거나 하지는 않았다.	Где и что она делала в остальные ночи, мне было неизвестно.
그녀는 마치 카멜레온처 럼 장소와 상황에 따라 빛을 발하기도 하고 발하지 않기도 했다.	Куда как прозаичнее была ее 'жизнь правщицы текстов' в издательстве.
	Трижды в неделю она появлялась на третьем этаже небольшого здания в Канда, где с девяти до пяти вычитывала гранки набранного текста, разливала чай и бегала (вверх-вниз по лестнице - лифта в здании не было) в магазин за стирательными резинками.
내가 그녀를(혹은 그녀의 귀를) 우연히 만난 것은 아내와 헤어진 직후인 8월 초였다.	Держалась независимо, особняком, и никому даже в голову не приходило совать нос во все ее 'прочие жизни'.
	Точно хамелеону, ей удавалось меняться в зависимости от места и обстановки, то выставляя свои чудеса на всеобщее обозрение, то скрывая их самым тщательным образом.
나는 컴퓨터 소프트웨어 회사의 광고 카피 하청 일을 하고 있어서, 그 회사에서 처음으로 그녀의 귀와 대면하게 되었다.	На нее (или на ее уши) я наткнулся совершенно случайно в начале августа, сразу после того, как разошелся с женой.
광고 대리점의 연출가는 책상 위에 기획서와 확대한 흑백 사진 몇 장을 놓고, 일주일 내에 이 사진을 붙일 헤드 카피를 세 개정도 생각해 달라고 했다.	Я подрядился делать копии с рекламных проспектов для одной компьютерной фирмы; там-то мне и довелось познакомиться с ее ушами самым непосредственным образом.
	Директор рекламного отдела, положив на стол макет очередного проспекта и несколько черно-белых фотографий, сказал мне: - Даю тебе неделю; подготовь-ка титульный лист в трех вариантах, с заголовками и вот с этими снимками.
석 장의 사진은 모두 거대한 귀를 찍은 것이었다. 귀?	На каждой из трех фотографий красовалось по гигантскому уху. Уши?!
나는 어째서 귀지요?' 라고 물었다. '알게 뭐람.	- Почему - уши? - спросил я тогда. - А я почем знаю?
어쨌든 귀야. 자네는 일주일 동안 귀에 대해서 생각하면 되는 거야.' 그런 연유로 해서 나는 일주일 동안, 귀를 찍은 사진만을 바라보며 지냈다.	Уши и уши! Во всяком случае, советую тебе всю эту неделю только о них и думать.
책상 앞의 벽에 셀로판 테이프로 그 석 장의 거대한 귀를 찍은 사진을 붙여 놓 고, 담배를 피우거나 커피를 마시면서 그걸 바라보았다.	Вот так получилось, что целую неделю жизни я провел, созерцая человеческие уши.
샌드위치를 먹거나 손 톱을 자르면서도 그 사진을 바라보았다. 일주일 만에 그럭저럭 일은 마무리되었지만, 그 후에도 귀를 찍은 사진을 벽 에 붙여 두었다.	Прицепив липкой лентой к стене над столом три огромных фотоснимка ушей, я курил, пил кофе, жевал бутерброды, стриг ногти - и разглядывал эти фотографии.
떼기가 귀찮았던 탓도 있었고, 그 사진을 바라보는 것이 나의 일상적인 습관이 되어 버린 탓도 있었다.	Худо ли бедно, через неделю заказ был выполнен, а снимки ушей так и остались висеть на стене.
	Отчасти из-за того, что мне было лень специально лезть и снимать их; отчасти потому, что разглядывать уши уже вошло у меня в привычку.
그러나 내가 그 사진을 떼어 서랍 속 깊숙이 처넣어 버리지 않았던 진짜 이유는, 그 귀가 모든 면에서 나를 매료시켰 기 때문이었다. 그것은 그야말로 꿈 같은 모양을 한 귀였다.	И все же главное, отчего я не снимал фотографии со стены и не прятал в глубине стола, было в другом.
100퍼센트 완벽한 귀라고 말할 수 있을 정도였다.	Эти уши просто околдовали меня.
확대된 인체의 일부(물론 성기도 포함해서)에 그렇게 강하게 이끌린 것은 이번이 처음이었다.	Это были уши фантастической формы, уши из мечты или сна.
그것은 나에게 뭔가 운명적인 거대한 소용돌 이와 같은 것을 떠올리게 했다.	Можно сказать - 'уши на все сто процентов'.
어떤 커브는 모든 상상을 초월한 대담함으로 화면을 단숨에 가로지르고, 어떤 커브는 비밀스런 세심함으로 한 무리의 작은 음영을 만들어 내며, 어떤 커브는 고대 벽화처럼 무수한 전설을 그려 내고 있었다. 귓불의 매끄러움은 온갖 곡선 을 초월하고, 그 도톰한 살은 모든 생명을 능가하고 있었다.	Я впервые в жизни ощущал, какой притягательной силой могут обладать увеличенные изображения отдельных частей человеческого тела (не говоря уже о половых органах). Чуть не сама судьба со всеми ее завихрениями и водоворотами бурлила перед моими глазами.
	Одни изгибы уверенно-дерзко рассекали весь общий фон поперек; другие спешили укрыться от постороннего взгляда в робких стайках себе подобных и напускали тени вокруг; третьи, подобно старинным фрескам, рассказывали бесчисленные долгие легенды.
	Мочки же ушей просто-напросто вылетали за все траектории и по насыщенности своей чуть припухшей, упругой плоти затмевали реальную жизнь.
	Через несколько дней я решил позвонить фотографу, делавшему эти снимки, и выведать у него имя и номер телефона хозяйки ушей.
나는 며칠 후 그 사진을 찍은 카메라맨에게 전화를 걸어서 그 귀의 주인의 이 름과 전화 번호를 가르쳐 달라고 했다.	- Что там опять? - спросил фотограф.
그건 또 왜?' 라고 카메라맨은 물었다.	- Да понимаешь, интересно мне.
흥미가 있어서 그래. 굉장히 멋진 귀거든.' '글세 그야, 확실히 귀는 ······. 하지만 인물은 그다지 보잘것 없는 아이라 구.	Уж очень замечательные уши... - А? Н-ну да, уши-то, - пожевал фотограф губами.
젊은 애와 데이트하고 싶다면, 일전에 찍은 수영복 모델을 소개해 줄게.'	- Сама-то девчонка - так, не на что глаз положить...
	Хочешь с кем помоложе - так я тут недавно одну в бикини снимал, могу познакомить...
카메라맨은 우물우물하며 그렇게 말했다. 나는 '고마워' 하며 전화를 끊었다.	- Большое спасибо, - сказал я и повесил трубку.
두 시, 여섯 시, 열 시에 그녀에게 전화를 걸어 보았지만, 아무도 받지 않았다.	Я позвонил ей в два, потом в шесть, потом в десять часов - никто не брал трубку.
그녀는 그녀 나름대로 바쁘게 인생을 보내고 있는 모양이었다.	Обычный день ее обычной занятой жизни.
가까스로 그녀를 붙잡을 수 있었던 건 이튿날 아침 열 시였다.	Дозвониться до нее мне удалось лишь на следующее утро в десять.
나는 간단하 게 내 소개를 하고 나서 지난번의 광고 건으로 이야기가 좀 있는데, 저녁 식사 라도 함께하면 어떻겠냐고 물었다.	Наскоро представившись, я сказал, что хотел бы обсудить с ней кое-что из вчерашней работы, и что не могли бы мы, скажем, где-нибудь вместе перекусить ближе к вечеру.
일은 벌써 끝났다고 들었는데요' 라고 그녀는 말했다.	- Но, я слышала, работа закончена? - спросила она.
일은 끝났지요' 라고 나는 말했다.	- Да, работа закончена.
그녀는 약간 당황한 모양이었으나, 그 이상 묻지 않았다. 우리는 이튿날 저녁에 아오야마(靑山) 걸에 있는 다방에서 만나기로 했다.	Мой ответ, похоже, привел ее в легкое замешательство, но ничего больше спрашивать она не стала.
나는 이제까지 가본 적이 있는 집 중에서 가장 고급스러운 프랑스 요리 전문 점에 전화를 걸어 예약했다.	Я назначил встречу на вечер в кофейне на Аояма.
	Заказав по телефону столик в первоклассном французском ресторане, лучшем из всех, где мне доводилось бывать, - я надел новую рубашку, завязал, повозившись изрядно, галстук и облачился в костюм, который надевал до этого только пару раз.
그리고 새 셔츠를 꺼내 놓고, 시간을 들여서 넥타 이를 골랐으며, 아직 두 번밖에 입지 않은 웃옷을 입었다.	Как и предупреждал фотограф, 'глаз положить' там было и правда особенно не на что.
	Что одежда ее, что лицо - все выглядело заурядно-унылым, и в целом она сильно смахивала на хористку из второразрядного женского колледжа.
그녀는 카메라맨이 충고해 준 대로 그다지 신통치 않은 여자였다.	Но на все это мне, разумеется, было плевать.
옷차림도 얼굴 생김새도 평범해서 이류 여자 대학의 합창부 부원처럼 보였다. 그러나 물 론, 나에게는 그런 것은 아무래도 좋았다.	Настоящую досаду у меня вызывало одно: свои уши она тщательно скрывала под густыми, отвесно начесанными волосами.
나는 그녀가 늘어뜨린 머리카락 속에 귀를 완전히 감추고 있었기 때문에 실망한 것이다.	- Значит, уши ты прячешь? - спросил я словно бы невзначай.
귀를 가리고 있군요' 나는 아무렇지도 않은 듯이 말했다.	- Ага, - как бы между прочим ответила она.
네' 라고 그녀도 아무렇지도 않은 듯이 말했다. 예정보다 조금 일찌감치 도착한 탓에 우리가 디너 타임의 첫 손님이었다.	В ресторан мы пришли чуть раньше назначенного и оказались первыми к ужину посетителями.
조 명을 낮춘 다음 웨이터가 기다린 성냥을 그어 빨간 초에 불을 붙이며 돌아다니 고 있었으며, 헤드 웨이터가 예리한 눈으로 냅킨과 식기와 접시의 세팅 상태를 꼼꼼히 점검하고 있었다.	В притушенном свете ламп официант плыл по залу, чиркая длинными спичками и зажигая одну за другой ярко-красные свечи.
	Метрдотель, селедочьим взглядом ощупывал ряды ножей, вилок, тарелок, салфеток, скрупулезно проверял сервировку на столиках.
오늬 무늬 모양으로 짜맞춘 떡갈나무 마룻바닥은 깨끗이 닦여 있어, 웨이터의 구두 창이 뚜벅뚜벅 기분 좋은 소리를 냈다.	Выложенные елочкой дубовые плитки паркета блестели, как зеркала, и каблуки официанта цокали по ним легко и приятно.
웨이터의 구두는 내가 신은 구두 보다도 훨씬 비싸 보였다.	Туфли у официанта были явно дороже моих.
화병의 꽃은 새로 꽂은 것이었고, 새하얀 벽에는 한 눈에 진품이라는 것을 알 수 있는 현대적인 그림이 걸려 있었다.	В вазах стояли свежие цветы, а на белой стене красовалась картина какого-то модерниста, с первого взгляда понятно: оригинал.
	Пробежав глазами винный лист, я заказал белого вина поблагороднее; из легких же закусок попросил для обоих фазаний паштет, заливное из окуня и печень морского черта в сметане.
나는 포도주 리스트를 보고 되도록 담백한 백포도주를 고르고, 오르되브르(역 수:스프가 나오기 전에 간단하게 먹는 음식. 전채)로 오리 고기 파이와 도미의 테린느와 아귀(역주:바닷물고기의 하나) 간의 사와 크림을 시켰다.	Она, усердно покопавшись в меню, заказала суп из морской черепахи и заливной язык; я выбрал суп из морских ежей, ростбиф с петрушкой в японском соусе и салат из помидоров.
그녀는 메뉴 를 꼼꼼히 살펴보고 나서 바다거북 수프와 그린 샐러드와 혀가자미 무스를 주문 하고, 나는 섬게 수프와 파슬리 맛이 나는 송아지 고기 구이와 토마토 샐러드를 주문했다.	Половина моего месячного оклада, похоже, улетала в тартарары.
내 반달치 식비가 날아가 버릴 판이었다. '아주 멋진 집인데요.	- Однако, достойное заведение, - сказала она.
자주 오시나요?' 라고 그녀가 말했다. '일 관계로 가끔 올 뿐이죠.	- И часто ты здесь бываешь? - Иногда, только по работе.
	По мне, когда один, уж лучше выпить сакэ в обычном баре, ну и соответственно закусить.
혼자일 때는 레스토랑 같은 데보다는 바에서 술 을 마시면서 적당히 만든 걸 먹는 편이 성미에 맞거든요.	Чувствуешь себя гораздо свободнее: не надо забивать голову лишними вещами.
그게 편해요. 쓸데없 이 신경 쓸 필요도 없고요.'	- И что ты обычно ешь в баре?
바에서는 보통 뭘 드세요?'	- Да что угодно.
여러 가지지만, 글쎄 오믈렛과 샌드위치를 자주 먹어요.'	Чаще всего - сэндвичи с омлетом.
오믈렛과 샌드위치' 하고 그녀는 말고 받았다.	- Сэндвичи с омлетом!.. - повторила она.
	- Значит, каждый день ты ужинаешь в баре сэндвичами с омлетом?
바에서 매일 오믈렛과 샌드위치를 먹는 거예요?'	- Ну, не каждый день.
매일은 아니고, 사흘에 한 번은 내가 직접 음식을 만들어 먹지요.'	Где-то раз в три дня готовлю и дома...
그럼 사흘에 이틀은 바에서 오믈렛과 샌드위치를 먹는군요.'	- Но два дня из трех ты все-таки ешь в баре сэндвичи с омлетом, так?
나는 '그렇죠' 라고 대답했다.	- Да, пожалуй...
왜 오믈렛과 샌드위치죠?'	- А почему именно сэндвичи с омлетом?
괜찮은 바는 맛있는 오믈렛과 샌드위치를 내놓는 법이거든요.'	- В хороших барах всегда готовят хороший сэндвич с омлетом.
그녀는 '그래요?'	- Тьфу!... - сказала она.
하고 대꾸했다. '별난 분이네요.'	- Ненормальный какой-то.
그렇지 않아요' 라고 나는 말했다.	- Абсолютно нормальный! - сказал я.
도대체 어떤 식으로 말을 꺼내야 좋을지 몰라 나는 한참 동안 말없이 식탁 위 의 재떨이에 있는 담배꽁초만 바라보았다.	Совершенно не представляя, как сменить тему, я замолчал и какое-то время сидел, уставившись на окурки в пепельнице посередине стола.
일에 관한 이야기라고 하셨지요?'	- Разговор - о работе? - намекнула она.
라고 그녀가 유도하듯이 물었다.	- Я уже говорил вчера - работа закончена полностью.
어제도 말했듯이, 일은 완전히 끝났어요.	Нет никаких проблем.
문제도 없고, 그러니까 할 이야기는 없어요.'	И разговора никакого нет.
	Из кармана сумочки она достала пачку тонких, длинных ментоловых сигарет и, вопрошая одними глазами: 'Ну, и...?' - прикурила от ресторанных спичек.
그녀는 핸드백 안에 있는 주머니에서 가느다란 박하 담배를 꺼내 레스토랑에 있던 성냥으로 불을 붙인 다음, '그래서요?' 하고 묻는 듯한 표정으로 나를 쳐다 보았다.	Я совсем уже открыл было рот, но тут за моей спиной вновь послышалось решительное цоканье каблуков.
	С особенной улыбкой, словно показывая портрет единственного сына, метрдотель повернул бутылку этикеткой ко мне.
	Я кивнул ему - и он, вынув пробку с едва слышным, ласкающим ухо щелчком, разлил вино по глотку на бокал.
내가 말을 꺼내려고 할 때, 헤드 웨이터가 확신에 찬 구둣발 소리를 내며 우 리가 앉아 있는 테이블로 다가왔다.	Я ощутил на языке концентрированный вкус денег.
그는 외아들의 사진이라도 내보이듯이 생 긋 미소 지으며 포도주의 라벨을 나에게 보여 주고, 내가 끄덕이자 기분 좋은 작은 소리를 내며 마개를 딴 다음 조금씩 따라 주었다. 식비가 응축된 맛이 났 다.	Метрдотель удалился, и два официанта, сменяя друг друга, выставили на стол три больших блюда и пару тарелок.
