제4장 양을 쫓는 모험I	Часть четвертая ОХОТА НА ОВЕЦ - I
그는 잃어버런 것과 다시 만나기 위해서 보다 깊은 알코올의 안개 속을 헤매기 시작했다. 그리고 상황은 더욱 나빠졌다.	В надежде снова найти в себе то, что уже потерял, он решил забрести еще глубже в алкогольный туман.
그러나 적어도 아직은 날이 저물 때까지의 그는 정상이었다.	С тех пор дела его шли только хуже.
나는 벌서 몇 년 동안이나 날이 저문 뒤에는 의식적으로 그와는 마주치지 않으려고 해왔으므 로, 나에게 있어서 그는 정상이었다.	Впрочем, днем, до захода солнца, он еще держался достойно.
	Уже несколько лет подряд я сознательно старался не встречаться с ним по вечерам, и поэтому, по крайней мере для меня, он еще оставался достойным человеком.
하지만 날이 저문 후의 그가 정상이 아니 라는 사실은 나도 잘 알고 있었고, 본인도 잘 알고 있었다.	Хотя я знал, что все его достоинства исчезают с наступлением темноты, как знал о том и он сам.
	В разговорах с ним мы ни разу не затрагивали этой темы, но оба знали, что каждый в курсе происходящего.
우리는 그 일에 대 해서는 일체 언급하지 않았지만, 서로가 그 사실을 알고 있다는 것을 인식하고 있었다.	Отношения наши по-прежнему оставались прекрасными.
우리는 여전히 잘해 나가고 있었지만, 이제는 예전과 같은 친구는 아니 었다.	Но друзьями, как раньше, мы быть перестали.
	Не могу сказать, что мы понимали друг друга на все сто процентов (дай Бог, чтобы хоть процентов на семьдесят), но это был мой лучший приятель студенческих лет.
100퍼센트 서로 이해하고 있다고는 할 수 없다 하더라도(70퍼센트도 미심쩍지 만) 적어도 그는 내 대학 시절의 유일한 친구인데, 그런 친구가 비정상적으로 변 해 가는 모습을 바로 가까이 에서 지켜보는 것은 나에게도 괴로운 일이었다.	И мне было особенно горько наблюдать, как такой человек опускался все ниже, теряя достоинство прямо у меня на глазах.
그러나 결국 나이를 먹는다는 것은 그런 일인 것 같다.	Хотя - может, с такой вот горечью к нам и приходит зрелость...
내가 사무실에 도착했을 때, 그는 이미 위스키를 한 잔 마시고 있었다.	К моменту, когда я появился в конторе, он уже принял свою порцию виски.
한 잔 으로 그치면 그는 정상이었지만, 마시고 있다는 데에는 변함이 없었다. 언젠가 는 두 잔을 마시게 될지도 모른다.	После одной порции, если ею ограничивался, он был еще в норме. Но в этом деле есть свой неизменный закон.
	Стоит начать с 'одной', как вскоре как-то незаметно для себя переходишь и на 'пару-тройку'. Как только такое случится с ним, мне придется порвать с этой фирмой и искать другую работу.
	Стоя перед решеткой кондиционера, я просушивал взмокшее тело и отхлебывал приготовленный секретаршей холодный ячменный чай.
그렇게 되면 나는 이 회사를 떠나 다른 일 을 찾게 되리라.	Он молчал, я тоже не произносил ни звука.
나는 에어컨디셔너 앞에서 땀을 식히면서 여자아이가 가져다준 차가운 보리차 를 마셨다.	Пятна яркого полуденного света лежали фантастическими кляксами на линолеуме.
그와 나는 아무 말도 하지 않았다. 오후의 강한 햇살이 환상적인 물보라처럼 리놀륨 바닷가에 내리쬐고 있었다.	За окном внизу, весь в зелени, раскинулся парк, крохотными точками на траве виднелись ленивые тела загорающих.
눈 아래에는 공원의 녹음이 펼쳐져 있었고, 잔디위에 벌렁 누워서 한가롭게 일 광욕을 즐기고 있는 사람들의 모습이 조그맣게 보였다.	Мой напарник сидел напротив меня и концом шариковой ручки ритмично тыкал в левую ладонь.
그는 볼펜 끝으로 왼손 손바닥을 콕콕 찌르고 있었다.	- Ты что, развелся? - заговорил он, наконец.
이혼했다며?' 라고 그가 입을 열었다.	- Да уже три месяца! - ответил я, не отводя глаз от пейзажа в окне.
나는 창 밖에 시선을 둔채 '두 달 전 이야기야' 라고 대꾸했다.	Без темных очков болели глаза.
선글라스를 벗으니 눈을 따끔거렸다.	- Почему развелся?
왜 이혼했어?' '개인적인 일이야.'	- По личным причинам.
알고 있어' 라고 그는 참을성 있게 말했다.	- Ну, это понятно, - произнес он терпеливо.
개인적이지 않은 이혼이란 들어 본 적도 없어.'	- Ни разу не слышал о разводе не по личным причинам.
나는 잠자코 있었다.	Я молчал.
서로의 사적인 문제에 대해서는 언급하지 않기로 한 것 은 오랜 시간에 걸친 우리의 암묵적인 약속이었다. '쓸데없이 캐물을 생각은 없어.	Вот уже много лет между нами было что-то вроде негласной договоренности: не касаться проблем личной жизни друг друга.
	- Я не собираюсь ничего выпытывать, - пояснил он, как бы извиняясь, - Но все-таки мы с ней тоже были друзьями, и это меня несколько... шокировало.
하지만 나는 그녀와도 친구였고, 약간 쇼크였 단 말이야.	Я ведь думал - вы хорошо ладили...
게다가 너희들의 줄곧 잘 지내고 있는 줄 알았거든.'	- А мы всегда хорошо ладили.
그는 변명하듯이 말했다. '계속 잘 지냈지.	И разошлись без скандала.
	Озадаченный, мой напарник замолчал, только шариковая ручка все щелкала, тыкаясь в его распахнутую ладонь.
	На нем была темно-голубая рубашка с черным галстуком, волосы сохраняли аккуратные следы расчески.
그리고 싸우고 나서 헤어진 것도 아니야.'	Одеколон и лосьон, судя по запаху, из одного набора.
	На мне же - майка, на которой Снупи обнимался с доской для виндсерфинга, старенькие, добела застиранные 'ливайсы' и замызганные теннисные туфли.
그는 난처한 표정으로 입을 다물고는 여전히 볼펜 끝으로 손바닥을 콕콕 찌르 고 있었다.	На любой посторонний взгляд, он смотрелся куда приличнее.
그는 짙은 파란색 새 셔츠에 검은 넥타이를 매고, 머리는 단정하게 빗어 넘기고 있었다.	- Помнишь то время, когда мы работали вместе с ней, втроем?
오데코롱과 로션의 냄새로 잘 어울렸다.	- Прекрасно помню, - ответил я.
나는 스누피가 서핑 보드를 안고 있는 그림이 찍힌 티셔츠에, 하얗게 될 정도 로 빨아댄 낡은 리바이스 청바지를 입고, 흙투성이 테니스화를 신고 있었다.	- Хорошее было время, - сказал мой напарник.
	Я прошел от кондиционера в центр комнаты, плюхнулся на шведский диван небесно-голубого цвета, заколыхавшийся подо мной, как желе, вытянул из настольной сигаретницы для посетителей штуку 'Пэл-Мэла' с фильтром и прикурил от массивной зажигалки.
누 가 보더라도 그가 더 정상이었다.	- Ну и что?
우리 셋이서 함께 일하던 시절을 기억 하나?'	- Пожалуй, мы тогда схватились за слишком много дел сразу...
기억하구말구' 라고 나는 대답했다.	- Это ты про объявления для журналов?
그땐 즐거웠지' 라고 그는 말했다.	Мой напарник кивнул.
나는 에어컨디셔너 앞을 떠나서 방 한가운데에 있는 푹신푹신한 스웨덴제 하 늘색 소파에 앉아, 접대용 담배 케이스에서 필터 달린 폴몰을 한 개비 집어서 무거운 탁상 라이터로 불을 붙였다.	Я вдруг ощутил к нему что-то вроде сочувствия: он, видно, порядком помучился перед тем, как начать такой разговор.
그래서?' '아무래도 일을 너무 크게 벌린 게 아닌가 하는 생각이 들어.'	Я взял со стола увесистую зажигалку, повернул винт и укоротил длину пламени.
	- Я понимаю, что тебе неохота про все это говорить, - сказал я и положил зажигалку обратно на стол.
자네는 광고나 잡지를 말하는 거지?'	- Но ты вспомни сам.
그는 고개를 끄덕였다. 그가 이 말을 꺼내기까지 어지간히 고민했을 게 틀림 없을 거라는 생각을 하니 조금 안돼 보였다.	С самого начала - не я принес эту работу, и не я предлагал ею заняться.
나는 탁상용 라이터의 무게를 확 인하고 나서 나사를 돌려 불꽃을 조절했다.	
나는 '자네가 무슨 말을 하려는지 알아' 라고 말하고 나서 라이터를 테이블 위에 다시 올려놓았다.	Это ты ее нашел, и предложил ее всем тоже ты.
하지만 잘 생각해 봐.	Разве не так?
그런 일들은 애당초에 내가 맡아 온 것도 아니고, 내 가 하자고 말을 꺼낸 것도 아니잖아.	- Тогда была вынужденная ситуация, я не мог отказаться.
자네가 일을 맡아 왔고, 자네가 해보자고 했던 거야. 안 그래?'	И к тому же, у нас была куча свободного времени...
거절하기 어려운 사정도 있었고, 그때는 마침 한가하기도 했고······.'	- Опять же, и деньги получились хорошие...
돈이 되기도 했지.' '돈벌이는 됐지.	- Да, мы тогда прилично заработали.
덕분에 넓은 사무실로 이사할 수 있었고 사람도 늘어났고, 차도 바꿨고, 맨션도 샀고, 두 아이를 돈이 많이 드는 사립 학교에 넣을 수도 있 었지.	И в контору попросторнее перебрались, и людей смогли побольше нанять.
	Я вот машину себе заменил, квартиру купил новую, обоих детей в частный колледж отдал - тоже прилично стоило...
서른치고도 돈이 있는 편이라고 생각해.'	Все-таки к тридцати уже лучше что-нибудь иметь за душой.
자네가 번 거야.	- Ну, ладно.
부끄러울 건 없어.' '누가 부끄럽대?'	Заработал - и заработал.
라고 그는 대꾸했다.	Чего тут оправдываться?
그리고 책상 위에 내던졌던 볼펜을 집어서 손바닥 한가 운데를 몇 번인가 가볍게 콕콕 찔렀다.	- Да вовсе я не оправдываюсь! - ответил мой напарник.
	Сказав так, он подобрал брошенную на стол авторучку и несколько раз легонько потыкал ею в ладонь.
하지만 말이야, 옛날 일을 생각하면 왠지 거짓말 같아.	- Только знаешь...
	Сейчас, как вспомню те времена - как-то даже не верится, что все действительно было.
둘이서 빚을 지며 번 역 일을 맡으러 돌아다니고, 역전에서 광고지를 돌리던 시절의 일들 말이야.'	Все эти наши долги на двоих, переводы чего ни попадя, объявления на стенах метро...
	- Ну, если ты чувствуешь, что давно не расклеивал объявлений - я и сейчас могу составить тебе компанию...
지금이라도 그렇게 하고 싶으면 둘이서 광고지를 돌릴 수 있어.'	Он поднял голову и посмотрел на меня.
그는 고개를 들어 나를 바라보았다.	- Эй, я же не шутки шучу...
농담이 아니야.'	- Я тоже, - ответил я.
나도 그래' 라고 말했다.	Мы помолчали.
우리는 한동안 침묵을 지켰다. '여러 가지가 변했어' 라고 그가 말했다.	- Столько всего изменилось с тех пор, - произнес, наконец, мой напарник.
생활의 페이스라든가 사고 방식이 말이야.	- Скорость жизни, мысли людей...
우선 우리가 진짜로 얼마나 벌어 들이고 있는지 우리 자신들조차도 모르고 있잖아.	Вот, например, сейчас мы даже не знаем, сколько зарабатываем на самом деле!
세무사가 와서 뭔지 모를 알 쏭달쏭한 서류를 만들고 무슨 공제니 감가 상각이니 세금 대책이니, 그런 일이 나 하고 말이야.'	Приходит налоговый эксперт, сочиняет бумажки какие-то непонятные: 'там вычитаем, тут погашаем, здесь у нас налог чрезвычайный' - и так без конца...
어디서나 하는 일이야.'	- Но это везде так!
그걸 누가 모르나?	- Да я понимаю.
그렇게 해야만 한다는 것도 알고, 실제로로도 하고 있지.	И даже понимаю, что без этого - никуда.
하지만 옛날이 좋았어.' 나는 '자라남에 따라 감옥의 그늘은, 우리의 주위에 커지는구나.'	Но раньше было все-таки... веселее. - 'Дольше живу - и все выше тени невидимых стен у моей тюрьмы...' - пробормотал я себе под нос. ╜ Это что такое?
라는 옛 시(詩)의 구절을 읊조렸다.	- Так, ерунда, - сказал я.
뭐야, 그건?'	- Ну-ну, и что же?
아무것도 아니야. 그래서?'	- А то, что сейчас у нас - сплошное выколачивание денег.
라고 나는 되물었다. '지금은 어쩐지 착취하고 있는 것 같은 느낌이 든단 말이야.'	Мы просто эксплуататоры, кровососы - и ничего больше.
착취?' 나는 노라서 고개를 들었다.	- Эксплуататоры? - удивившись, я посмотрел на него.
우리는 2미터 가량 떨어져 있었고, 의자의 높이 때문에 그의 머리는 나보다 20센티미터쯤 위에 있었다.	Между нами было расстояние в пару метров; он сидел на стуле, и его голова находилась выше моей сантиметров на двадцать.
그의 머리 뒤로는 석판 화가 걸려 있었다.	За его головой висела картина.
	То было какая-то новая, не виданная мною ранее черно-белая литография, изображавшая рыбу с крыльями.
본 적이 없는 새로운 그림으로, 날개가 달린 물고기 그림이 었다.	Судя по морде, рыбе было не особенно радостно от наличия крыльев у себя на спине.
물고기는 제 등에 날개가 달려 있다는 데에 그다지 만족하고 있는 것 같 아 보이지 않았다.	Видимо, она плохо понимала, как ими пользоваться.
아마 사용법을 잘 모르는 모양이다. 이번에는 나 자신을 향해 '착취?'	- Кровососы?... - переспросил я, на этот раз самого себя.
하고 다시 한 번 질문을 던졌다.	- Они самые.
착취야.' '도대체 누구에게서?' '여러 곳에서 조금씩.'	- Ну, и чью же кровь мы сосем? - Да всех вокруг понемногу!
나는 하늘색 소파에 다리를 꼬고 앉아 때마침 내 눈 높이에 있는 그의 손과 그의 손 안에 있는 볼펜의 움직임을 뚫어지게 쳐다 보았다.	Кисти его рук находились как раз на уровне моего взгляда.
	Задрав ноги и скрестив их на спинке небесно-голубого дивана, я неотрывно следил за танцем ручки у него на ладони.
어쨌든 우리는 변했다고 생각하지 않아?' 라고 그는 말했다.	- Как бы там ни было, разве ты не видишь, что мы изменились?
마찬가지야. 아무도 변하지 않았어.	- Все по-старому.
아무것도 변하지 않았다구.' '정말로 그렇게 생각하는 거야?'	Никто не менялся, и ничто не менялось...
그럼. 착취 같은 건 존재하지 않아.	- Ты что, на самом деле так думаешь?
그런 건 동화 속에나 나오는 거야.	- Да, я так думаю.
자 네 구세군의 나팔이 정말로 이 세상을 구할 수 있다고 생각하는 건 아니겠지?	Никакой эксплуатации не существует.
자네는 생각이 너무 많아.'	Это все детские сказки.
	Ты же, я надеюсь, не веришь, что дудками Армии Спасения можно и впрямь спасти белый свет?
그래, 분명히 나는 생각을 너무 많이 해' 라고 그는 수긍했다.	Не придумывай то, чего нет!...
	- Ну, ладно - может, я напридумывал лишнего... - вроде как согласился он.
	- На прошлой неделе ты - вернее, мы оба - сочиняли текст рекламы про маргарин.
지난 주 자네는, 그러니까 우리는 마가린 광고 카피를 말들었어.	Надо сказать, отменная получилась реклама.
사실 나쁘 지 않은 카피였지.	Отзывы были самые положительные.
	Но ты мне скажи: сколько раз за последние годы ты лично ел маргарин?
평도 좋았구.	- Ни разу.
자네는 지난 몇 년 동안 마가린 같은 걸 먹어 본 적이 있나?'	Терпеть не могу маргарин.
없어. 마가린을 싫어하거든.'	- Вот и я ни разу.
나도 없어.	В этом-то все и дело!
	Раньше мы, по крайней мере, работали от чистого сердца, верили в то, что делали, за это и уважали себя.
결국 그런 거야.	А сейчас?
적어도 옛날의 우리는 확실하게 자신감을 가질 수 있는 일을 했고, 그것이 긍지이기도 했지.	Засоряем мир всяким дерьмом - словами без сути и смысла...
그런데 그게 지금은 없어. 실체 가 없는 말을 그저 마구 떠들어대고 있을 뿐이야.'	- Маргарин, между прочим, - полезный для здоровья продукт.
	И жиры в нем - исключительно растительные, и холестерина до крайности мало.
	Старческие болезни от него не развиваются, а в последнее время, говорят, даже вкус стал совсем не плохой...
마가린은 건강에 좋아.	И стоит дешево.
식물성 지방이고, 콜레스테롤도 적고 말이야.	И хранится долго...
성인병 에도 잘 안 걸리고 요즘엔 맛도 나쁘지 않지.	- Вот и жри его сам!
값싸고 오래 보관할 수도 있고.' '그럼 자네도 먹지 그래.'	Я откинулся вглубь дивана и медленно потянулся всем телом.
나는 소파에 푹 파묻혀서 천천히 팔다리를 쭉 폈다.	- Да не все ли равно?
마찬가지야. 우리가 마가린을 먹든 안 먹든 결과는 마찬가지라구, 점잖은 번역 일이나 엉터리 마가린 광고 카피나 근본은 마찬가지야.	Едим мы с тобой этот маргарин или нет - в конечном счете, разницы-то никакой!
	Переводить дежурную белиберду или сочинять рекламную фальшивку про маргарин - по сути, одно и то же занятие!
아닌게아니라 자 네 말처럼 우리는 실체가 없는 말을 해대고 있지.	Да, мы засоряем мир бессмысленными словами.
하지만 실체가 있는 말이 도 대체 어디에 있다는 거지?	Ну, а где ты их видел - слова, имевшие смысл?...
이것 보라구, 성실한 일 따위는 아무데도 없는 거라 구. 성실한 호흡이나 성실한 오줌이 아무데도 없는 것처럼 말이야.'	Брось ты, ей-Богу: не бывает ее, работы от чистого сердца.
자네 옛날에는 좀더 순진했는데.'	Нигде ты ее не найдешь.
	Это все равно, что пытаться дышать от чистого сердца или мочиться от чистого сердца в сортире!
나는 '그랬을지도 모르지' 라고 대꾸하며 재떨이에 담배를 비벼 껐다.	- Все-таки раньше ты был как-то... невиннее.
	- Возможно, - сказал я и затушил в тяжелой пепельнице сигарету. - 'В одном невинном городишке один мясник невинный жил.
아마 어딘가에 순수한 마을이 있고, 그 곳에선 순진한 푸줏간 주인이 순수한 로스 햄을 썰고 있겠지.	Он на невинные котлетки невинных телочек рубил'...
	Конечно, если ты думаешь, что надираться виски с утра пораньше - занятие вполне невинное, то можешь продолжать сколько влезет!
대낮부터 위스키를 마시는 것이 순수한 거라고 생각한 다면 얼마든지 마시라구.'	Тишина затопила комнату.
	В долгой паузе раздавалось лишь мерное клацанье авторучки о деревянный стол.
볼펜으로 똑똑 책상을 두드리는 소리만이 오랫동안 방을 지배하고 있었다.	- Извини, - не выдержал я.
나는 '미안해. 그런 식으로 말할 생각은 없었어' 라고 사과했다.	- Я не хотел с тобой так разговаривать.
괜찮아. 그럴지도 모르지' 하고 그가 말했다.	- Да все в порядке, - сказал мой напарник.
에어컨디셔너의 자동 온도 조절 장치가 뚝 하는 소리를 냈다.	- Может, здесь ты как раз и прав...
무섭도록 조용 한 오후였다. 나는 그에게 이렇게 말했다.	Звонко щелкнув, отключился перегревшийся кондиционер.
자신을 가지라구.	Стоял тихий полдень.
우리 힘만으로 여기까지 해왔잖아?	Такой тихий, что делалось жутко.
누구에게 은혜를 베풀 지도 않고, 받지도 않으면서.	- Возьми себя в руки, - сказал я.
백이 있거나 직함이 있는 것만으로도 목에 힘주는 그런 족속과는 사정이 다르다구.'	- Ты посмотри, сколько всего мы уже добились - только своими силами!
우리는 옛날에 친구였지?'	Никому не должны - и нам никто не должен...
	И уж, по крайней мере, в нашем деле больше здравого смысла, чем у этого сброда карьеристов, чья задница всегда прикрыта, а жизнь - от должности до должности, и которые ничего не умеют, кроме как разваливаться в креслах с самодовольными мордами...
라고 그가 말했다. '지금도 친구야.	- Мы же были друзьями, так ведь?...
줄곧 힘을 합해 함께 해왔잖아' 라고 나는 대답했다.	- Мы и сейчас друзья, - сказал я.
이혼하길 바라진 않았어.' '알고 있어.	- Всю дорогу вместе прошли, друг за друга цепляясь.
하지만 이제 그만 양에 대한 이야기를 하지 않겠나?' 하고 화제를 바꿨다.	- Мне так не хотелось, чтобы вы разводились.
그는 고개를 끄덕이며 볼펜을 내려놓고 손가락으로 눈을 비볐다.	- Знаю...- ответил я.
그 남자가 온 건 오늘 아침 열한 시였어'라고 그는 말했다.	- Но, может, все-таки объяснишь мне насчет овец?
	Он кивнул, отправил ручку обратно в карандашницу, потер пальцами веки - и начал: - Человек этот появился сегодня в 11 утра...
	
2. 기묘한 남자에 관한 이야기	2. ПОЯВЛЕНИЕ ЧЕЛОВЕКА СО СТРАННОСТЯМИ
 그 남자가 온 것은 오전 열한 시였다.	Человек этот появился в 11 утра.
우리와 같은 작은 규모의 회사에서는 두 종류의 오전 열한 시가 있다.	В таких маленьких фирмах, как наша, время суток под названием 'одиннадцать утра' бывает двух разновидностей.
	
즉 겁나게 바쁘든지 겁나게 한가하든지 둘 중 의 하나다. 그 중간이 없다.	Либо это - капитальная запарка, либо - капитальное безделье; чего-то среднего не дано.
	Или мы бестолково суетимся и бегаем, в делах по самые уши, - или так же бестолково клюем носами и досматриваем утренние сны.
	Что же касается 'дел средней важности', если такая штука вообще бывает, то их всегда очень удобно выполнить 'как-нибудь после обеда'.
그러니까 오전 열한 시에는 우리는 아무 생각 없 이 그저 분주하게 일하고 있거나, 아니면 아무 생각 없이 멍하니 꿈속을 헤매고 있다.	Человек этот появился утром именно второй разновидности.
중간적인 일은(만약에 그런 일이 있다면) 오후를 위해 남겨 두면 되는 것 이다.	Утру, случившемуся в тот день, можно смело ставить памятник Классического Безделья.
	Всю первую половину сентября мы вкалывали как ненормальные; но лишь только заказ был выполнен, жизнь в конторе остановилась.
	Трое, включая меня, взяли неиспользованные летние отпуска с опозданием на месяц; всем же остальным работы только и оставалось, что с утра до вечера затачивать карандаши.
	Мой напарник выскочил снять денег в банке; другой сотрудник убивал время, слушая свежие пластинки в демонстрационном зале музыкального магазина напротив; и только девочка-секретарша, оставшись одна в опустевшей конторе, изредка отвечала на телефонные звонки да листала 'Прически осеннего стиля'.
그 남자가 찾아온 것은 후자 쪽의 오전 열한 시였다. 그것도 기념비적으로 한가한 오전 열한 시였다.	Дверь в контору он отворил без единого звука - и так же беззвучно затворил ее за собой.
9월 초에 미친 듯이 바쁜 나날이 계속되다가 그게 끝나자 일이 뚝 끊어졌다.	При этом его бесшумные движения вовсе не выглядели нарочитыми.
나를 포함한 세 사람이 한 달 늦은 여름 휴가를 잡 았는데도 남은 친구들에게는 연필을 깎는 정도의 일밖에 없었다.	Напротив, все в нем казалось обычным и очень естественным.
내 친구는 수표를 끊으러 은행에 가고, 한 사람은 근처에 있는 오디오 메이커 의 쇼 룸에서 새로 나온 레코드를 들으며 시간을 때우고, 혼자서 회사에 남은 여사원은 전화를 지키면서 여성지에 실린 '가을의 헤어스타일'이라는 기사를 읽 고 있었다.	Настолько обычным и настолько естественным, что девочка-секретарша не сразу осознала сам факт его появления в конторе.
남자는 소리도 없이 사무실 문을 열고 들어와 소리 내지 않고 문을 닫았다. 그러나 남자는 의식적으로 조용히 행동한 것은 아니었다.	Когда она поняла это, он уже стоял прямо перед ее столом и взирал на нее сверху вниз.
모든 거이 습관적이 고 자연스러웠다. 너무나 습관적이고 자연스러워, 여사원은 남자가 들어온 것조 차 제대로 실감할 수 없을 정도였다.	- Если это возможно, мне хотелось бы поговорить с кем-нибудь из начальства, - произнес человек.
그녀가 알아차렸을 때는 이미 남자가 책 상 앞에 서서 그녀를 내려다보고 있었다.	Сказано это было тоном, с каким смахивают перчаткой невидимую пыль со стола.
책임자를 만나고 싶소' 라고 남자는 말했다. 장갑으로 책상 위의 먼지를 털어 내는 듯한 말투였다.	Девочка никак не могла сообразить, что, вообще говоря, происходит.
그녀는 도대체 무슨 일이 일어난 건지 통 알 수가 없었다. 그녀는 고개를 들 어 남자를 보았다.	Подняв голову, она уставилась на незнакомца.
남자는 업무상 찾아온 거래처 사람치고는 눈매가 너무 날카 로웠고, 세무서 직원치고는 차림새가 좋았으며, 경찰관치고는 너무 지적으로 보 였다.	У того был слишком проницательный взгляд, чтобы оказаться заурядным клиентом.
그녀에게는 그 이외의 직업은 떠오르질 않았다.	Для налогового эксперта он был слишком хорошо сложен, для полицейского - выглядел слишком интеллигентно.
남자는 세련된 불길한 뉴스처럼 그녀 앞에 갑자기 나타나서는 딱 버티고 서 있었다.	Никаких других профессий ей вспомнить не удавалось.
	Точно известие о какой-то неотвратимой беде, человек этот возник неизвестно откуда и стоял теперь прямо перед ее глазами.
그녀는 잡지를 황급히 덮으며 '지금 자리에 안 계신데요' 라고 말했다. '앞으로 30분 정도면 돌아오실 텐데요.'	- Их сейчас нет! - пролепетала секретарша, поспешно захлопнув журнал.
기다리겠소' 하고 순간의 주저함도 없이 남자는 말했다.	- Обещали быть через полчаса...
그 사실은 처음부터 알고 있었다 는 듯한 느낌이었다.	- Я подожду, - мгновенно ответил он.
그녀의 상대방의 이름을 물어 볼까 망설이다가 체념하고 남자를 응접실로 안 내했다.	Будто знал заранее, что ему скажут.
	Лихорадочно пытаясь решить, не спросить ей хотя бы имя посетителя, секретарша вконец запуталась, отказалась от этой мысли и провела гостя в приемную.
남자는 하늘색 소파에 다리를 꼬고 앉아 정면 벽에 걸린 전기 시계에 시선을 고정한 채 움직이지 않았다. 불필요한 동작은 전혀 없었다.	Человек опустился на небесно-голубой диван, положил ногу на ногу - и застыл как каменный, упершись взором в электронные часы на стене напротив.
잠시 후 보 리차를 가지고 갔을 때에도 그는 그 자세로 그대고 꼼짝도 않고 앉아 있었다.	Через некоторое время она принесла ему ячменного чая, а он все сидел, не сдвинувшись ни на миллиметр.
자네가 지금 앉아 있는 바로 그 자리야.	- Прямо там, где сейчас сидишь ты, - сказал мой напарник.
거기에 앉은 채, 꼬박 30분을 똑같 은 자세로 시계를 바라보고 있었던 거야' 라고 내 친구는 말했다.	- Вот так же сидел себе, не меняя позы, и тридцать минут подряд сверлил глазами часы!...
	Я поизучал глазами изгибы дивана, на котором сидел, поднял взгляд к часам на стене и снова уставился на своего напарника.
나는 내가 앉아 있는 소파의 움푹 패인 부분을 바라본 다음 벽에 걸린 전기 시계를 올려다보았다.	Несмотря на жару, крайне редкую для конца сентября, гость наш был одет, что называется, 'по всей форме'.
	Из рукавов костюма - благородно-серых тонов, явно шитого в дорогом ателье - белоснежные манжеты выглядывали ровно на полтора сантиметра; безупречно подобранный галстук в изысканно-невнятную полоску был повязан с едва заметной асимметричностью; туфли из черного кордована блестели, как зеркала.
그러고 나서 다시 한 번 내 친구를 보았다. 9월 말치고는 이상할 만큼 무더웠는데도 불구하고 남자는 정말 단정한 옷차림 을 하고 있었다.	В свои тридцать пять - сорок лет при росте около ста семидесяти сантиметров этот человек не имел ни грамма лишнего веса.
