4. 양을 세다	4.СЧИТАЯ ОВЕЦ
그뿐이다. 그 이외에는 아무것도 없다.	Вот и все, и ничего больше.
나는 테이블 위에 그 사지을 내던지고 담배를 한 개비 피우고 나서 하품을 했 다.	Я бросил фотографию обратно на стол, выкурил сигарету и смачно зевнул.
그리고 다시 한 번 사진을 손에 들고, 이번에는 양의 수를 세어 보았다.	Затем снова взял фотографию в руки - и на этот раз попробовал посчитать овец.
	Однако долина была настолько просторной, и все эти овцы разбрелись по ней, как отдыхающие на пикнике, - так беспорядочно, что чем дальше к горизонту уходил я в своих подсчетах, тем труднее было отличить овцу от простого белого пятнышка, белое пятнышко - от обмана зрения, а обман зрения - от пустоты.
그러나 초원을 드넓고 양들은 소풍 나온 아이들이 여기저기 흩어져 도시락을 먹 듯이 뿔뿔이 흩어져 있었으므로, 멀리 가면 갈수록 그것이 양인지 아니면 그저 흰 점인지가 불확실해지고, 얼마 되지 않아 흰 점인지 아니면 눈의 착각인지 분 간할 수 없게 되고, 결국에는 눈의 착각인지 허무인지를 알 수 없게 되었다.	Тогда - делать нечего! - кончиком шариковой ручки я попытался сосчитать хотя бы тех овец, в чьем 'овечестве' был уверен на сто процентов.
할 수 없이 나는 일단 양이라고 확신할 수 있는 것만을 볼펜 끝으로 세어 보 았다.	Худо ли бедно, у меня получилось число тридцать два.
서른 둘이라는 숫자가 나왔다.	Тридцать две овцы.
서른두 마리의 양. 그다지 색다를 것 없 는 풍경 사진이다.	Стандартная, ничем не примечательная фотография.
구도가 잘 잡힌 것도 아니고, 이렇다 할 깊은 맛이 있지도 않았다.	Ни интересной композиции, ни того, что можно назвать 'изюминкой'. И все-таки что-то в ней явно было...
그러나 거기에는 확실히 뭔가가 있었다.	Странный привкус тревоги.
문제의 냄새다. 그것은 내가 사진을 처음 보았을 때도 느꼈고, 지난 석 달 동안 줄곧 느껴 왔던 일이다.	В миг, когда я увидал этот список впервые, именно такое ощущение поселилось в душе и все три последующих месяца уже не покидало меня.
나는 이번에는 소파에 드러누워 얼굴 위로 사진을 들고 양의 수를 다시 한번 세어 보았다.	Я повалился спиной на диван и, держа фотографию над собой, еще раз пересчитал овец.
세른세 마리 서른세 마리?	Тридцать три овцы.
나는 눈을 감고 고개를 흔들어 머리 속을 비웠다.	ТРИДЦАТЬ ТРИ?!?
그래 좋아'라고 나는 생각 했다. 설사 무슨 일이 일어날 거라 하더라도 아직은 아무 일도 일어나지 않은 것이다.	Я зажмурился и помотал головой, пытаясь вытряхнуть скопившуюся в ней чертовщину...
그리고 뭔가 일어났다면, 그건 이미 일어나 버린 일이다.	А, ладно, сказал я себе.
나는 소파에 누운 채 다시 한 번 양의 수에 도전해 봤다.	Чему быть, того не миновать.
그리고 오후에 마 신 두 잔의 위스키에 어울리는 깊은 잠에 빠졌다.	А что случилось - того уже не изменишь.
잠들기 전에, 나는 아주 잠깐 새 여자 친구의 귀에 대해서 생각했다.	Лежа на диване, я собрался с духом и начал считать овец заново.
	За этим занятием меня и сразил тот внезапный глубокий сон, какой случается, если пить двойной виски сразу после обеда.
	За миг до того, как уснуть, я подумал об ушах своей новой подруги.
5. 차와 그 운전사(1)	5. АВТОМОБИЛЬ И ЕГО ВОДИТЕЛЬ (1)
 데리러 온다던 차는 약속대로 네 시에 왔다.	Машина за мной, как и было назначено, прибыла ровно в четыре.
비둘기 시계처럼 정확했다. 여 사원이 나를 깊은 잠의 늪에서 끌어내 주었다.	
나는 세면실에서 대충 세수를 했는 데도 졸음이 통 가실질 않았다.	Секунда в секунду - словно кукушка из часов.
엘리베이터를 타고 아래층에 도착할 때까 지 세 번이나 하품을 했다.	Девочка-секретарша вызволила меня из бездонного сна.
누군가에게 무언가를 호소하는 듯한 하품이었는데, 호소를 하는 쪽도 그 호소를 받는 쪽도 나였다.	Я наскоро сполоснул лицо в туалете, но сонливость не проходила.
그 거대한 자동차는 건물 현관 앞의 길 위의 잠수함처럼 떠 있었다.	В лифте, пока тот вез меня вниз, я трижды зевнул.
	Зевнул так, будто зевками звал кого-то на помощь; хотя в моем случае и тем, кто звал, и тем кого звали, мог быть разве только я сам.
조심성 있는 가족이라면 보닛 속에서라도 지낼 수 있을 정도로 거대한 차였다. 유리창 이 칙칙한 파란색이라 밖에서 안을 들여다 볼 수 없도록 되어 있었다.	Гигантский автомобиль громоздился у входа в здание, точно подводная лодка, всплывшая из океанской пучины.
차체는 그야말로 장엄한 검정색이었고, 범퍼에서 휠 캡에 이르기까지 얼룩 하나 없었다.	Скромная небольшая семья могла бы неплохо разместиться под капотом этой громадины.
차 옆에는 말끔한 흰 셔츠에 오렌지색 넥타이를 맨 중년의 운전사가 꼿꼿한 자세로 서 있었다.	Стекла мрачно-синего цвета не позволяли даже в общих чертах разобрать, что творится внутри.
	Корпус машины был покрыт умопомрачительной черной краской, и куда ни глянь, везде - от бампера до колпаков на колесах - не было ни пылинки, ни пятнышка.
진짜 운전사였다. 그는 내가 다가가자 아무 말없이 문을 연 다음, 내가 정확히 자리에 앉는 것을 확인하고 나서 문을 닫았다.	Водитель - средних лет, с оранжевым галстуком поверх свежайшей белой сорочки - стоял навытяжку рядом с автомобилем.
그리고 자기도 운전석에 올라타고 문을 닫았다.	То был Водитель в полном смысле слова.
	При моем приближении он, ни слова не говоря, распахнул дверцу автомобиля, внимательно проследил за тем, чтобы я устроился на сиденье поудобнее, и только тогда закрыл дверцу.
이 모든 일이 진행되는 데 새 트럼프를 한 장씩 뒤집을 때 정도의 소리밖에 나지 않았다.	Потом он занял место за рулем и так же мягко затворил дверцу за собой.
친구에게서 산 내 15년된 폴크스바겐에 비하면, 귀마개를 하고 호수 밑바닥에 앉아 있는 것처 럼 조용했다.	Звука от этих действий происходило не больше, чем от перетусовывания колоды карт.
차의 내부 장식도 대단했다. 대형 차의 액세서리가 그렇 듯 결코 품위가 있 다고는 할 수 없었지만, 그래도 대단한 것임에는 틀림이 없었다.	Куда там моему пятнадцатилетнему 'жучку'-фольксвагену, приобретенному у приятеля по дешевке!
널찍한 뒷좌석 한가운데에는 고상한 디자인의 푸시 폰이 설치되어 있었고, 그 옆에는 은으로 된 라이터와 재떨이, 담배 케이스의 세트가 나란히 놓여 있었다.	Находиться в этой машине было все равно, что сидеть на дне озера с затычками в ушах.
운전석 위에는 조립식 책상과 작은 캐비닛이 놓여 있어서 글을 쓸 수 있거나 간단한 식사를 할 수 있도록 되어 있었다.	Внутри автомобиля все было тоже очень солидно.
	И хотя у человека, который решал, что подходит для салона огромного лимузина, был не самый безупречный вкус ╜ результаты его усилий оказались просто внушительными.
	Между подушек необъятного заднего сидения утопал шикарный кнопочный телефон, и с ним рядом на пульте я обнаружил пепельницу, сигаретницу и зажигалку ╜ все из чистого серебра.
	В спинке кресла водителя были встроены откидной столик и секретер для письменных принадлежностей - и перекусить, и поработать с бумагами.
에어컨디셔너의 바람은 조용하고 자 연스러웠으며, 바닥에 깐 카펫은 부드러웠다.	Из кондиционера дул едва различимый ветерок, а пол устилало мягкое ковровое покрытие.
정신을 차렸을 때, 차는 이미 움직이고 있었다. 마치 놋대야를 타고 수은으로 된 호수를 미끄러져 가는 것 같았다.	О том, что машина тронулась, я догадался, когда мы уже были в пути.
	Казалось, будто в каком-то железном тазу я бесшумно скольжу по гладкой как ртуть поверхности огромного озера.
나는 도대체 이 차에 얼마만큼의 돈을 들 였을까 생각해 보았지만, 아무리 골똘히 생각해 봐도 허사였다.	Я попытался прикинуть, сколько денег ухлопали на этот автомобиль - но представить это оказалось мне не под силу.
모든 것은 내 상상력의 범위를 초월했다.	Это просто выходило за пределы моего воображения.
운전사는 내게 '음악이라도 틀까요?' 하고 물었다.	- Из музыки что пожелаете? - осведомился водитель.
되도록 잠이 올 만한 거면 좋겠는데' 라고 나는 대답했다.	- Хорошо бы что-нибудь... усыпляющее, - ответил я.
알겠습니다.'	- Как изволите.
운전사는 좌석 밑을 손으로 더듬어 카세트 테이프를 골라 계기반의 스위치를 눌렀다.	Откуда-то из под сиденья водитель выудил кассету, вставил в панель перед собой и нажал кнопку.
어딘가에 교묘하게 숨겨진 스피커에서 무반주 체로 소나타가 조용히 흘러 나왔다.	Из динамиков, скрытых неведомо где, выплеснулась и потекла, заполняя салон, соната для виолончели.
나무랄 데 없는 곡에다 나무랄 데 없는 소리였다.	Безупречная музыка, безукоризненный звук.
언제나 이 차로 손님을 모십니까?' 라고 나는 물어 보았다.	- А вы что же, все время вот так... клиентов развозите? - спросил я.
그렇습니다. 최근에는 늘 이 차로 모셨습니다.'	- Да, - осторожно ответил водитель.
라고 운전사는 조심스럽게 대답했다. '그래요?' 라고 나는 말했다.	- В последнее время - постоянно. - А-а, - протянул я.
이것은 원래 선생님 전용차였거든요' 라고 잠시 후에 운전사는 말했다. 운전사는 보기보다는 훨씬 붙임성이 있는 것 같았다.	- Вообще говоря, это персональная машина Сэнсэя, - продолжал водитель после небольшой паузы.
하지만 금년 봄부터 몸이 안 좋아지셔서 바깥 출입을 안 하시게 되었는데, 그 렇다고 차를 놀리는 것도 그렇게 해서요.	В душе он, похоже, был гораздо приветливее, чем казался на вид.
그리고 잘 아시겠지만, 차라는 것은 정기적으로 움직여 주지 않으면 성능이 저하되거든요.'	- Да нынешней осенью Сэнсэй занемог, и из дому теперь не выходит И мы с машиной оказались вроде как не у дел.
나는 '아 그렇겠군요' 라고 말했다. 그렇다면 선생의 건강이 나쁘다는 것은 비밀도 아닌 셈이다.	Ну, а у машины - вы, наверное, сами знаете ╜ если долго не заводить, снижаются технические возможности...
나는 담배 케이스의 담배 한 개비를 손으로 집어서 바라보았다.	- И не говорите, - сказал я.
상표명이 없는 오리지널 궐련인데, 코에 가까이 대보니 러시아 담배에 가까운 냄새가 났다.	Значит, из болезни Сэнсэя вовсе не делалось особенной тайны.
나 는 피울까 아니면 호주머니에 넣어 둘까 한동안 망설이다가 생각을 고쳐 먹고 제자리에 놓았다.	Я вытянул из сигаретницы сигарету и исследовал ее со всех сторон.
라이터와 담배 케이스에는 한가운데에 정교하게 도안 된 문 장(紋章)이 새겨져 있었다. 양문장이었다.	Сделано по заказу, без фильтра, оба конца обрезаны, без торговой марки, без имени фирмы-изготовителя.
양? 무슨 생각을 해도 부질없을 것 같아서 나는 고개를 젓고 눈을 감았다.	По запаху это напоминало русский табак.
귀가 찍힌 그 사지을 처음 봤던 오후부터 내내, 내가 감당할 수 없는 여러 가지 일들 이 벌어지기 시작했던 것 같다.	Поколебавшись немного - закурить или сунуть в карман? - я передумал и вернул сигарету на место.
	И на зажигалке, и на сигаретнице прямо по центру были впаяны тончайшей гравировки геральдические гербы.
목적지까지 얼마나 걸리지요?'	На гербах были овцы.
라고 나는 물어 보았다.	Овцы?!...
30분에서 40분, 교통 사정에 따라 다르지만요.' '그럼 냉방을 조금 약하게 해주시겠어요?	Я почувствовал, что здесь уже бесполезно пытаться что-то понять, и поэтому просто помотал головой и закрыл глаза.
	С того полудня, когда я впервые увидел фотографию ушей, похоже, слишком много вещей вокруг стало выходить из под моего контроля.
좀더 자고 싶은데.' '알겠습니다.'	- Сколько нам еще ехать? - спросил я у водителя.
운전사는 에어컨디셔너를 조절하고 나서 계기반 스위치 중 하나를 눌렀다.	- Минут тридцать - ну, может, сорок...
두툼한 유리가 소리 없이 스르르 올려져 운전석과 뒷좌석 사이를 차단시켰다.	Смотря как дорога будет заполнена.
좌석은 바하의 음악을 제외하면 거의 완벽할 정도로 침묵에 싸였다.	- Тогда, будьте любезны, сделайте ветерок послабее.
그러나 나 는 이미 웬만한 일에는 놀라지 않게 되었다.	Я тут, понимаете, один сон не успел досмотреть...
나는 시트에 뺨을 묻고 잠들었다.	- Как прикажете.
꿈속에는 젖소가 나왔다. 비교적 말쑥했는데 나름대로 고생도 해온 듯한 타 입의 젖소였다.	Водитель настроил кондиционер и нажал какую-то кнопку на центральной панели.
	Массивное стекло, плавно поднявшись, отрезало пассажирский салон от сиденья водителя.
	И если бы не еле слышная музыка Баха, я бы сказал, что салон затопила абсолютная, космическая тишина.
우리는 넓은 다리 위에서 스치듯 지나갔다. 기분 좋은 봄날 오 후였다.	Впрочем, к тому моменту меня уже трудно было чем-либо поразить.
젖소는 한 손에 낡은 선풍기를 들고서 나에게 그것을 싸게 사지 않겠 느냐고 물었다.	Зарывшись в подушку сиденья, я спал крепким сном.
나는 돈이 없다고 대답했다. 정말로 없었다.	В сон ко мне явилась корова.
	Вполне опрятная, чистенькая коровка ╜ но какая-то исстрадавшаяся и заметно побитая жизнью.
그럼 집게와 교환하면 어떻겠느냐고 젖소가 물었다.	Мы встретились нос к носу на широком мосту.
나쁘지 않은 제안이었다. 나는 젖소와 함께 집으로 돌아가 열심히 집게를 찾았다.	Ласковое весеннее солнце клонилось к закату.
	В одном копыте корова держала старенький электрический вентилятор, предлагая мне - мол, не купишь ли, дешево отдам.
그러나 집게는 보이지 않았다.	Денег нет', - сказал я.
이상한데. 정말로 어제까지 있었는데' 라고 나는 말했다.	Денег и правда не было.
내가 선반 위를 살펴보기 위해서 의자를 가져온 장면에서, 운전사가 내 어깨 를 두드리며 깨웠다.	Ну, давай хоть на плоскогубцы махнемся, ' - сказала корова.
도착했습니다.'	Звучало заманчиво.
	Мы пошли с коровой ко мне, и я перевернул все в доме вверх дном, пытаясь найти плоскогубцы.
라고 운전사는 간결하게 말했다.	Но их нигде не было.
문이 열리더니 저녁 무렵의 여름 햇살이 내 얼굴에 내리쬐었다.	Очень странно, - сказал я корове.
	- Ведь еще вчера они были!...'. Я потащил стул к антресолям, чтоб поискать и там, но водитель уже будил меня, хлопая по плечу.
몇천 마리의 매미가 시계의 태엽을 감는 것처럼 울어대고 있었다.	- Приехали! - бросил он односложно.
흙 냄새도 났다. 나는 차에서 내려 기지개를 켠 후에 심호흡을 했다.	Дверь открылась, и лучи летнего предзакатного солнца обласкали мое лицо.
	Мириады сверчков издавали скрежет, будто кто-то проворачивал ключ у гигантского механического будильника.
그리고 내가 꾼 꿈이 상 징적인 꿈이 아니길 빌었다.	Пахло землей.
	Я выбрался из машины, размял спину, глубоко вздохнул и помолился Небу, чтобы мой сон не имел отношения к так называемым 'Символическим Сновидениям'.
	
6. 실지렁이 우주란 무엇인가?	6. ВСЕЛЕННАЯ ГЛАЗАМИ ЧЕРВЯКА
	
상징적인 꿈이 있고, 그런 꿈이 상징하는 현실이 있다. 또는 상징적인 현실이 있고, 그런 현실이 상징하는 꿈이 있다.	Бывают символические сновидения - и реальная жизнь, которую они символизируют.
	Или же наоборот: бывает символическая жизнь - и сновидения, в которых она реализуется.
상징은 말하자면 실지렁이 우주의 명예 시장(市長)이다. 실지렁이 우주에서는 젖소가 집게를 찾고 있어도 조금도 이상 하지 않다.	Символ - почетный мэр города, если смотреть на Вселенную глазами крохотного червячка.
	Во Вселенной Глазами Червяка никто не станет удивляться, зачем корове плоскогубцы.
	Раз ей так хочется, достанутся ей эти несчастные плоскогубцы ╜ не сейчас, так потом.
젖소는 언젠가 집게를 손에 넣을 것이다. 나와는 관계없는 문제다.	Мне-то с моими проблемами от этого не легче...
그러나 만약에 젖소가 나를 이용해서 집게를 손에 넣으려고 한다면, 상황은 완전히 바뀐다.	Иное дело, если для того, чтобы раздобыть себе плоскогубцы, корова решила использовать именно меня.
나는 사고 방식이 전혀 다른 우주에 내던져지게 된다.	Тогда ситуация в корне меняется.
사고 방 식이 다른 우주에 내던져져 가장 난처한 일은 말이 길어지는 것이다.	Тут уж меня забрасывает в совершенно чужие измерения, где кто-то другой видит все совсем по-другому.
내가 젖 소에게 묻는다. '왜 너는 집게를 원하는 거지?'	Когда вдруг тебя забрасывает в другое измерение, самое неудобное - это долгие разговоры.
젖소가 대답한다. '배가 몹시 고파서요.'	На фига тебе плоскогубцы?' - спрошу я корову.
내가 묻는다. '배가 고픈데 왜 집게가 필요한 거지?'	Очень кушать охота', - ответит она.
젖소가 대답한다. '복숭아나무 가지에 묶는 거지요.'	А на фига плоскогубцы, когда кушать охота?' - спрошу я.
내가 묻는다. '왜 복숭아나무지?'	А повешу на ветку с персиками!' - ответит она.
젖소가 대답한다. '그러니까 선풍기를 넘겨준 거 아닙니까?'	А ветка с персиками - на фига?' - спрошу я.
끝이 없다. 그리고 나는 끝없이 젖소를 미워하기 시작하고, 젖소도 나를 미워 하기 시작한다.	Так ведь я ж тебе целый вентилятор взамен отдаю!' - ответит она.
그것이 실지렁이 우주다.	И так без конца.
	И вот в бесконечном таком разговоре я постепенно начну ненавидеть корову, а корова начнет ненавидеть меня.
그런 우주에서 빠져 나오기 위해서는 다시 한 번 다른 상징적인 꿈을 꾸는 수밖에 없다.	Так и случается во Вселенной Глазами Червяка.
1978년 9월의 오후에 바퀴가 넷 달린 그 거대한 차가 나를 데리고 간 곳은, 바로 그와 같은 실지렁이 우주의 중심이었다.	И единственный способ убежать оттуда - это поскорее увидеть еще какой-нибудь сон.
	И вот теперь, сентябрьским полднем 1978 года, четырехколесное железное чудище завезло меня в самый центр Вселенной Глазами Червяка...
요컨대 나의 바람은 각하(却下)된 것이다. 나는 주위를 돌아보고 나서 무의식적으로 한숨을 쉬었다.	Надо понимать, вопрос с моими молитвами там, на небесах, был решен отрицательно.
한숨을 쉴 만한 가 치는 있었다. 차는 약간 높은 언덕의 중심에 서 있었다.	Я огляделся и невольно вздохнул.
뒤에는 차가 올라온 듯한 자갈길 이 이어져 있었고, 그것은 인위적일 정도로 구불구불 구부러지면서 멀리 보이는 문으로 통해 있었다.	Вздыхать - единственное, что оставалось в моей ситуации.
길 양쪽에는 노송나무와 수은등이 연필 꽂이처럼 같은 간 격으로 늘어서 있었다.	Машина стояла на вершине небольшого холма.
천천히 걸으면 문까지 아마도 15분 정도는 걸릴 것 같 았다. 노송나무의 줄기마다 셀 수 없을 만큼의 매미들이 기를 쓰고 매달려, 세 계가 종말이라도 향해 굴러가기 시작한 듯이 울어대고 있었다.	Дорожка из гравия, по которой мы, надо думать, сюда и приехали, убегала вниз по склону за нашей спиной, петляя вычурным серпантином до едва различимых вдали ворот.
