E.A. M. Willson The Modern Russian Dictionary for English Speakers 1984

take aback	опешить, поразиться
condone	прощать
confer	присуждать
confide	доверить секрет
confound	смущать, приводить в замешательство, ставить в тупик  Syn: discomfit 2) опровергнуть (теорию, предположение) Syn: refute 3) расстраивать, разрушать (планы, надежды)
26/03	
confute	опровергнутть
congenial	симпатичный приятный
congenital	врожденный
conjure	показывать фокусы
conjugal	супружеский
conifer	хвойное дерево
connive at ~ 	попустительствовать смотреть сквозь пальцы
connivance	with the ~ of при попустительстве 2
connoisseur	знаток ценитель
conscience	советсь
conscientious	добросоветсный
conscious	мыслящий сознательный, осознанный
consign	посылать отправлять
conspicuous	видный заметный броский
consternation	ужас
construe	разбирать(смысл) истолковывать; переводить (с языка на язык); приходить к заключению, делать вывод; а) делать синтаксический разбор,
consummate	законченный совершенный
contempt	презирать
27/03	
contend	утверждать что, бороться с
contingency	непредвиденная ситуация
contort	исказиться искривиться 23
contraption	приспособление устройство
contravene	преступать (закон)
contrite	виноватый кающийся 2345
contrive	выдумывать замыслить 245
convalesce	выздоравливать
convene	собирать (собрание)
conversant	незнакомый с 
convent	женский монастырь
convivial	веселый праздничный
copious	обильный плодовитый
corny	избитый бородаты (анекд)
cosset	баловать нежить любимый
countermand	отменять прика/заказ
courteous	вежливый учтительный
covet	зариться завидовать
craggy	скалистый
30.03	-, 08.04.2019
credulous	доверчивый
crestfallen	удрученный (вид)
cross	сердитый 12
cudgel	дубина избивать дубиной 12
cutlery	ножи вилки
dab	пятно
dabble	интересоваться поверхн-но баловаться болтать руками
dainty	изящный 12
dank	сырой о погоде
dapper	франт (прил)
daub	мазать
daunting	пугающий
debilitating	изнуряющий
decamp	скрыться 1
decrepit	дряхлый ветхий
deferential	почтительный
defy	бросать вызов
deign	соблаговолить 2
31.03	04.04.2019, 08.04.2019
deliberate	comtemplate, consider
delinquency	преступность
deliverance	free, salvation
delude	обманывать вводить в заблуждение
demure	скромный
dent	гнуться
deplorable	печальный прискорбный
derelict	брошенный
deride	высмеивать
desist from	переставать
desultory	несвязный бессистемный 12
detriment	ущерб. во вред
devious	окольный хитрый (метод)
dicky	ветхий
crass	грубый, глупый
02.04	
devout	благочестивый, набожный, праведный, религиозный
diffident	неуверенный в себе
digs	комната
dint	посредством by ~ of
discerning	проницательный
discomposure	смущение волнение
disconcert	расстраивать (планы) смущать
disconsolate	удрученный
discontented	недовольный
disdain	презирать презрение
disincentive	препятствие
dismay	тревога
disobliging	нелюбезный
disparaging	пренебрежительный
dispensation	распределение, распространение
disquiet	беспокоить
disrepute	дурная слава
