“有什么事，坐下说，二妹妹！	1 - Что случилось?
张大哥点了点头，不晓得是承认知道二兄弟的脾气，还是同意夫人的意见。	Но дома мы часто называем его Ван Багао! [[7]: #_ednref7 Ванба - рогоносец.] - рассмеялась женщина,
他问。	Ладно!
“他托谁来着？” “公安局的一位什么王八羔呀——”	Завтра с утра разыщу этого Вана, он все может сделать.
“王伯高，”张大哥也认识此人。	Со мной не пропадешь!
“对了；在家里我们老叫他王八羔，”二妹妹也笑了，挤下不少眼泪来。	Ван Богао помог твоему мужу сдать на врача, а теперь мы попробуем вызволить его из тюрьмы.
	Спасибо вам, Чжан Дагэ, спасибо, тетушка Чжан. - Глаза у женщины мигом высохли. - А потом он снова начнет всех лечить?
“好了，二妹，明天我天一亮就找王伯高去；有他，什么都好办。	Может, уговорить его не давать больным этого проклятого гипса, чтобы не было больше неприятностей?…
我这个媒人含忽不了！”	Об этом после поговорим.
张大哥给了二妹妹一句。	Ты положись на меня.
“能托人情考上医生，咱们就也能托人把他放出来。”	А сейчас пусть жена тебя накормит. - Теперь мне ничего не страшно!
“那可就好了，我这先谢谢大哥大嫂子，”二妹妹的睛睛几乎完全干了。	Госпожа Чжан знала, что если человеку ничто не страшно, он непременно должен поесть.
“可是，他出来以后还能行医不能呢？	Идем, сестра, на кухню, поговорим, а заодно и перекусишь.
我要是劝着他别多下石膏，也许不至再惹出祸来！”	Немного успокоившись, женщина направилась к двери.
“那是后话，以后再说。	Очень прошу вас, господин Чжан, уж вы постарайтесь.
	Я пойду поговорю с тетушкой Чжан, а вы посидите пока тут. - Она не взглянула на Лао Ли, но последняя фраза явно предназначалась ему.
得了，您把事交给我吧；叫大嫂子给您弄点什么吃。” “哎！	2 Лао Ли забыл, о чем хотел говорить, он думал совсем о другом и сам не знал: восхищаться Чжан Дагэ или досадовать на него.
这我才有了主心骨！” 张大嫂知道，人一有了主心骨，就非吃点什么不可。	Его готовность помочь людям достойна подражания, вот только методы вызывают досаду.
“来吧，二妹妹，咱们上厨房说话儿去，就手弄点吃的。”	Но, может быть, в этом обществе надо действовать именно так?
二妹妹的心放宽了，胃也觉出空虚来，就棍打腿的下了台阶：“那么，大哥就多分心吧，我和大嫂子说会子话去。”	Впрочем, любой обман, даже из добрых побуждений, погружает общество во мрак.
她没看老李，可是一定是向他说的：“您这儿坐着！”	И если вдруг засияет свет, людям больно будет открыть глаза.
大嫂和二妹下了厨房。 二	Чжан Дагэ рассмеялся.
老李把话头忘了，心中想开了别的事：他不知是佩服张大哥好，还是恨他好。	Лао Ли, ты видел эту молодую женщину?
以热心帮助人说，张大哥确是有可取之处；以他的办法说，他确是可恨。	До свадьбы, бывало, от нее слова не добьешься, а сейчас будто трещотка.
在这种社会里，他继而一想，这种可恨的办法也许就是最好的。	Года еще нет, как замужем. Года!
可是，这种敷衍目下的办法——虽然是善意的——似乎只能继续保持社会的黑暗，而使人人乐意生活在黑暗里；偶尔有点光明，人们还许都闭上眼，受不住呢！	В конце концов… - Он не стал продолжать, предоставив Лао Ли возможность самому приходить в восторг от результатов этого брака.
张大哥笑了，“老李，你看那个小媳妇？	Но гость промолчал, занятый собственными мыслями.
没出嫁的时候，真是个没嘴的葫芦，一句整话也说不出来；看现在，小梆子似的；刚出嫁不到一年，不到一年！	Никудышный врач отправил на тот свет человека.
到底结婚——”他没往下说，似乎是把结婚的赞颂留给老李说。	Неужели над этим не стоит поразмыслить?
老李没言语，可是心里说，“马马虎虎当医生，杀人……	А он ищет, кто бы помог вызволить шарлатана…
	Но Чжан Дагэ истолковал молчание гостя по-своему, решил, что тот озабочен собственными делами.
都不值得一考虑？	Лао Ли, ты рассказывай!
托人把他放出来……”	О чем? - Да о себе.
张大哥看老李没出声，以为他是想自己的事呢，“老李，说吧！”	Почему ты все время грустный?
“说什么？”	Не о чем мне рассказывать.
“你自己的事，成天的皱着眉，那些事！” “没事！”	Назойливость Чжан Дагэ становилась невыносимой.
老李觉得张大哥很讨厌。 “不过心中觉着难过——苦闷，用个新字儿。”	Но я же вижу, что на душе у тебя тяжело, или, как теперь говорят, тоскливо.
“大概在这种社会里，是个有点思想的就不能不苦闷；除了——啊——”	В нашем обществе люди мыслящие не могут не тосковать.
老李的脸红了。	Кроме… - Лао Ли покраснел.
	Я не в счет, - Чжан Дагэ рассмеялся, левый глаз его превратился в щелку, - хотя и я хорошо понимаю некоторые общественные явления.
“不用管我，”张大哥笑了，左眼闭成一道缝，“不过我也很明白些社会现象。	Можно, например, сказать, что общество погружено во мрак, поэтому всех охватила тоска.
可是话也得两说着：社会黑暗所以大家苦闷，也许是大家苦闷社会才黑暗。”	А можно еще так: всех охватила тоска, поэтому общество и погружено во мрак.
老李不知道怎样好了。	Лао Ли не знал, что вернее.
张大哥所谓的“社会现象”，“黑暗”，“苦闷”，到底是什么意思？	Общественные явления, мрак, тоска - какой во всем этом смысл?
焉知他的“黑暗”不就是“连阴天”的意思呢……	Может быть, мрак - всего лишь череда ненастных дней?
“你的都是常——”老李本来是这么想，不觉的说了出来；连头上都出了汗。	Все это элементарные… элементарные… - Лао Ли никак не мог подобрать слова, даже пот выступил на лбу.
“不错，我的都是常识；可是离开常识，怎么活着？	Правильно! Все это элементарные истины.
吃涮羊肉不用卤虾油，好吃？	Но жить без них все равно что есть вареную баранину без соуса.
哈哈……”	Вкусно это?
	Лао Ли долго молчал, думая о своем.
老李半天没说出什么来，心里想，常识就是文化——皮肤那么厚的文化——的一些小毛孔。	Элементарные истины не спасут нашу обескровленную культуру, так же как не спасли бы чахоточного лишние поры на его теле.
文化还不能仗着一两个小毛孔的作用而活着。	Но об этом неловко говорить с Чжан Дагэ.
一个患肺病的，就是多长些毛孔又有什么用呢？	Его вселенная - это его двор, а жизнь - сплошная суета, лишенная всякого смысла.
但是不便和张大哥说这个。	Вообще-то Чжан Дагэ не плохой человек.
他的宇宙就是这个院子，他的生命就是瞎热闹一回，热闹而没有任何意义。	Он хоть и мечется как насекомое во мраке, но никого не кусает.
	Было бы недостойно не поговорить с Чжан Дагэ после того, как он, Лао Ли, только что съел так изысканно приготовленную баранину.
不过，他不是个坏人——一个黑暗里的小虫，可是不咬人。	Элементарные истины - очень важная вещь.
“想到这里，老李投降了。	Ему стало смешно.
设若不和张大哥谈一谈，似乎对不起那么精致的一顿涮羊肉。	Поесть, встать и раскланяться - неприлично, противоречит элементарной истине.
	Но ради этого кривить душой?
常识是要紧的，他的心中笑了笑，吃完羊肉站起告辞，没有常识！	Чжан Дагэ ждал ответа, и Лао Ли сказал, глядя на собственное колено:
	Удачный брак или неудачный - все равно он порождает тоску, так не лучше ли совсем от него отказаться?
不过，为敷衍常识而丢弃了真诚，许——呕，张大哥等着我说话呢。	Чжан Дагэ даже вынул трубку изо рта.
可不是，张大哥吸着烟，眨巴着右眼，专等他说话呢。	А Лао Ли продолжал, наклонив голову;
“我想，”老李看着膝上说，“苦闷并不是由婚姻不得意而来，而是婚姻制度根本就不该要！”	Я не собираюсь заниматься обсуждением брачного вопроса.
张大哥的烟斗离开了嘴唇！	К чему тратить время на то, что вовсе не должно существовать!
老李仍然低着头说，“我不想解决婚姻问题，为什么在根本不当存在的东西上花费光阴呢？”	Но это же коммунизм! - воскликнул, смеясь, Чжан Дагэ, хотя на сердце у него кошки скребли.
“共产党！” 张大哥笑着喊，心中确是不大得劲。	В его представлении коммунизм неотделим от расстрелов, и это вполне естественно.
在他的心中，共产和枪毙是一件事，而且是应当如此：共产之后便共妻，共妻便不要媒人，应当枪毙！	Сначала обобществят землю, потом жен, а когда жены станут общими, свахи ни к чему, и их пустят в расход.
“这还不是共产党，”老李还是慢慢的说，可是话语中增加了力量。	Это еще не коммунизм! - медленно, но уже более уверенно проговорил Лао Ли. - Я вовсе не мечтаю о прелестях любви.
“我并不想尝尝恋爱的滋味，我要追求的是点——诗意。	Мне хочется немного поэзии.
家庭，社会，国家，世界，都是脚踏实地的，都没有诗意。	Семья, общество, государство, мир - все это реальность, лишенная поэзии.
大多数的妇女——已婚的未婚的都算在内——是平凡的，或者比男人们更平凡一些；我要——哪怕是看看呢，一个还未被实际给教坏了的女子，情热像一首诗，愉快像一些乐音，贞纯像个天使。	Женщины, и замужние и не замужние, - в большинстве своем создания заурядные, пожалуй, более заурядные, чем мужчины.
我大概是有点疯狂，这点疯狂是，假如我能认识自己，不敢浪漫而愿有个梦想，看社会黑暗而希望马上太平，知道人生的宿命而想像一个永生的乐园，不许自己迷信而愿有些神秘，我的疯狂是这些个不好形容的东西组合成的；你或者以为这全是废话？”	А мне хочется встретить, нет, хотя бы взглянуть на женщину, не забитую жизнью, поэтичную, умеющую красиво любить, искрящуюся весельем, как музыка, целомудренную, как ангел.
“很有趣，非常有趣！” 张大哥看着头上的几圈蓝烟，练习着由烟色的深浅断定烟叶的好坏。	Я, наверное, чуточку сумасшедший, но стать романтиком не могу, просто мечтаю об этом.
	Общество погружено во мрак, а я мечтаю о свете; у жизни есть свой предел, а я мечтаю о вечном веселье; я знаю, что заблуждаюсь, но не хочу отказываться от всего волшебного.
“不过，诗也罢，神秘也罢，我们若是能由切近的事作起，也不妨先去作一些。	Мое безумие соткано из таких вот таинственных нитей.
神秘是顶有趣的，没事儿我还就是爱读个剑侠小说什么的，神秘！	Может, все это вам кажется вздором? - Нет!
《火烧红莲寺》！	Это очень интересно!
	Чрезвычайно интересно! - Чжан Дагэ следил за облачком дыма, пытаясь по цвету определить качество табака. - Поэзия, таинственность, волшебство, все это прекрасно, только не очень доступно.
可是，希望剑侠而不可得，还不如给——假如有富余钱的话——叫花子一毛钱。 诗，我也懂一些，《千家诗》，《唐诗三百首》，小时候就读过。	Я и сейчас люблю читать на досуге рыцарские романы, например, «Пожар в храме Красного лотоса» [[8]: #_ednref8 «Пожар в храме Красного лотоса» - китайский авантюрный роман XIX в.].
可是诗没叫谁发过财，也没叫我聪明到哪儿去。	Да, все таинственное интересно!
我倒以为写笔顺顺溜溜的小文章更有用处；你还不能用诗写封家信什么的。	Но чем попусту мечтать о подвигах, лучше подать милостыню, если есть лишние деньги.
哎？	Стихи?
	Я тоже чуточку смыслю в этом. В детстве читал «Стихи тысячи поэтов», «Триста танских стихотворений» [[9]: #_ednref8 «Стихи тысячи поэтов», «Триста танских стихотворений» - антологии китайской классической поэзии.].
我老实不客气的讲，你是不愿意解决问题，不是不能解决。	Но стихи еще никому не прибавили ни богатства, ни ума.
	Гораздо полезнее писать небольшие статьи безобидного содержания или посылать близким письма в стихах.
因此，你把实际的问题放在一边，同时在半夜里胡思乱想。	Ты уж извини, я всегда говорю, что думаю.
	Ты мог бы уладить свои семейные дела, но не хочешь, потому и лезет в голову всякая чепуха.
你心中那个妇女——“	Женщина, которая в твоем сердце…
	Да нет ее у меня, это просто поэзия.
“不是实有其人，一点诗意！”	Все равно: Поэзия тоже женщина.
“不管是什么吧。	Женщина есть женщина.
哼，据我看诗意也是妇女，妇女就是妇女；你还不能用八人大轿到女家去娶诗意。	Ты ведь не можешь взять паланкин и поехать свататься к поэзии.
简单干脆的说，老李，你这么胡思乱想是危险的！	И знаешь, Лао Ли, эти пустые размышления попросту опасны.
	Тебе они кажутся выдающимися, а на самом деле - все это расхлябанность и слабоволие.
你以为这很高超，其实是不硬气。	Почему я так говорю?
	Потому что ты не хочешь ничего решать, а по ночам философствуешь о поэзии.
怎说不硬气呢？	На что это похоже?
有问题不想解决，半夜三更闹诗意玩，什么话！	Возьми себя в руки, реши вопрос, и все станет на свои места.
壮起气来，解决问题，事实顺了心，管保不再闹玄虚，而是追求——用您个新字眼——涮羊肉了，哈哈哈！”	Ручаюсь: тогда ты не будешь гоняться за мечтой, она превратится в реальность, как вкусно приготовленная баранина! - Чжан Дагэ расхохотался.
“你不是劝我离婚？” “当然不是！”	Уже не советуешь ли ты мне разойтись?
	Конечно, нет! - Чжан Дагэ сделал круглые глаза. - Лучше разрушить семь храмов, чем один брак.
张大哥的左眼也瞪圆了！	И потом ты давно женат.
“楞拆七座庙，不破一门婚，况且你已娶了好几年，一夜夫妻百日恩！	А те, кто провел ночь вместе, должны быть счастливы всю жизнь.
离婚，什么话！”	Развод?
	Об этом и речи не может быть.
“那么，怎办呢？”	Что же делать?
“怎办？	Что делать?
容易得很！	Все очень просто.
回家把弟妹接来。	Поезжай за женой.
	Может, она и не отвечает твоим идеалам, но она твоя жена и притом человек разумный, не то что ты со своими фантазиями в духе Ляо Чжая [[10]: #_ednref10 Ляо Чжай - псевдоним знаменитого китайского сатирика XVII в. Пу Сунлина.
她也许不是你理想中的人儿，可是她是你的夫人，一个真人，没有您那些《聊斋志异》！”	Во многих его новеллах лисы-оборотни превращаются в красавиц и соблазняют молодых ученых.].
“把她一接来便万事亨通？” 老李钉了一板。	Привезу ее, и сразу все изменится? - съязвил Лао Ли.
“不敢说万事亨通，反正比您这万事不通强得多！” 张大哥真想给自己喝一声彩！	Не могу сказать: все, но будет лучше, чем сейчас. - Чжан Дагэ готов был сам себе аплодировать. - Если она не во всем разбирается, помоги ей.
“她有不懂得的地方呀，教导她。	Забинтованные ножки?
小脚啊，放。	Ну и пусть!
剪发不剪发似乎还不成什么问题。	А стриженая она или длинноволосая, не все ли равно?
自己的夫人自己去教，比什么也有意味。”	Твоя жена, ты ее и учи, это даже интересно!
	Что же, по-твоему, брак - это школа на дому? - силясь улыбнуться, спросил Лао Ли.
“结婚还不就是开学校，张大哥？”	Но Чжан Дагэ было не так легко сбить с толку.
老李要笑，没笑出来。	Если хочешь, именно так!
“哼，还就是开学校！	Ты можешь начать не с нее.
张大哥也来得不弱。”	У тебя ведь еще двое детей, верно?
先把‘她’放在一边。	Детей тоже надо учить.
	Не хочешь заниматься ею, займись детьми, научи их писать - «человек», «гора», «вода», «земля», «поле», - это же очень увлекательно!
你不是还有两个小孩吗？	Ты любишь детей?
小孩也需要教育！	Лао Ли нечего было возразить.
不爱理她呀，跟孩子们玩会儿，教他们几个字，人，山水，土田，也怪有意思！ 你爱你的孩子？ “	При всем своем неуважении к собеседнику он не мог сказать, что не любит детей.
张大哥攻到大本营，老李没话可讲，无论怎样不佩服对方的意见，他不敢说他不爱自己的小孩们。	Чжан Дагэ понял, что нащупал слабое место Лао Ли, и пошел в наступление:
一见老李没言语，张大哥就热打铁，赶紧出了办法：“老李，你只须下乡走一遭，其余的全交给我啦！	Ты только съезди в деревню, все остальное я беру на себя.
租房子，预备家具，全有我呢。	Сниму дом, привезу мебель.
你要是说不便多花钱，咱们有简便的办法：我先借给你点木器；万一她真不能改造呢，再把她送回去，我再把东西拉回来。	Не хочешь тратиться, одолжу тебе мебель на время: вдруг жена не исправится и придется отправлять ее обратно!
决不会瞎花许多钱。	Зачем зря расходовать деньги?
我看，她决不能那么不堪造就，没有年青青的妇女不愿和丈夫在一块的；她既来了，你说东她就不能说西。	Впрочем, не думаю, чтобы она была такой несговорчивой.
不过，为事情活便起见，先和她说好了，这是到北平来玩几天，几时有必要，就把她送回去。	Каждой молодой женщине хочется быть рядом с мужем.
事要往长里看，话可得活说着。 听你张大哥的，老李！	И она не станет говорить белое, если ты скажешь черное.
我办婚事办多了，我准知道天下没有不可造就的妇女。	Но на всякий случай предупреди, что берешь ее в Пекин на несколько дней.
况且，你有小孩，小孩就是活神仙，比你那点诗意还神妙的多。	Тогда легче будет отправить ее обратно, если понадобится.
小孩的哭声都能使你听着痛快；家里有个病孩子也比老光棍的心里欢喜。	Всегда надо оставлять лазейку для отступления.
	Слушайся Чжан Дагэ, не одну свадьбу устроил я на своем веку и наверняка знаю, что любую женщину можно перевоспитать.
你打算都买什么？	И потом, у тебя дети.
	Эти живые ангелы куда поэтичнее твоей поэзии.
	Пусть они плачут, ты все равно будешь счастлив, пусть болеют, - но это лучше, чем всю жизнь быть одиноким.
	Сейчас составим список, что надо купить.
来，开个单子；钱，我先给垫上。	Деньги я дам для начала.
“ 老李知道张大哥的厉害：他自己要说应买什么，自然便是完全投降；设若不说话，张大哥明天就能硬给买一车东西来；他要是不收这一车东西，张大哥能亲自下乡把李太太接来。	Лао Ли знал напористость Чжан Дагэ: сказать, что именно нужно купить, значит капитулировать, не сказать - завтра утром он сам накупит целую машину всякой всячины.
张大哥的热心是无限的，能力是无限的；只要吃了他的涮羊肉，他叫你娶个黄牛，也得算着！	Откажешься, так он, чего доброго, сам поедет в деревню и привезет жену.
老李急得直出汗，只能说：“我再想想！”	Энтузиазм его безграничен, энергия бьет ключом.
	Угостит бараниной, а потом женит на ком угодно, даже на корове!
“干吗‘再’想想啊？	И ничего ты не сделаешь!
早晚还不是这么回事！” 老李从月亮上落在黑土道上！	Лао Ли так разволновался, что с трудом выдавил из себя:
从诗意一降而为接家眷！	Я подумаю.
自己打自己的嘴巴！	Чего же тут думать?
就以接家眷说吧，还有许多实际上的问题；可是把这些提出讨论分明是连“再想想”也取销了！	Ведь рано или поздно ты сам к этому придешь.
可是从另一方面想，老李急得不能不从另一方面想了：生命也许就是这样，多一分经验便少一分幻想，以实际的愉快平衡实际的痛苦……	Пришлось Лао Ли спуститься с неба на землю: поэзия уступила место необходимости ехать за семьей. Сам себе дал пощечину.
小孩，是的，张大哥晓得痒痒肉在哪儿。	А сколько всяких проблем впереди!
老李确是有时候想摸一摸自己儿女的小手，亲一亲那滚热的脸蛋。	Но обсуждать их сейчас с Чжан Дагэ - значит потерпеть полное поражение.
小孩，小孩把女性的尊严给提高了。	Такова, видимо, жизнь.
老李不言语，张大哥认为这是无条件的投降。	Чем больше опыта, тем меньше иллюзий.
	Горести уравновешиваются радостями… Дети… Да, Чжан Дагэ нащупал слабое место Лао Ли: ему и в самом деле хотелось потрогать ручонки детей, поцеловать их в теплые щечки.
三 设若老李在厨房里，他要命也不会投降。	Дети… Они поднимают престиж женщин!
这并不是说厨房里不热闹。	Лао Ли молчал.
张大嫂和二妹妹把家常事说得异常复杂而有趣。	И его молчание Чжан Дагэ воспринял как безоговорочную капитуляцию.
	3 Если бы в этот миг Лао Ли оказался на кухне и послушал бабьи разговоры, он жизни не пощадил бы, но не сдался.
丁二爷也在那里陪着二妹妹打扫残余的，不大精致的羊肉片。	Госпожа Чжан и ее гостья, захлебываясь, рассказывали о домашних новостях.
他是一言不发，可是吃得很英勇。	Тут же вертелся Дин Второй.
	Правда, в разговоре он не участвовал, но помогал гостье уплетать остатки баранины и мужественно справлялся с этим делом.
丁二爷的地位很难规定。	Положение Дина Второго в доме трудно было определить.
	Он не был слугой, жил почти на правах родственника, но когда супруги уходили из дому, оставался и за сторожа и за истопника.
他不是仆人，可是当张家夫妇都出门的时候，他管看家与添火。	По мнению Чжан Дагэ, он был исключением, мужчиной без семьи и профессии.
	К чему держать прислугу, если есть человек, который за кормежку согласился присматривать за домом?
	Сам же Дин считал, что, если его выгонят, он, пожалуй, и так проживет, хотя полной уверенности у него не было.
	Но это мало его беспокоило.
在张大哥眼中，他是个“例外”——一个男人，没家没业，在亲戚家住着！	Итак, Дин Второй ел хлеб Чжанов, но нашлись существа, которые ели хлеб Дина.
可是从张家的利益上看，丁二爷还是个少不得的人；既不愿用仆人，而夫妇又有时候不能不一齐出门，找个白吃饭而肯负责看家的人有事实上的必要。	Это были иволги. Они не улетали со двора, как будто горстки пшена им вполне хватало.
从丁二爷看呢，张大哥若是不收留他，也许他还能活着，不过不十分有把握，可也不十分忧虑这一层。	Когда хозяева уходили, Дин Второй выносил птичек из дома и выпускал погулять.
丁二爷白吃张家，另有一些白吃他的——一些小黄鸟。	В своем птичьем мире эти пичуги тоже был исключением.
	Бесхвостые, с воспаленными глазами, с выщипанными перьями, со сломанными крыльями, - у каждой птички своя беда, которая и привела ее к Дину.
他的小鸟无须到街上去溜，好像有点小米吃便很知足。	Поев, Дин Второй возвращался к себе и вел беседу с птичками.
在张家夫妇都出了门的时候，他提着它们——都在一个大笼子里——在院中溜弯儿。	«Татуированный монах», «Крылатый тигр», «Барсоголовый» - у каждой птицы было свое прозвище.
	Себя Дин считал Сун Цзяном - «Благодатным дождем» [[11]: #_ednref11 «Татуированный монах», «Крылатый тигр», «Барсоголовый» - прозвища героев из народного китайского романа о повстанцах «Речные заводи» (XIV в.).
它们在鸟的世界中，大概也是些“例外”：秃尾巴的，烂眼边的，项上缺着一块毛的，破翅膀的，个个有点特色，而这些特色使它们只能在丁二爷手下得个地位。	Сун Цзян, «Благодатный дождь» - предводитель повстанцев.]и нередко устраивал в своей комнате «собрания героев».
	Вот и сейчас Дин Второй ушел к своим птичкам, а гостья помогала госпоже Чжан убирать посуду.
丁二爷吃完了饭，回到自己屋中和小鸟们闲谈。	Сючжэнь все еще живет при школе? - спросила гостья, вытирая палочки для еды.
花和尚，插翅虎，豹子头……	Речь шла о дочери Чжанов.
他就着每个小鸟的特色起了鲜明的名字，他自居及时雨宋江，小屋里时常开着英雄会。	Конечно! Не говори, сестра, в наш век вырастить дочь так сложно! - Госпожа Чжан плеснула кипяток в зеленое блюдце. - Счастливая вы!
他走了，二妹妹帮着张大嫂收拾家伙。	Дети есть, муж - мастер на все руки.
“秀真还在学校里住哪？”	Дом - полная чаша.
二妹妹一边擦筷子一边问。	Да это так кажется, сестра.
秀真是张大嫂的女儿。	В каждой семье свои трудности.
“可不是；别提啦，二妹妹，这年头养女儿才麻烦呢！”	Все думают, Дагэ умный; ничего подобного.
花——一壶开水倒在绿盆里。	Только это между нами.
	О дочери не заботится, да и о сыне тоже.
“您这还不是造化，有儿有女，大哥又这么能事；吃的喝的用的要什么有什么！”	С утра до вечера устраивает дела родственников и друзей, а я одна - и купить и приготовить.
“话虽是这么说呀，二妹妹，一家有一家的难处。	Сын домой не ездит, дочь живет при школе - в общем, все на мне.
看你大哥那么精明，其实全是——这就是咱们姐儿俩这么说——瞎掰！	Я, можно сказать, на побегушках; будто так и надо.
儿子，他管不了；女儿，他管不了；一天到晚老是应酬亲友，我一个人是苦核儿。	В доме, разумеется, есть все - и поесть, и попить, и одеться, но никто не знает, что я живу хуже прислуги.
买也是我，作也是我，儿子不回家，女儿住学校，事情全交给我一个人，我好像是大家的总打杂儿的，而且是应当应分！	Госпожа Чжан улыбалась, но лицо ее покрылось красными пятнами.
有吃有喝有穿有戴，不错；可是谁知道我还不如一个老妈子！”	Прислуга, та хоть может отдохнуть. А я - никогда!
张大嫂还是笑着，可是腮上露出些红斑。	С утра до ночи ни рукам, ни ногам нет покоя.
“当老妈子的有个辗转腾挪，得歇会儿就歇会儿；我，这一家子的事全是我的！	А у вашего любимого Дагэ характер собачий, не знаешь, чего от него ждать.
	С людьми он вон какой обходительный, а придет домой, всю злость на мне срывает. - Госпожа Чжан вздохнула. - Кого винить в том, что мы родились женщинами?
从早到晚手脚不识闲。	Так уж нам на роду написано.
提起您大哥来，那点狗脾气，说来就来！	Все удовольствия - мужчинам, а нам - одни мучения!
