这里免职，而去另起炉灶干点新的有意义的事，绝对想不到。 此处不留爷，自有留爷处；衙门不止一个。	Никому и в голову не приходило, что где-нибудь есть более интересная работа, что можно найти другое место.
吃衙门的虫儿不想，不会，也不肯，干别的。	Даже думать об этом не смели.
可恨的怪物！	Проклятое чудовище!
可是老李得天天往怪物肚中爬，现在又往里爬呢！	Изо дня в день Лао Ли должен вползать в брюхо этого чудовища.
每爬进一次，他觉得出他的头发是往白里变呢。	Вот и сейчас он туда ползет.
可是他必须往里爬；一种不是事业的事业。 不得不敷衍的敷衍。	И всякий раз ему кажется, что на голове прибавляется седых волос.
	Но он должен ползти туда: делать дело, которое трудно назвать делом, совершать обман.
现在已接来家眷，更必得往里爬了。	А теперь он еще привез семью.
	Здесь его подстерегает ненасытная пасть, а дома - она; здесь - чудовище, там - страшилище, а между ними Лао Ли - служащий финансового управления, глава семьи!
这个大嘴在这里等着他，‘她’在家里等着他；一个怪物与一个女魔，老李立在当中——科员，家长！	Силы, казалось, покинули его, он увидел себя дряхлым, страшным, увидел и ее такой же старой и безобразной.
他几乎不能再走了，他看见一个衰老丑恶的他，和一个衰老丑恶的她，一同在死亡的路上走，路旁的花草是些破烂的钱票与油腻的铜钱！	Они идут вместе по дороге смерти, а трава на обочине дороги - не трава, а замусоленные мелкие банкноты и стертые медяки!
然而他得走，不能立在那里不动；诗意？	Но он должен идти, он не может стоять на месте!
浪漫？	Поэзия?
自由？	Романтика?
只是一些好听的名词。	Свобода?
生活就是买炉子，租房……	Это лишь красивые слова.
	Жизнь - совсем иное: купить печку, снять квартиру… кстати, принесли ли уже почку?
炉子送去没有？ 她会告诉怎样安铁管子呀？	Сможет ли жена сказать, как поставить трубу?
到了衙门口。 他真要往后退了。	Он подошел к воротам.
	Хотелось повернуть обратно, но полицейский, будто издеваясь над ним, вытянулся в струнку и отдал честь.
可是门口的巡警似乎故意戏弄他，给他行了个立正礼。	Ему ничего не оставалось, как войти.
他只能进去。 他的手出了汗。	Ладони стали влажными.
那一群同事们一定都等着审问他呢：“老李，接家眷也不言语一声？	Свора сослуживцев ждет его, чтобы' все разузнать: «Лао Ли, что же ты не расскажешь нам о своей семье?
几时请吃饭？”	Когда пригласишь на обед?»
	Обед!… Эта свора назойлива, как мухи!
吃饭，那群东西和苍蝇同类，嘴不闲着便是生命的光荣！	Им бы брюхо набить - другой радости они не знают.
进了自己的办公室，心中安定了些。	В его комнате никого еще не было.
一个人还没来呢，他深深吸了口气。	Он успокоился немного, перевел дух.
	Вот его ободранный стол с жалким подобием скатерти, на которой следы от чашек, чернильные пятна, дырки от папирос; он не помнит эту скатерть без пятен и дыр.
破公事案，铺着块桌布的冤魂，茶碗印，墨汁点，烟卷烧的孔，永远在这里，永远。	Огромный, отвратительный календарь, с которого пять дней никто не отрывал листков.
大而丑的月份牌，五天没撕了，老李不来没人管撕。	Уехал Лао Ли - и до календаря никому не было дела.
玻璃上的土！	А какие грязные стекла!
怪物的肚子里没人管任何事情。	В чреве этого чудовища никому ни до чего нет дела.
	Лао Ли сорвал листки и бросил в корзинку для бумаги; не корзинка, одно название, - то и дело валится на пол.
他把月份牌扯下五页来，扔在纸篓里；也配叫作纸篓，靠着两面墙还随时的自己倒下来。	Он сел на свой стул, самый ветхий в комнате, и задумался.
他坐在自己的椅子上，屋中最破的那一把，发愣。	«Служебные дела - это не дела, одно безделье!
公事，公事就是没事；世界上没有公事，人类一点也不吃亏。	Не будь их, на свете никто бы не пострадал.
公文，公文，公文，没头没尾，没结没完的公文。	Бумаги, бумаги - бесконечные, безжалостные бумаги.
	Здесь есть только одно настоящее дело - к несчастью, настоящее! - требовать с народа деньги.
只有一样事是真的——可恨它是真的——和人民要钱。	Чудовище пожирает деньги и изрыгает бумаги.
这个怪物吃钱，吐公文！	На что идут деньги?
钱到哪儿去？ 没人知道。	Никто не знает, их не видно.
只见有人买洋楼，汽车，小老婆；公文是大家能见到的唯一的东西。	Известно лишь, что некоторые имеют дома, машины, любовниц.
	А вот бумаги - видят все. Какая досада, - думал Лао Ли, - что нельзя разломать на куски этот мерзкий стул, ненавистный стол, дрянную корзинку для бумаг, уничтожить само чудовище!
老李恨不能登时砸碎那把破椅子，破公事案，破纸篓，和这个怪物！	Он не смеет разорвать даже эту грязную скатерть.
可是，砸不碎这个怪物，连这张破桌布也弄不碎。	Если он это сделает, три человека в переулке Кирпичной пагоды умрут с голоду».
碎了这块布等于使砖塔胡同那三口儿饿死。	Лао Ли сидит в ожидании сослуживцев.
他又坐下了，等着他们。	Этот мир создан для них.
	Дома - вкусная еда и мацзян [[24]: #_ednref24 Мацзян - азартная игра в кости.], у ворот учреждения - полицейский, отдающий честь, в конторе - споры, пересуды, сплетни; тут известно все: как поссорились дети, как прошел день рождения у жены, какие хорошенькие официантки в «Весеннем Китае».
他们，这个世界是给他们预备的。	Каждый норовит хоть на минутку опоздать и пораньше уйти.
在家里，油盐酱醋与麻雀牌；来到衙门，一进门有巡警给行礼，进了公事房，嘻嘻嘻，讨论着，辩论着，彼此的私事，孩子闹耳朵，老太太办生日，春华楼一号女招待。	Старые столы, старый чайник, старые чашки и бесконечное чаепитие.
能晚到一分便晚到一分，能早走一分便早走一分。	Дыму от сигарет и трубок столько, что календаря не видно.
破桌子，破茶碗，无穷无尽的喝茶。	Лао Ли ждет своих коллег - ведь они его друзья и в какой-то мере его судьи.
烟卷烟斗一齐烧着，把月份牌都罩得看不清。	Это для них он рядится в костюм, смеется, когда они смеются.
老李等着他们，他们是他的朋友，在某种程度上，他的审判官。	Он перевез семью и должен пригласить их на обед.
他得为他们穿上洋服，他得随着他们嘻嘻嘻。	Он вечно чувствует себя виноватым перед ними.
他接家眷得请他们吃饭。	Пришел господин Цю.
他得向他们时常道歉。	О Лао Ли, вернулся?
邱先生来了。 “啊，老李，回来了？	Дома все в порядке? - Он пожал Лао Ли руку.
家中都好？” 和老李握了握手。	В уголках его глаз притаилась усмешка, и Лао Ли покраснел.
邱先生的眼中带着点不大正经的笑意。	Господин Цю ничего больше не сказал, но усмешку прогнать не смог.
老李的脸红了。	Лао Ли бросило в жар.
邱先生没往下说什么，可是那个笑在眼角上挂着，大有一时半会儿不能消灭的来派，于是老李的脸上继续着增加热力。	Господин Цю снял пальто, велел слуге заварить чай и, видимо, совсем забыл о Лао Ли.
邱先生脱大衣，喊听差沏茶，眼睛没看着老李，可是眼上那两个笑点会绕着圈向老李那边飞掷，像对流星。	Но искорки смеха, так, по крайней мере, казалось Лао Ли, все еще летели в его сторону.
吴先生也到了。	Пришел господин У.
“啊，老李，回来了？	О Лао Ли!
家中都好？”	Вернулся?
和老李握了握手。	Дома все в порядке? - Он тоже пожал руку Лао Ли.
	Рука у него мягкая, скользкая и горячая - на два размера больше, чем у Лао Ли, если иметь в виду перчатки.
他的手比老李的大着两号——按着手套的尺寸说——柔软，滑溜，带着科员的热力。	Вытащив из кармана несколько бумажек, господин У сказал слуге:
然后，掏出一毛钱的票子：“张顺，送车钱去！”	Чжаншунь, отнеси-ка эти деньги рикше.
吴先生非常正直，可是眼角上也有点笑意，和邱先生的那个相似，虽然程度上不那么深。	Господин У был необычайно честным человеком, но в его глазах Лао Ли заметил точно такую же усмешку, как у господина Цю, и еще больше покраснел.
老李的脸更热了。	С замиранием сердца Лао Ли ждал Сяо Чжао.
他闭着气专等小赵，小赵来到，他就知道是五年徒刑，还是取保释放了。	Что сулит его приход: новые терзания или полное избавление от мук?
小赵没来。 二	Но Сяо Чжао не пришел.
小赵为什么没来？ 老李不敢问。	2 Почему не пришел Сяо Чжао?
吴先生虽然是小赵的亲戚，可是最不关心小赵的事，除了托小赵给维持地位，他简直不大爱和小赵说话，吴先生是正直人。	
老李自然不敢向吴先生打听小赵。	Лао Ли не смел об этом спросить.
邱先生呢，年纪比小赵大，而人情没有小赵的硬，所以有小赵领首，他对于向同事们开玩笑的事无不参加；可是小赵不提倡，他不便自居祸首；甚至于小赵不在眼前，他连“小赵”二字提也不提。	Господин У, хоть и приходился Сяо Чжао родственником, совершенно не интересовался его делами и в разговор с ним вступал единственно для того, чтобы поддержать свое служебное положение.
邱先生在不和人开玩笑的时候很能咂着滋味苦闷。	Господин У слыл честным, и Лао Ли ни за что не решился бы обратиться к нему с расспросами.
可是吴邱二位都知道小赵干什么去了。 小赵是为所长太太到天津办事去了。	Господин Цю был старше, но не пользовался таким влиянием, как Сяо Чжао, и старался во всем ему подражать.
	Насмехается над кем-нибудь Сяо Чжао, Цю ему вторит, но первый никогда не начнет, чтобы не нарваться на неприятность.
	Когда же Сяо Чжао нет, господин Цю не вспоминает о нем, но на него нападает тоска - нельзя ни над кем поиздеваться.
二位对小赵都有点忌妒。 但是不便和老李说。	Сяо Чжао поехал в Тяньцзинь по делам жены начальника управления.
老李是以力气挣钱，不管旁人的事，二位自然不能以他为同调。	У и Цю знали об этом и завидовали Сяо Чжао, но не считали удобным говорить на эту тему с Лао Ли.
况且吴先生是正直人，在老李面前特别要显着正直。	Лао Ли собственным трудом зарабатывает копейку, никогда не вмешивается в чужие дела и, конечно, не посочувствует им.
老李开始办公，心里老有个小赵的影。 吴先生挺直腰板，写着酱肘子体的字。	К тому же господин У - человек честный, и ему хотелось продемонстрировать свою честность, особенно Лао Ли.
邱先生喝茶吸烟，咂着滋味苦闷，眼睛专看着手表。	Но Лао Ли ничего не заметил: он работал, а перед глазами все время стоял Сяо Чжао.
	Господин У сидел выпрямившись и выводил огромные неуклюжие иероглифы; господин Цю пил чай, курил и с тоской поглядывал на часы.
张大哥不和老李同科，可是特意过来招呼一声。 “啊，老李，回来了？	Чжан Дагэ служил в другом отделе, но счел своим долгом зайти к Лао Ли.
家中都好？”	О Лао Ли!
用手指诊了老李手心一下。	Вернулся?
老李十分感激张大哥：为人谋永远忠诚到底。 果然，邱吴二位的眼睛有点改变光度与神气。	Дома все в порядке? - и пожал Лао Ли руку так, будто хотел пощупать пульс.
设若老李接家眷，张大哥必知道一切；可是张大哥也问“家中都好？”	Лао Ли был очень благодарен Чжан Дагэ - он оказался преданным до конца.
小赵的话是造谣，一定。 自然，不一定，更好。	У Цю и У лица вытянулись от досады.
“今年乡下收成不坏吧？” 张大哥对乡下人自然要问乡下话，吴邱二位登时觉得还不够真正北平人的资格。	Чжан Дагэ должен был знать, привез Лао Ли жену или не привез, а задал тот же вопрос, что и они: «Дома все в порядке?»
“不坏，不过民间还是很苦！” 老李带着感情说。	Значит, Сяо Чжао все выдумал, наверняка выдумал.
“今年就盼着来场大雪，去去瘟毒；麦子也得意。”	Но лучше бы его выдумка на этот раз оказалась правдой.
	Как урожай? - Чжан Дагэ считал своим долгом у каждого, приехавшего из деревни, справляться об урожае, но господам Цю и У этот вопрос показался не достойным пекинца.
	Урожай ничего, только народ страдает, - вздохнул Лао Ли. - Все надеются, что нынешней зимой выпадет много снега, он смоет нечистоты с полей, и пшеница будет еще лучше.
	Из всего, что сказал Лао Ли, Чжан Дагэ уловил только «смоет нечистоты»: Хороша ли пшеница, страдает ли. народ - к Пекину это не имеет никакого отношения.
去去瘟毒，其实是张大哥的注意之点，麦子得意与否，民间苦不苦，都嫌离北平太远；世界上麦子都不得意，北平总有白面吃。	Если даже во всем мире не уродится хлеб, все равно в Пекине будет белая мука.
张大哥和老李又敷衍了几句，完全出于诚意，同时不失为敷衍，张大哥自己都佩服这一招儿。	Чжан Дагэ сказал Лао Ли еще несколько ничего не значащих, но вполне искренних фраз.
诚意的敷衍完老李，又过去和邱吴二位谈了一点来钟。	Чжан Дагэ нравилась такая манера разговора.
张大哥比他们二位更没事可作，他是庶务科上的，他的职务是调动工友，和买办东西。	Осчастливив своей беседой Лао Ли, Чжан Дагэ подошел к Цю и У и подарил им чуть ли не час.
	У Чжан Дагэ было еще меньше дел, чем у них, Он служил в канцелярии, распоряжался обслуживающим персоналом, закупал все необходимое для управления.
对调动工友这一项，他是完全无为而治，所以工友们为他的私事能非常的殷勤卖力气，因为在衙门里总是闲着。	Служителям, собственно, делать было нечего, и они охотно выполняли личные поручения Чжан Дагэ.
	Все, что нужно было управлению, присылали прямо из магазинов, а Чжан Дагэ должен был лишь звонить по телефону и улаживать дела с торговцами.
	Согласно заведенному обычаю, Чжан Дагэ не отказывался от комиссионных, но считал своим долгом поделиться со всеми, даже служителей не забывал.
对于买办一项，自有铺子送来，只要打打电话，过过数目，便完事大吉。	Словом, Чжан Дагэ был богом канцелярии.
至于照例的回扣呢，张大哥决不破例拒绝，也不独吞，该分给谁便分给谁，连工友都大家有份。	Итак, он не задыхался от работы и заботился лишь об одном - успеть обойти все отделы.
张大哥是庶务中的圣手。	И служащие считали счастьем его появление.
	Пригласить врача, нанять кормилицу, заказать ложу в театре, купить старый ковер, продать халат, подбитый шиншиллой, и купить взамен на лисьем меху, снять дом, раздобыть новую мебель, посоветовать лекарство… Во всех этих вопросах Чжан Дагэ великолепно разбирался, не говоря уже о брачных контрактах и свадебных церемониях - тут он играл первую скрипку.
	Приехавшие с юга сослуживцы только к нему обращались с просьбой научить их официальному языку [[25]: #_ednref25 Официальный язык - пекинский диалект, который называли «мандаринским», то есть чиновничьим.], и господин Сунь тоже обратился.
这样，他永远不忙，除了忙着串各科，而各科的职员一律欢迎他的降临。	Даже студенты, получившие образование в Америке, шли к Чжан Дагэ, чтобы познать науку любви.
	Он с чувством исполнял свои обязанности и тоже с чувством произносил: «Пекин - это рай земной», «Пекинцы умеют делать дела по-настоящему».
	Чжан Дагэ был уверен, что лишь благодаря заслугам в прежнем рождении [[26]: #_ednref25 Прежнее рождение. - Согласно буддизму, одной из религий Китая, человек проходит бесконечную цепь рождений.] он не только жил, но и родился в Пекине.
	«У меня талант министра, только судьба иная», - выпив рюмку-другую, похвалялся он, желая утешить себя.
请医生，雇奶妈，定包厢，买旧地毯，卖灰鼠皮袍再买狐腿的，租房，定打新式桌椅，配丸药……	Слова «министр» и «судьба» звучали в его устах весьма многозначительно.
凡是科员所需都要张大哥的指导与建议。	Чжан Дагэ и Цю были увлечены беседой.
批婚书，过嫁礼，更不用说，永远是他一手包办。	Хоть бы еще кто-нибудь зашел, думали они, а то как-то неловко перед Лао Ли.
新从南方来的同事，单找他来练习官话——孙先生便是一个。	Правда, все знали, что он без работы не может.
连美国留学回来的都和他研究相面与合婚。	Один такой чудак на все управление.
这些差事是纯粹义务，张大哥只落得两句赞美：“北平真是宝地，”和“北平人真会办事。”	Господин У всю жизнь прослужил в армии.
有这两句，张大哥觉得前生定是积下阴功，所以不但住在北平，而且生在北平！	Он был очень честным человеком, совсем недавно научился выводить большие неуклюжие иероглифы, а теперь, вот решил взять наложницу.
“有宰相之才，没有宰相之命。”	Об этом он и завел разговор с Чжан Дагэ.
当他喝下两盅酒才这样叹息，而并非全无自慰的意思；两个“之”字特别的意味深长。	Я - человек военный, господин, никаких других добродетелей за мной не водится, только честность и прямота - как у орудийного ствола.
	Мне уже перевалило за сорок, господин, сына нет, пора перестроиться, иначе говоря, изменить образ жизни! - У то и дело произносил «господин», желая, видно, доказать, что он уже не военный и приобщился к цивилизации.
张大哥和邱吴二位谈起来；二位就是盼望有人来闲谈，不然真不好意思把公事都交给老李办，虽然大家深知老李有办事的瘾——科员中的怪物！	Держался он прямо и голову поворачивал так, будто равнялся то налево, то направо.
吴先生，军队出身，非常正直，刚练好一笔酱肘子体的字，打算娶个妾。	Его просьба поставила Чжан Дагэ в затруднительное положение.
他又提起来了：“老吴是军人，先生，没别的好处，就是正直，过山炮一样的正直。	Вообще говоря, он не возражал против наложниц, но всегда старался отвертеться от подобных поручений.
	Соглашался он только при одном условии: чтобы желающий обзавестись наложницей был по меньшей мере начальником отдела, если он гражданский, а если военный - хотя бы подполковником.
四十多了，没个儿子，得改变战线，先生！”	Судьба женщины в данной ситуации Чжан Дагэ не интересовала.
吴先生的“先生”永远不离口，仿佛是拿这两个字证明自己已经弃武修文了似的。	Пусть этот вопрос дискутируют на страницах женского журнала.
	С точки зрения практической, мелкому служащему или преподавателю средней школы, какими бы вескими ни были его доводы, лучше всего обойтись без наложницы.
他的腰背永远笔直，脖子与头一齐扭转，不是向左便是向右“看齐”。	Сколько сил и денег на это потребуется, не говоря уже о всяких осложнениях в семье.
这给张大哥一个难题。	Стоит ли добровольно надевать кандалы!
他并不绝对不管给人买妾，不过假使能推得开，他便不管。	Да и купить наложницу не так-то просто.
假如非叫他管不可，那么，有个基本条件：买妾的人须文过司长，武官至小是团副。 妇女应否作妾？	Прежде всего следует посмотреть, какая голова у мужчины - золотая, серебряная, медная или железная.
那是妇女杂志上的问题，张大哥不便于过问。 他专从实际上看男人。	У честного господина У, например, голова железная, хоть и велика.
一个小科员，或是中学教师，不论持着怎样充足的理由，能不纳妾顶好就不纳。	Не важно, берут наложницу для развлечения или по необходимости.
精力，金钱，家庭间的困难，这些都在纳妾项下向科员与教师摇着头。 别自己找枷扛。	В любом случае гарантией успеха является золото, а не железо.
其实买个妾还不是件容易事，只看男人的脑袋是金银铜铁哪种金属作的。	Но как сказать господину У, что голова у него железная?
吴先生的脑袋，据张大哥的检定，是铁的；虽然面积不小，可是能值多少钱一斤？	С такими, как господин У, еще труднее иметь дело, чем со школьниками.
	Те хоть пошумят о любви - и все; они знают, что Чжан Дагэ им помогать не станет, а вот господин У прямо к нему обратился за помощью.
纳妾是一种娱乐，也许是一种必需，无论怎说，总得以金钱地位作保险费。	Отказаться, обмануть, помешать - значит обидеть человека.
可是张大哥不能直接告诉吴先生的头是铁的。	Все можно делать в этом мире, только обижать никого не надо.
他对吴先生和学校的青年都没有办法。	Может быть, поговорить с господином У?
这两种人中又以吴先生为更难办。	Но ведь он тотчас пригласит на обед.
青年们闹恋爱，只好听之而已，张大哥还能替谁去恋爱？	А что съел, то не выплюнешь, и считай, что попал в сети.
而吴先生偏偏要张大哥给帮忙。 拒绝，敷衍，打岔，都等于得罪吴先生。	Чжан Дагэ так прищурил левый глаз, словно решил никогда больше его не открывать.
世界上没有不可以作的事，除了得罪人。	Нашел! Знаю, что делать!
可是和吴先生讨论？	Нужно поговорить о кулачном бое.
吴先生能立刻请他吃饭；吃了人家的饭，再也吐不出，那便被人家一把抓定！	Как говорит господин У, кулаки у него стали такими большущими благодаря боксу.
张大哥的左眼闭得几乎有不再睁开的趋势。	Стоит только заговорить с ним о боксе, и он, хотя бы на время, забудет о наложнице.
有了，谈太极拳吧！	Бокс для него все!
吴先生的拳头那么大，据他自己说，完全是练太极拳练出来的，只有提太极拳，他可以把纳妾暂时忘下。	Даже когда он пишет, то прибегает к хукам и апперкотам, своим любимым приемам, именно поэтому и получаются у него такие огромные иероглифы.
	Чжан Дагэ с трудом выудил из кармана трубку, а господин У принял позу «летящего журавля» [[27]: #_ednref27 «Летящий журавль» - одна из позиций в традиционной китайской борьбе.].
太极拳是一切。 把云手和倒撵猴运在笔端，便能写出酱肘子体的字。	Проговорив о боксе больше часа, Чжан Дагэ, улучив момент, улизнул.
张大哥把烟斗用海底捞针势掏出来，吴先生立刻摆了个白鹤亮翅。	3 Ни господин У, ни господин Цю не приставали к Лао Ли с расспросами, и он повеселел.
谈了一点来钟，张大哥乘着如封似闭的机会溜了出去。 三	В обеденный перерыв он вышел на улицу и с облегчением вздохнул.
邱吴二先生都没审问老李，老李觉得稍微痛快一点。	Впервые за много лет он шел не в гостиницу, а домой.
午时散了衙门，走到大街上，呼吸似乎自由了些。	А дома его ждут три сердца, три рта повторяют его имя.
这是头一次由衙门出来不往公寓走，而是回家。 家中有三颗心在那儿盼念他，三张嘴在那儿念道他。	Он чувствовал, что приобрел некоторый вес, что жизнь не лишена смысла, и уже раскаивался в том, что утром был так мрачно настроен.
他觉得他有些重要，有些生趣。	Работа у него неинтересная, да и обстановка на службе не очень приятная.
他后悔了，早晨不应那样悲观。	Но у него - семья.
自己所处的环境，所有的工作，确是没有多少意义；可是自己担当着养活一家大小，和教育那两个孩子，这至少是一种重要的，假如不是十分伟大的，工作。	Он должен кормить и воспитывать двоих детей, а это важная, если не великая задача.
离开那个怪物衙门，回到可爱的家庭，到底是有点意思。 这点意思也许和抽鸦片烟一样——由一点享受把自己卖给魔鬼。	Вырваться из пасти чудовища и прийти к семье - пс так уж плохо, пожалуй, это как опиум, - ради минутного удовольствия продаешь душу дьяволу.
从此得因家庭而忍受着那个怪物的毒气，得因儿女而牺牲一切生命的高大理想与自由！	Значит, во имя семьи он должен отравлять себя дыханием этого ядовитого чудовища, жертвовать своими идеалами и свободой!
老李的心又跳起来。 没办法。	Сердце Лао Ли тревожно забилось.
还是忘了自己吧。	Выхода нет.
	Придется забыть о себе, забыть о том, что мог бы заняться другой, более интересной работой, похоронить свои мечты, посвятить себя жене и детям.
忘掉自己有担得起更大的工作的可能，而把自己交给妻，子，女；为他们活着，为他们工作，这样至少可以把自己的平衡暂时的苟且的保持住：多么难堪与不是味儿的两个形容字——暂时的，苟且的！	Жить ради них, ради них работать и таким образом, хотя бы временно, кое-как сохранять равновесие. Какие противные, скучные слова - временно, кое-как!
生命就这么没劲！	Такова жизнь!
可是……	Но…
他不想了。 捉住点事实把思想驱开吧。	Он прогнал прочь эти мысли и стал думать о нынешнем дне.
对，给孩子们买些玩艺。	Нужно купить игрушек.
马上去买了几个橡皮的马牛羊。	И он купил надувных коня, козла и корову.
这些没有生命的软皮，能增加孩子们多少多少乐趣？	Эти безжизненные мягкие существа принесут детям столько радости.
生命或者原来就是便宜东西。 他极快的走到家中。	Жизнь, в сущности, не так уж дорога.
李太太正在厨房预备饭。	Он заспешил домой.
炉子己安好，窗纸又破了一个窟窿。	Госпожа Ли стряпала на кухне.
	Печка уже стояла на месте, на оконной бумаге прибавилась еще одна дырка, детишки играли в прятки.
两个孩子正在捉迷藏，小肉葫芦蹲在桌子底下，黑小子在屋里嚷：“得了没有？”	Дочь сидела под столом на корточках, а сынишка кричал из комнаты:
“英，菱，来，看玩艺来！”	Готово, нет?
老李不晓得为什么必须这样痛快的喊，可是心中确是痛快。	Ин, Лин, идите сюда, посмотрите, что я вам купил! - Лао Ли сам не понимал, почему крикнул с такой радостью, но на душе у него и в самом деле было хорошо.
在乡间——不过偶尔回去一次——连自己的小孩都不敢畅意的在一块玩耍：现在他可以自由的，尽兴的，和他们玩；一切是他的。	В деревне - Лао Ли изредка бывал там - он просто не решался повозиться с детьми, а теперь мог играть с ними сколько угодно.
英和菱的眼睛睁圆了，看着那些花红柳绿的橡皮，不敢伸手去摸。	Дети смотрели во все глаза на яркие резиновые игрушки, но не смели к ним прикоснуться.
菱把大拇指插在口中；英用手背抹了鼻子两下，并没有任何作用。	Лин сосала большой палец, Ин тер нос.
“要牛要马？”	Ну, что вам дать?
	Корову или лошадь? - спросил Лао Ли.
	Дети никогда не видели надувных игрушек, но в один голос закричали:
老李问。	Корову!
英们还没看出那些软皮是什么，可是一致的说，“牛！”	Словно волшебник из сказки, Лао Ли надул корову.
老李，好像神话中的巨人，提起牛来，嘴衔着汽管，用力的吹。	Ин сразу смекнул, в чем дело, и закричал:
英先看明白了：“真是牛，给我，爸！”	Правда, корова!
“给菱，爸！”	Дай мне, папа.
老李知道给谁也不行，可是一嘴又吹不起两个来。	Нет, мне! - крикнула девочка.
“英，你自己吹，吹那只老山羊。”	Нельзя было обижать ни того ни другого.
他不知怎么会想起这个好办法，只觉得自己确是有智慧。	Но Лао Ли не мог надуть сразу две игрушки.
英蹲下，拿起一个来，不知是马还是羊；十分兴奋，头一气便把自己的鼻子吹出了汗。	Ин, а ты сам надуй козла, - сказал Лао Ли и удивился - как пришла ему в голову такая хорошая мысль!
再给他牛，他也不要了，自己吹是何等的美事。 “菱也吹！”	Ин опустился на корточки и стал надувать игрушку.
	Он не знал, лошадь это или козел, но так радовался и старался, что на носу выступили капельки пота, и если бы ему сейчас предложили корову, он наверняка отказался бы.
她把马抓起来：似乎那头牛已没有分毫价值。	Так интересно самому надувать.
老李帮着把牲口们全吹起来，堵好气管。 英手擦着裤腿，无话可讲，一劲的吸气。	Я тоже хочу! - Девочка схватила лошадь, корова ее больше не интересовала.
菱抱着山羊，小肉葫芦上全是笑意，英忽然撒腿跑了，去把妈妈拉来。	Лао Ли помогал надувать игрушки, затыкал отверстия.
妈妈手上挂着好些白面。 “妈，妈，”英叫一声，扯妈妈的大襟一下，“看爸给拿来的牛，马，羊！	Тяжело дыша, мальчик вытирал потные ручонки о штаны, а девочка обнимала козла и так и сияла от радости.
妈，你看哪！”	Вдруг Ин побежал за матерью.
又吸了一回气。 妈笑了。	Руки у нее были в муке.
要和丈夫说话，又似乎没什么可说的；不说，又显着有点发秃。	Мама, мама! - захлебываясь, звал мальчик и тянул ее за полу халата. - Ты посмотри, что нам папа принес: корову, лошадь, козла. Ты только посмотри!
她的眼神显出来，她是以老李为家长——甚至于是上帝。	Мать засмеялась; надо бы что-то сказать Мужу, но она не нашлась.
在乡下的时候，当着众人她自然不便和丈夫说话，况且凡事有公婆在前，也无须向丈夫要主意；现在，只有他是一切；没有他，北平能把她和儿女全嚼嚼吃了。	Зато взгляд ее говорил о том, что она считает Лао Ли не только главой семьи, но самим господом богом.
她应当说点什么，他是为她和儿女们去受苦，去挣钱；可是想不起从哪里说起。	В деревне она ни за что не посмела бы заговорить с мужем на людях.
“妈，我拿牛叫西屋老奶奶看看吧？”	Да и не было в том нужды.
英问，急于展览他的新宝贝。	Там верховодила свекровь.
妈得着个机会：“问爸。”	А здесь он - все.
