# exported_by=ParallelTexts
# source_title=06
# target_title=06-ru
# src_lang=zh
# tgt_lang=ru
# total_pairs=374
source_text	target_text	confidence
大嫂并没立起来：“干女儿，明儿看干妈去。	Дома куча дел,– говорила госпожа Чжан, продолжая сидеть.– Доченька, приходи завтра проведать свою мамочку.	0.7213
记着，堂子胡同九号，堂子胡同——九——号！	Запомни: Коридорный переулок, девять.– И она рассмеялась.	0.5761
嘻嘻嘻。”		
“堂胡同走奥，”菱一点也不晓得这是什么怪物。	–Лидолный пелеулок… – залепетала девочка, ни слова не поняв из того, что сказала приемная мама.	0.4794
“吃了晚饭再走吧，大嫂，”李太太早就预备好这句，从头一天搬来就预备好了。	–Поужинаем вместе, потом пойдете,– произнесла госпожа Ли фразу, которую приготовила давно, с самого первого дня, как приехала в Пекин.	0.7963
可是忘对张大哥与丁二爷说，招得丈夫直皱眉；这可得到机会找补上了。	При Чжан Дагэ и Дине Втором она забыла о ней, что вызвало недовольство мужа.	0.6265
“改日，改日，家里事多着呢。		
我可该走了！”	И вот представился благоприятный случай исправить оплошность.	0.3020
大嫂又喝了碗茶。	–На днях зайду, дома куча дел,– повторила госпожа Чжан, выпив еще чашку чаю.	0.7700
最后，大嫂立起来，“干姑娘，过两天干娘给送木碗和锁来。”	Наконец она поднялась.	0.5482
又坐下了，因为，“啊，也得给英拿点玩艺来呀！	–Доченька, я пришлю тебе красную деревянную чашечку и серебряный замочек.– Она снова села.– Ину тоже нужно что-нибудь принести.	0.4942
是不是，英？”	Верно, Ин?	0.8393
“我要个——”英想了会儿，“木碗，干妈！”	–Я хочу… – мальчик подумал,– тоже чашечку, мама.	0.7054
“干妈是菱的！”	–Она моя мама,– сказала девочка.	0.4719
“看，小干女儿多么厉害！	–Видишь, какая она у меня смелая.	0.6463
唉，我真该走了！”	Мне и в самом деле пора.	0.8437
	Госпожа Чжан вышла во двор.	
大嫂走到院中，西屋老太太正在院中添炉子。	Там возле печки возилась старуха.	0.7730
大嫂觉得应当替李太太托咐托咐，虽然自己也不认识老太太。	Разве можно обойти вниманием хозяйку госпожи Ли?	0.7490
	И госпожа Чжан обратилась к ней с вопросом:	
“老太太，您添火哪？”	–Уголь подкладываете, госпожа?	0.6889
“您可别那么称呼我，还小呢，才六十五！	–Не называйте меня так!	0.7425
屋里坐着。”		
老太太添火一半是为在院中旁听，巴不得借个机会加入谈话会。“	Я еще не старая, мне всего шестьдесят пять, хотя из дому почти не выхожу.– Старуха нарочно вышла во двор разузнать, что происходит у соседей, и, конечно, не упустила случая поговорить.	0.6170
贵姓呀？”	–Как ваша фамилия?	0.8748
“张。”	–Чжан.	0.7765
“呕，那天租房的那位——”	–О!	0.5301
	Так это ваш муж снимал дом?	
	–Конечно.	
“可不是吗，他和这儿李先生同事，好朋友，您多照应着点！”	Он работает вместе с Лао Ли.	0.4772
	Они друзья.	
大嫂拉着菱，看着李太太。	Вы уж будьте к ним повнимательнее.– Госпожа Чжан потянула за руку девочку и бросила взгляд на госпожу Ли.	0.7030
“还用嘱咐，近邻比亲！	–Знаете, соседи бывают лучше родственников.	0.5074
大奶奶可真好，一天连个大声也不出，”老太太也看着李太太。“	Взять хотя бы госпожу, какая хорошая: за весь день от нее слова не услышишь.	0.5560
两个孩儿们多么乖呀！	А детишки – что за прелесть!	0.7711
我说，英，你的牛呢？”	Где твоя корова, Ин?	0.8117
没等英回答，“我就是爱个结结实实有人缘的小孩。	Мне так нравится этот веселый крепыш.	0.3633
看菱的小肉脸，多有个趣！”	Ребятишки такие приветливые!	0.5115
“您跟前有——”	А у Лин какая славная мордашка!	0.4410
“别提了，一儿一女，女儿出了阁，跟着女婿上南京了，一晃儿十年了，始终也没回来一次。	–У вас, кажется, тоже есть дети?	0.3541
小子呀，唉！”	–И не говорите!	0.6111
	Сын у меня и дочка.	
	Дочь уехала с мужем в Нанкин и за десять лет ни разу меня не проведала.	
老太太把声音放低了些，“唉，别提了，已经娶——”她向东屋一指。“	А сын?– горе мое.– Старуха понизила голос – Женился… – Она кивнула в сторону комнаты, выходящей на восток.– А потом такое выкинул, что сказать совестно.	0.8650
唉，简直说着羞得慌，对外人我也不说，说了被人耻笑。”	Чужим ни за что не сказала бы, засмеют.	0.7103
“咱们还是外人吗？”		
张大嫂急于听个下回分解。	–Да разве мы чужие?– воскликнула госпожа Чжан, которой, конечно, не терпелось «узнать, что произойдет в следующей главе» [30].	0.5457
“唉，已经娶了，这么个又体面又明白的小媳妇！	–Женился на такой приличной, такой умной девушке… и укатил куда-то!	0.7536
会，会，会又在外边！——不用提了！		
三四个月没回来了！	Уж месяца четыре не показывается дома.	0.7727
老了老了的给我这么个报应，不知哪辈子造下的孽！	Ой, старая я, старая, за что мне такие мученья?	0.7320
	За какие грехи?	
这么好个小媳妇，年青青的，叫我看着心焦不心焦？	И жена его, такая хорошая, такая молоденькая, страдает.	0.5491
	Как посмотрю на нее – сердце разрывается.	
又没有个小孩！	И детей у них нет.	0.6686
菱，你可美呀，认了干娘？”	Какая ты миленькая, Лин!	0.6738
老太太大概把张李二太太的谈话至少听了一半去。	У тебя уже приемная мама есть.– Старуха подслушала, по крайней мере, половину разговора.	0.7460
菱笑了，爽性把食指也放在口里。	Девочка рассмеялась и засунула пальчик в рот.	0.8022
“改天再说话，老太太，咱们这作妈妈的，一人有一肚子委屈呀！”	–Мы еще как-нибудь поговорим об этом, госпожа.	0.6011
	У каждой матери целый короб обид на детей.	
“您别那么称呼我，您大！”	–Не называйте меня так, вы старше [31].	0.6618
“我小呢，才四十九。	–Да нет же, моложе, мне всего сорок девять.	0.8954
也忘了，您贵姓呀？”	Совсем забыла спросить, как ваша драгоценная фамилия?	0.9055
	–Ма.	
“马；也没到屋里喝碗茶！”	Вы даже не зашли ко мне выпить чаю!	0.6819
“改天，改天特意来看您。”	–На днях зайду, непременно, прямо к вам.	0.6184
马老太太也随英们把张大嫂送出去，好象张大嫂和李太太都是她的娘家妹妹似的。	Госпожа Ма вместе с госпожой Ли пошла проводить госпожу Чжан, можно было подумать, что обе они – ее сестры.	0.7382
二	2	0.8749
老李下了衙门，到张大哥家去取对联；一点也不愿意去取，不过张大哥既然说了，不去显着不好意思。	После работы Лао Ли отправился к Чжанам за свитками с изречениями: идти ему совсем не хотелось, но раз Чжан Дагэ позвал, отказываться было неловко.	0.4173
老李顶不喜欢随俗，而又最怕驳朋友的面子，还是敷衍一下好吧。	Лао Ли не любил все эти украшения, но в то же время боялся обидеть Чжан Дагэ.	0.4016
	Уж лучше пойти на уступки.	
他到了张家，大嫂刚从李家回来。	Госпожа Чжан как раз только что вернулась домой и, увидев Лао Ли, воскликнула:	0.5621
“啊，亲家来了！”	–О!	0.7417
	Родственник пришел.	
老李一楞，不知怎么会又升了亲家。	Лао Ли оторопел: как это он вдруг попал в родственники?	0.7135
大嫂把认干女儿的经过，从头至尾，有枝添叶的讲演了一番。	Госпожа Чжан поспешила рассказать ему, как стала приемной матерью Лин, и, разумеется, не поскупилась на подробности.	0.4891
老李有点高兴；大嫂既肯认菱作干女儿，菱必是非常的可爱，有许多可爱的地方他自己大概还没看到。	Лао Ли обрадовался: если сама госпожа Чжан сочла возможным стать приемной матерью его дочурки, значит, девочка и в самом деле мила.	0.6801
	А он, отец, не заметил этого.	
“大妹妹可真是个俏式小媳妇，头是头，脚是脚，又安稳，又老实！”	–Моя младшая сестра,– она имела в виду жену Лао Ли,– совсем не дурна собой: лицо как лицо, ноги как ноги; не суетливая, скромная.	0.5873
大嫂讲演完了干姑娘，开始褒奖干姑娘的母亲。	Вы должны быть счастливы, дорогой Лао Ли.	0.2001
从干姑娘的母亲又想到干姑娘的父亲：“老李——亲家，你就别不满意啦；还要什么样的媳妇呀？	О лучшей жене и мечтать нечего.	0.4982
干干净净，老老实实，得了！	Порядочная, честная.	0.8608
	А детишки просто золотые.	
况且，有这么一对虎头虎脑的小宝贝；放下你们年青小伙子的贪心吧！	Выбросьте из головы всякие глупости.	0.6424
	Вы не мальчик.	
该得就得，快快乐乐的过日子，比什么也强。	Довольствуйтесь тем, что имеете,– это главное в жизни.	0.7869
看那个马老太太——”	Посмотрите на госпожу Ма.	0.7489
“哪个马老太太？”	–Это какую госпожу Ма?	0.6522
“你们西屋的街坊：老太太命才苦呢！	–Ну, пашу хозяйку.	0.6016
	Вот уж у кого судьба незавидная.	
娶来个一朵鲜花似的小媳妇，儿子会三四个月，三——四——个——月，没家来！	Сын ее привел в дом хорошую жену, а сам укатил и четыре месяца глаз не кажет.	0.6875
我要是马老太太呀，不咬那个儿子几口才怪！”	Да я на месте госпожи Ма искусала бы его.	0.6403
正说到这里，张大哥进来了。“	В этот момент вошел Чжан Дагэ.	0.3412
你咬谁几口呀？”	–Кого это ты собираешься кусать?– Ему показалось, что разговор идет о нем.	0.6792
他似乎以为是背地讲论他。		
她笑了：“放心，没人咬你的肉，臭！	–Успокойся, никто на тебя не покушается!	0.6023
我们这儿说马家那当子事呢。”	Мы говорим о сыне госпожи Ма.	0.2750
	Чжан Дагэ был осведомлен о делах семьи Ма.	
	Он быстро зажег трубку, прищурил левый глаз и, приняв эстафету от жены, продолжал.	
	Дом, который он снял для Лао Ли, принадлежит госпоже Ма.	
张大哥自然知道马家的事，急忙点上烟斗，左眼闭上，把大嫂的讲演接过来：老李租的房是马老太太的，买过来不久——买上了当，木架不好，工也稀松。	Она купила его недавно, ее обманули – дом сделан не на совесть.	0.5649
老太太还能买得出什么漂亮东西！	Разве может старуха купить что-нибудь приличное?	0.8755
张大哥顺手把妇人——连张大嫂也在其内——不会办事给证实。	Чжан Дагэ разумел иод «старухами» всех женщин, в том числе и свою жену.	0.2638
买过来之后，马家本是自己住自己的房。	Сначала Ма жили в этом доме одни.	0.6214
搬来不久就办婚事，大概因为有喜事才急于买房，因为急买所以就买贵了——一点也不应当算个上当的原谅，又看了大嫂一眼。	Вскоре после переезда сыграли свадьбу – из-за свадьбы, видимо, и поторопились с покупкой дома; ну, а раз поторопились, пришлось переплатить, впрочем, это их ни в коей мере не оправдывает.	0.8169
	Чжан Дагэ бросил взгляд на жену.	
马老太太的儿子，那时节，是在中学里教书，娶的是个高小毕业的女学生，娘家姓黄，很美。	Сын госпожи Ма преподавал в средней школе и взял в жены совсем молоденькую девушку, выпускницу, по фамилии Хуан, очень хорошенькую.	0.8217
	Не прошло и полгода после свадьбы, Чжан Дагэ прищурил левый глаз, как сын госпожи Ма сошелся с преподавательницей музыки.	
	Сначала они поселились где-то рядом, а потом укатили на юг.	
	Уже прошло четыре месяца, говоришь?	
结婚不到半年——张大哥的眼闭死了——马先生和同事的一位音乐教员有了事，先是在外同居，后来一齐跑到南边去：“三四个月没回来，他，三年也未必回来！”	Да он, может, и через четыре года не приедет!	0.5616
张大哥结束了这段叙述：“天平不准！”	И все потому, что весы оказались неточными!	0.3390
因为儿子跑了，所以老太太把上屋让出来，租几个钱，加上手里有点积蓄，婆媳可以对付着过日子。	Сын сбежал, старушке пришлось сдать дом.	0.7982
	На эти деньги и скудные сбережения свекровь со снохой и существуют.	
老李知道大嫂已把对联送去，大哥的讲演又告一段落，于是告辞回家。	Лао Ли уже знал, что госпожа Чжан отнесла свитки с изречениями, Чжан Дагэ как будто сказал все, что хотел.	0.5233
	Самое время распрощаться.	
	Да и госпожа Чжан, вопреки обыкновению, не оставляла его ужинать, а, наоборот, торопила:	
大嫂没留他吃晚饭：“唉，快家去吧；等和李太太一块来的时候，我再给你们弄点什么吃。	–Идите скорее домой, как-нибудь придете вместе с госпожой Ли, я приготовлю что-нибудь вкусное.	0.7579
告诉菱，过两天干妈给送木碗去，别忘了！”	А дочурке передайте, что дня через два приемная мама принесет ей чашечку.	0.6415
	Не забудьте же!	
老李心中的红衣人影已有了固定的轮廓，姓黄，很美，弃妇，可怜虫！	Женщина в красном наконец обрела в сознании Лао Ли реальные черты.	0.5706
	Фамилия ее Хуан, она хороша собой, покинута, несчастна!	
爱是个最热，同时又最冷的东西！	Любовь – горячее чувство и в то же время самое холодное!	0.9376
设若老李跟——谁？	А что, если бы ему, Лао Ли, с кем-нибудь… С кем?	0.6943
	Впрочем, это все равно, взять да сбежать.	
不管谁吧，一同逃走，妻、子、女，将要陷入什么样的苦境？	А жена, сын, дочь?	0.5915
	Как бы они страдали!	
	Чжан Дагэ прав.	
不敢想！	Об этом и думать нельзя.	0.7252
张大哥对了，俗气凡庸，可是能用常识杀死浪漫，和把几条被浪漫毒火烧着的生命救回。	Пошлость, конечно, противна, но она убивает пустые иллюзии и спасает людей, отравленных ими.	0.6046
从另一方面说，常识杀死了浪漫，也杀死了理想与革命！	Однако прописные истины способны убить романтику, а значит, идеалы и революцию!	0.8373
老李又来到死胡同里，进是无路，退又不得劲。	Лао Ли подошел к своему переулку.	0.4869
	Так не хочется домой, но надо идти.	
菱，小丫头片子，可爱，张大嫂的干女儿，俗气！	Лин – это крохотное милое создание – приемная дочь госпожи Чжан.	0.5856
	Какая мерзость!	
到了家。	Он пришел домой.	0.7686
“爸，”黑小子在门口等着他呢，“爸，菱有了干妈，张大嫂子，过两天给送木碗和银锁来。	–Па!– мальчик ждал его у двери.– Ты знаешь, пап, у Лин теперь есть приемная мама – госпожа Чжан, она принесет ей чашечку и серебряный замочек.	0.7586
我呢？	А как же я?	0.9321
	Пусть у меня мама будет приемной мамой.	
	Ты дай ей денег, она мне тоже купит чашечку, а замочка нс надо, и еще двух лошадок резиновых.	
我认妈妈作干妈得了；你给妈点钱，叫妈给我买木碗，不要银锁，要两只皮马，你给我的那只，我并没使劲，也不知怎么破了个窟窿，怎吹也吹不起来了！”	Ту, что ты принес, я, наверно, порвал: дул-дул, так и не надул.	0.7120
老李一生似乎没这么笑过。	Никогда еще Лао Ли так не смеялся.	0.7005
“爸，东屋的大婶，还替我吹了半天，也没吹起来。	–А знаешь, па, соседская тетя тоже пробовала надуть и тоже не смогла.	0.5836
大婶顶好顶好看啦。		
大眼睛，象俩，俩，俩——”英直翻白眼，“俩小月亮！	Она красивая, у нее большие глаза, совсем как… – мальчик захлопал глазами,– как две маленькие луны!	0.6455
那手呀，又软又细，比妈的手细的多。	А руки – мягкие, тонкие, не такие, как у мамы.	0.8494
妈的手就是给我抓痒痒好，净是刺儿。”	Зато мамиными руками хорошо почесать спину, они колючие.	0.6128
“妈听见，不揍你！”	–Вот мама услышит, она тебе задаст!– сказал Лао Ли, перестав смеяться.	0.5779
老李不笑了。		
三	3	0.9022
星期日。	Наступило воскресенье.	0.9248
老李带领全家上东安市场，决定痛快的玩一天，早晚饭全在外边吃。	Лао Ли с семьей отправился в «Восточное спокойствие», чтобы отдохнуть и погулять.	0.5063
	Обедать решили не дома.	
英说对了，妈的手上有刺儿；整天添火作饭洗衣裳，怎能不长刺？	Ин прав.	0.3941
应当雇个仆人。	Руки у мамы и в самом деле колючие, весь день она топит, готовит, стирает.	0.3272
一点也不是要摆排场；太太不应当这样受累。	Надо бы нанять прислугу, не для шику, а чтобы жена не надрывалась.	0.6997
可是，有仆人她会调动不会？	Но сможет ли она ладить с прислугой?	0.8624
好吧，不用挑吃挑喝，大家对敷吧。	Во всяком случае, ей не придется самой ходить за продуктами.	0.3930
把雇人的钱，每月请她玩两天，也许不错。	А может быть, отдавать ей деньги, которые стоила бы прислуга, а пока пусть отдохнет денек-другой.	0.6651
决定上市场。	Итак, решено, они пойдут в «Восточное спокойствие».	0.1960
李太太不晓得穿什么好，由家中带来的还是出嫁时候的短棉袍与夹裙子。	Госпожа Ли не знала, что надеть.	0.7796
	Из деревни она привезла с собой только короткий халат и юбку на подкладке, сшитые к свадьбе.	
长棉袍只有一件，是由家起身前临时昼夜赶作的，蓝色，没沿边，而且太肥。	Был у нее, правда, еще длинный теплый халат голубого цвета, только без каймы и очень широкий: она сшила его второпях, перед самым отъездом.	0.5343
“还把裙子带来？	–Ты хочешь надеть юбку?	0.6934
天桥一块钱两条，没人要！”	На Небесном мосту [32] их продают две на юань, и то не берут!	0.6506
她不知道天桥在哪里，可是听得出，裙子在北平已经一块钱两条，自然是没什么价值。	Она не знала, где находится Небесный мост, но пеняла, что ее юбка никуда не годится, раз продают их так дешево.	0.8514
她决定穿那件唯一的长蓝棉袍，没沿边，而且太肥。	Уж лучше она наденет свой голубой халат, без каймы и очень широкий.	0.7367
老李把孩子们的衣裳全翻出来，怎么打扮，怎么不顺眼。	Лао Ли переворошил всю одежду детей: ничего подходящего!	0.7509
他手心上又出了汗。		
拿服装修饰作美满家庭的广告，布尔乔亚！	Только для богачей украшения и наряды – это признак семейного благополучия.	0.5421
	Лао Ли терпеть не мог матерей, у которых вся любовь к детям выражалась в желании наряжать, как будто им было неловко за собственное европейское платье.	
可是孩子到底是孩子，孩子必须干净美好，正象花草必须鲜明水灵。	И все же дети есть дети.	0.6497
老李最不喜欢布尔乔亚的妈妈大全，同时要在儿女身上显出爱美——遮一遮自己的洋服在身上打滚的羞。	Они должны быть чистенькими, красивыми, как цветы, прелестными и свежими.	0.2203
不去！	Может быть, не идти?	0.7033
那未免太胆小了。	Но это трусость!	0.6953
一定走，什么样也得走。	Непременно надо идти, невзирая ни на что!	0.8186
可是，招些无聊的笑话即使是小事，怎能叫自己心里稍微舒服点呢？	Насмешки?	0.5163
	Чепуха!	
	Главное, справиться с самим собой.	
他依着生平美的理想，就着现成的材料，把两个孩子几乎摆弄熟了，还是不象样！	Он совсем замучил детей, желая во что бы то ни стало примирить чувство прекрасного с неприглядной реальностью.	0.7111
走，老李把牛劲从心灵搬运出来，走！	«Все равно некрасиво»,– подумал Лао Ли, когда дети были одеты, но, пересилив себя, решил идти.	0.3503
和马老太太招呼了一声，托咐照应着点。	Проходя по двору, он поздоровался с госпожой Ма-старшей.	0.7447
“呕，我说，菱，”老太太揉了眼睛一把，“打扮起来更俊了？	–Знаешь, Лин,– старушка ласково взглянула на девочку,– ты сегодня такая нарядная!	0.7481
这双小老虎鞋！	А какие славные туфельки!	0.8334
挑着点道儿走，别弄脏了，听见没有？	Смотри не испачкай.	0.7050
	Слышишь?	
来，菱，英，奶奶这儿还有十个大子，一人五个；来，放在小口袋里，到街上买花生吃。”	Подойдите ко мне, дети.	0.5385
十个大铜子带着热气落在他们的袋中。	Вот тут десять медяков, каждому по пять, я положу их вам в кармашки, и вы купите себе орехов.– И старушка положила деньги в карман ребятишкам.	0.4642
老李痛快了一些；不负生平美的理想！	Лао Ли повеселел.	0.5590
	Живы еще прекрасные идеалы!	
出了门，他的眼睛溜着来往行人，是否注意他们。	Едва они вышли за ворота, как Лао Ли стал озираться по сторонам: он думал, на них будут глядеть.	0.6555
没有。	Ничего подобного!	0.7982
北平能批评一切，也能接收一切。	Пекин может все отвергнуть так же легко, как принять.	0.3108
北平没有成见。		
北平除了风没有硬东西。	Здесь нет никаких предубеждений, нет ничего постоянного, кроме ветра.	0.7013
北平使一切人骄傲，因此张大哥特别的骄傲。	Пекин вызывает в каждом чувство гордости.	0.5164
老李的呼吸不那么紧促了。	Недаром Чжан Дагэ так важничает.	0.2814
回头一看，英和妈妈在道路中间走呢，好象新由乡下来的皇后与太子。	Лао Ли облегченно вздохнул, но, оглянувшись, снова замер: жена с сыном шествовали по мостовой, как королева с принцем.	0.5528
老李站住了：“你们要找死，就不用往边上来！”	–Вам что, жизнь надоела?	0.3947
	Идите сейчас же на тротуар!	
李太太瞪了眼，往四下看，并没有什么。“	Госпожа Ли удивленно – уставилась на мужа, потом осмотрелась – нигде никакой опасности.	0.7384
你把英拉过来！”	–Веди сына ко мне!	0.6059
她把英拉到旁边来，脸上红了。	Она подвела Ина и покраснела.	0.7712
丈夫的话一定被路上的人听见了。	Наверняка кто-нибудь слышал, как муж ее отчитывал.	0.7079
在乡下，爱怎走便怎走！	То ли дело в деревне – ходи где хочешь.	0.4656
她把气咽下去，丈夫是好意。	Она проглотила обиду, потому что муж желал им добра.	0.8013
可是，何必那么急扯白脸的呀！	Только почему у него такое сердитое лицо?	0.5370
心中觉得，“今天要能玩的好才怪！”	И она почувствовала, что предстоящая прогулка не сулит ничего хорошего.	0.3462
到了胡同口，拉车的照样打招呼，并没因李太太的棉袍而轻慢。	Когда они дошли до конца переулка, их стали зазывать рикши – дело обычное.	0.3853
好吧，车夫既然招呼，不好意思不坐。	Их даже не смутил халат госпожи Ли, а когда приглашают, неудобно не сесть.	0.3767
