# Learning language<TAB>source language
@Assimil-like set
Živjo!	Hi!
Imel sem majhno piščal... Izdelal sem jo iz gline!	I had a little flute... I made it out of clay!

@RTV Slovenia (news and cartoons)
najprej moras ujeti	have to catch me first
kar v gozd smuknimo	just slip into forest
kaj se dogajo	what is happening
ubogati	to obey
sploh kdaj odnehaš	will you ever quit
ugnali smo te	we beat you!
veslaj	row!
uničuje objekte	destroys objects
razgibana zgodovina	eventful historz
kartuzijanski samostan	Carthusian monastery
namenjen muzejski dejavnosti	intended for museum activity
delovni pogoji	working conditions
premakniti to cesto	move this road
poteka obnova objekta	the object-building is being renovated
v okviru projekta	within the project
sodobna tehnologija	modern technology
tehniška dediščina	tecnical heritage
narediti svoje skranči	make your own cuts
obdobje	period
voda iz studence ni primerna za pitje	The water from the spring is not suitable for drinking.
rečni jez	river dam
spremiti ježa na cesti	to accompany a hedgehog on the road (to cross)
rajanje in pustolovščina	birth and adventure
smerokaz	signpost
kako razburljivo	how exciting
prispeli smo 	we arrived
kaj se je zgodilo 	what happened?
medo se je malce zaletel v vaju     the bear bumped into you a little 
izvrstno	excelent
me zanima kakšne dobrote ste prinesli na piknik	Мне любопытно, какие угощения вы принесли на пикник.
kolačka	кекс
k pojedine se prileže limonada	Лимонад отлично сочетается с едой.
za sladico	на десерт
drobtina	breadcrumb
ni drobtinic, ki ste si jih nasulil 	there are no crumbs that you have spilled
raziskovalna pustolovščina	exploratory adventure
meni se mudi v službo	I'm in a hurry to get to work
vsi na krov, ki bi radi na krov	all aboard who would like to aboard
krasen dan za jadranje	a beautiful day for sailing
Admiral je videti dobre volje	Admiral looks in a good mood
Le kje je kraljična	Only where is the princess?
ježešna	angry
gusar	pirate
klobuk rabim	I need a hat
nagajivi ljudje	naughty people
ne ubogajo	they do not obey
ne izpustite ga izpred oči 	don't let him out of your sight
bom nagajala	I will make mischief
Gusarji ne kopljejo za zakladom, ukradejo ga 	Pirates don't dig for treasure, they steal it.
mislite da je to pametno 	Do you think that's smart?
roke si umijte Wash your hands.

@ cartoons
ta svet je trapast	this world is stupid
se kar strinjam	I agree with that.
ne dosežem	can' reach
ne morem doseči obročkov	I can't reach the rings
nahrbtnik oprtam na ramo 	put the backpack on the shoulder
jermen	strap (of a backpack)
le tačko spravi skozenj 	just put your paw through
dajmo NAME	let's go NAME
jemlje zalet 	he/she is getting a running start
zdaj bo pa jok in stok	Now there will be weeping and wailing.
popolnoma nevzdržno	completely unbearable
le zakaj se mi takoj ne posreči 	why don't I get lucky right away?
jaz sem se kar zvila v klobčič 	I just curled up into a ball.
zadržat ji grem tisti gumb	I'm going to hold that button for her.
raje opazujva kaj bo 	let's just see what will happen
se domislila je 	ona dogodalas'
Zmogel boš 	Ты сможешь
Uspelo ji/mu bo 	У неё|него получится
doživi nenavadno prigodo 	expiriences an unusual adventure
遺失物 forgotten/left things

@ Blish ep2
razvpiti	notorious
na pragu	on the doorstep
samska osamljen nebogljena	single lonely helpless
odkrieš 	discover
zavedeš bralce 	you mislead readers
zavajem želodec 	I fool/deceive my stomach
sem bolj prepričljiva 	I am more persuasive
pada na finto	falls for a feint
tuhtati 	to weigh
tuhtala kako bi mi zbila samozavest 	pondered how to shake my self-confidence
saj ti je ratalo 	You succeeded after all!
zmanjševanje občutka lakote	reducing the feeling of hunger
smem tudi jaz z vama 	May I go with you two

@ Cartoon/risanka
imenitno 	excellent
brez prerivanja	without pushing
previdno 	carefully
eden po eden 	one by one
gugalnica se je zlomila 	The swing broke.
vljudno 	politely
pametno	smart
uživajte v igri 	enjoy the game
odlično opravljeno 	excellent done (job)
in nato se boste izmenjevali 	and then you will take turns
nestvor	monster (un-creature)
stvor creature
pošast	monster (modern)
v šolo odhiti 	hurry up to school
tam se renči, glasno rjovi	there it growls, roars loudly
bodi pri miru 	be quiet
čeden 	handsome
bodi pri miru, saj hočeš biti čeden na fotografiji	Be calm, you want to look handsome in the photo.
umiti si zobe 	to brush your teeth
nehaj frčati po zraku, da te bom skrtačil 	Перестань порхать в воздухе, chtobi я тебя вычешу.
pentlja 	bow (bantik)
pošastovito	montrously
ste se uredili za fotografijo 	dress up for a photo
tjale	there
se postavite	stand up
ne grizi si lovk 	don't bite your tentacles
ne skrivaj se 	don't hide
umiri se 	calm down
smrdljivi sir 	smelly/stinky cheese
se trudim 	I am trying
vaše fotografije so prispele 	your photos have arrived
ne smeš se premikati 	you must not move
delaj se da si kip 	pretend you are a statue
vadiš mirno sedenje 	you practice still sitting
smrči 	snore
sluzna poščica	слизистая оболочка
roke me srbijo	My hands itch
Na stranišče me tišči	Меня приспичило в туалет (spoken)
vsi ste opravili	all passed
nikar je ne zbudimo	do not wake up here by any means
je ugotovil da zmore sedeti po miru	He found that he could sit still.
mami je šla ponj 	mam go get him (po + njega)
pustita mu vsaj dihati	let him breathe at least
enkraten si 	you are unique
semle jih(vrata) dajmo	let's put the gate here
ostati moraš v vrati 	you have to stay in the gate
žoga je obtičala v krošnji 	Мяч застрял в кроне
Če jo bom ciljal z borovimi storži, bo padla dol 	Если я буду целиться в неё сосновыми шишками, она упадёт
frnikola 	marble
prešteti in razvrstiti 	to count and classify/sort
zrnce zvestobe	крупинка верности
bolj previdno 	more carefully
ujel te bom 	I will catch you
tale spada h galaksijam	This one belongs to galaxies
to ni duh	this is not a ghost
prestrašil si me 	You scared me
ne boš naju ujel 	you won't catch us two
svet ki ga obdaja	the world that surrounds him
